rank,global_tokens,source_ranks,operation,median_ms,min_ms,max_ms
0,2048,4,original_owners,0.4702399889628092,0.4697567939758301,0.47140798568725584
0,2048,4,redistribute_routed_restore,0.3867562611897786,0.386570676167806,0.3867562611897786
0,2048,4,redistribute_restore_only,0.09068480332692465,0.09033386707305908,0.09332906405131022
0,2048,8,original_owners,0.45816640853881835,0.4580394744873047,0.4592917442321777
0,2048,8,redistribute_routed_restore,0.38662293752034504,0.386358388264974,0.3868778546651204
0,2048,8,redistribute_restore_only,0.09720106919606526,0.09655146598815918,0.09836373329162598
0,2048,16,original_owners,0.28820587793986,0.2863893191019694,0.29224319458007814
0,2048,16,redistribute_routed_restore,0.3454069455464681,0.3452277183532715,0.34588801066080727
0,2048,16,redistribute_restore_only,0.05010559956232707,0.04991573492685954,0.05063466628392537
0,8192,4,original_owners,1.5017621358235678,1.5012959798177083,1.5036725362141927
0,8192,4,redistribute_routed_restore,0.6369834899902344,0.6365887959798177,0.6392074584960937
0,8192,4,redistribute_restore_only,0.17274133364359537,0.17231787045796712,0.1727893352508545
0,8192,8,original_owners,1.4056395212809245,1.4054922739664713,1.4089280446370442
0,8192,8,redistribute_routed_restore,0.6787808100382487,0.6787797292073567,0.6803583780924479
0,8192,8,redistribute_restore_only,0.2087658723195394,0.2073856035868327,0.21043413480122883
0,8192,16,original_owners,0.4555978775024414,0.45543572107950847,0.46308374404907227
0,8192,16,redistribute_routed_restore,0.5676714579264323,0.5668362935384115,0.6119157155354817
0,8192,16,redistribute_restore_only,0.10551040172576905,0.10544319947560628,0.10582293669382731
1,2048,4,original_owners,0.4703104019165039,0.46974080403645835,0.47142187754313153
1,2048,4,redistribute_routed_restore,0.3866453488667806,0.3865034739176432,0.3867168108622233
1,2048,4,redistribute_restore_only,0.0904362678527832,0.0902954657872518,0.09331519603729248
1,2048,8,original_owners,0.45813973744710285,0.4581237475077311,0.4592480023701986
1,2048,8,redistribute_routed_restore,0.3866090774536133,0.38643732070922854,0.38686081568400066
1,2048,8,redistribute_restore_only,0.0971285343170166,0.09677546819051107,0.098361603418986
1,2048,16,original_owners,0.28817494710286456,0.286354128519694,0.2922154744466146
1,2048,16,redistribute_routed_restore,0.3454410552978516,0.3452725410461426,0.3458101272583008
1,2048,16,redistribute_restore_only,0.049879467487335204,0.04980479876200358,0.050569601853688556
1,8192,4,original_owners,1.5017258961995443,1.5013535817464192,1.5036661783854166
1,8192,4,redistribute_routed_restore,0.6369322458902995,0.6364970525105794,0.6391167958577474
1,8192,4,redistribute_restore_only,0.17191999753316242,0.1717408021291097,0.17268800735473633
1,8192,8,original_owners,1.4056832631429037,1.4054613749186198,1.4088330586751303
1,8192,8,redistribute_routed_restore,0.6788607915242513,0.6785984039306641,0.6803626378377279
1,8192,8,redistribute_restore_only,0.20853226979573566,0.20781866709391275,0.21037972768147786
1,8192,16,original_owners,0.4555061340332031,0.4554208119710286,0.4631231943766276
1,8192,16,redistribute_routed_restore,0.5675349553426107,0.5667626698811848,0.611736551920573
1,8192,16,redistribute_restore_only,0.10551253159840902,0.1051093339920044,0.10610666275024414
2,2048,4,original_owners,0.4702090581258138,0.4697663942972819,0.4708863894144694
