chunk,current_padded_conv_ms,ragged_triton_ms,speedup
1024,0.5911679863929749,0.11558400094509125,5.114617780654713
2048,1.1429760456085205,0.15263999998569489,7.488050613965133
4096,2.246783971786499,0.2471040040254593,9.092462830165275
8192,4.445536136627197,0.4410240054130554,10.080032111774926
16384,8.865663528442383,0.8240000009536743,10.759300386142614
