rank,projection_tp,nested_cp,effective_head_tp,dp,batch_per_dp,context,cache_dtype,graph_ms,local_cache_bytes,correctness_max_abs,includes_query_exchange
9,16,1,16,1,1,1024,torch.bfloat16,0.013048000633716583,1179648,9.597465395927429e-05,True
9,16,1,16,1,8,1024,torch.bfloat16,0.01263200044631958,9437184,9.597465395927429e-05,True
9,16,1,16,1,32,1024,torch.bfloat16,0.016420799493789672,37748736,9.597465395927429e-05,True
9,16,1,16,1,1,8192,torch.bfloat16,0.014519999921321868,9437184,9.597465395927429e-05,True
9,16,1,16,1,8,8192,torch.bfloat16,0.019179199635982514,75497472,9.597465395927429e-05,True
9,16,1,16,1,32,8192,torch.bfloat16,0.06745280027389526,301989888,9.597465395927429e-05,True
9,16,1,16,1,1,32768,torch.bfloat16,0.026686400175094604,37748736,9.597465395927429e-05,True
9,16,1,16,1,8,32768,torch.bfloat16,0.0672655999660492,301989888,9.597465395927429e-05,True
9,16,1,16,1,32,32768,torch.bfloat16,0.22243518829345704,1207959552,9.597465395927429e-05,True
9,16,1,16,1,1,131072,torch.bfloat16,0.05429760217666626,150994944,9.597465395927429e-05,True
9,16,1,16,1,8,131072,torch.bfloat16,0.21638240814208984,1207959552,9.597465395927429e-05,True
9,16,1,16,1,32,131072,torch.bfloat16,0.8222208023071289,4831838208,9.597465395927429e-05,True
9,16,1,16,1,1,524288,torch.bfloat16,0.1394752025604248,603979776,9.597465395927429e-05,True
9,16,1,16,1,8,524288,torch.bfloat16,0.7853472232818604,4831838208,9.597465395927429e-05,True
9,16,1,16,1,32,524288,torch.bfloat16,3.264771270751953,19327352832,9.597465395927429e-05,True
9,16,1,16,1,1,1048576,torch.bfloat16,0.2540287971496582,1207959552,9.597465395927429e-05,True
9,16,1,16,1,8,1048576,torch.bfloat16,1.5600223541259766,9663676416,9.597465395927429e-05,True
9,16,1,16,1,32,1048576,torch.bfloat16,6.403998565673828,38654705664,9.597465395927429e-05,True
9,16,1,16,1,1,1024,torch.float8_e4m3fn,0.012398400157690049,589824,0.0007922248914837837,True
9,16,1,16,1,8,1024,torch.float8_e4m3fn,0.012432000041007996,4718592,0.0007922248914837837,True
9,16,1,16,1,32,1024,torch.float8_e4m3fn,0.014468799531459808,18874368,0.0007922248914837837,True
9,16,1,16,1,1,8192,torch.float8_e4m3fn,0.014433600008487701,4718592,0.0007922248914837837,True
9,16,1,16,1,8,8192,torch.float8_e4m3fn,0.016470399498939515,37748736,0.0007922248914837837,True
9,16,1,16,1,32,8192,torch.float8_e4m3fn,0.03587999939918518,150994944,0.0007922248914837837,True
9,16,1,16,1,1,32768,torch.float8_e4m3fn,0.022499200701713563,18874368,0.0007922248914837837,True
9,16,1,16,1,8,32768,torch.float8_e4m3fn,0.037108799815177916,150994944,0.0007922248914837837,True
9,16,1,16,1,32,32768,torch.float8_e4m3fn,0.10267360210418701,603979776,0.0007922248914837837,True
9,16,1,16,1,1,131072,torch.float8_e4m3fn,0.03292160034179688,75497472,0.0007922248914837837,True
9,16,1,16,1,8,131072,torch.float8_e4m3fn,0.10042239427566528,603979776,0.0007922248914837837,True
9,16,1,16,1,32,131072,torch.float8_e4m3fn,0.3665616035461426,2415919104,0.0007922248914837837,True
9,16,1,16,1,1,524288,torch.float8_e4m3fn,0.07508800029754639,301989888,0.0007922248914837837,True
9,16,1,16,1,8,524288,torch.float8_e4m3fn,0.349289608001709,2415919104,0.0007922248914837837,True
9,16,1,16,1,32,524288,torch.float8_e4m3fn,1.4100175857543946,9663676416,0.0007922248914837837,True
9,16,1,16,1,1,1048576,torch.float8_e4m3fn,0.12715840339660645,603979776,0.0007922248914837837,True
9,16,1,16,1,8,1048576,torch.float8_e4m3fn,0.6795487880706788,4831838208,0.0007922248914837837,True
9,16,1,16,1,32,1048576,torch.float8_e4m3fn,2.8249135971069337,19327352832,0.0007922248914837837,True
9,16,2,8,1,1,1024,torch.bfloat16,0.05406399965286255,589824,0.0001124013215303421,True
9,16,2,8,1,8,1024,torch.bfloat16,0.05870720148086548,4718592,0.0001124013215303421,True
9,16,2,8,1,32,1024,torch.bfloat16,0.0624064028263092,18874368,0.0001124013215303421,True
9,16,2,8,1,1,8192,torch.bfloat16,0.056617599725723264,4718592,0.0001124013215303421,True
9,16,2,8,1,8,8192,torch.bfloat16,0.0660431981086731,37748736,0.0001124013215303421,True
9,16,2,8,1,32,8192,torch.bfloat16,0.10943200588226318,150994944,0.0001124013215303421,True
9,16,2,8,1,1,32768,torch.bfloat16,0.06068959832191467,18874368,0.0001124013215303421,True
9,16,2,8,1,8,32768,torch.bfloat16,0.10242559909820556,150994944,0.0001124013215303421,True
9,16,2,8,1,32,32768,torch.bfloat16,0.18369439840316773,603979776,0.0001124013215303421,True
9,16,2,8,1,1,131072,torch.bfloat16,0.0846176028251648,75497472,0.0001124013215303421,True
9,16,2,8,1,8,131072,torch.bfloat16,0.17957119941711425,603979776,0.0001124013215303421,True
9,16,2,8,1,32,131072,torch.bfloat16,0.48936800956726073,2415919104,0.0001124013215303421,True
9,16,2,8,1,1,524288,torch.bfloat16,0.13564319610595704,301989888,0.0001124013215303421,True
9,16,2,8,1,8,524288,torch.bfloat16,0.47966718673706055,2415919104,0.0001124013215303421,True
9,16,2,8,1,32,524288,torch.bfloat16,1.691324806213379,9663676416,0.0001124013215303421,True
9,16,2,8,1,1,1048576,torch.bfloat16,0.1948192000389099,603979776,0.0001124013215303421,True
9,16,2,8,1,8,1048576,torch.bfloat16,0.8515839576721191,4831838208,0.0001124013215303421,True
9,16,2,8,1,32,1048576,torch.bfloat16,3.3491920471191405,19327352832,0.0001124013215303421,True
9,16,2,8,1,1,1024,torch.float8_e4m3fn,0.05184320211410522,294912,0.0005747780669480562,True
9,16,2,8,1,8,1024,torch.float8_e4m3fn,0.05589119791984558,2359296,0.0005747780669480562,True
9,16,2,8,1,32,1024,torch.float8_e4m3fn,0.059552001953125,9437184,0.0005747780669480562,True
9,16,2,8,1,1,8192,torch.float8_e4m3fn,0.0542527973651886,2359296,0.0005747780669480562,True
9,16,2,8,1,8,8192,torch.float8_e4m3fn,0.06247680187225342,18874368,0.0005747780669480562,True
9,16,2,8,1,32,8192,torch.float8_e4m3fn,0.07162079811096192,75497472,0.0005747780669480562,True
9,16,2,8,1,1,32768,torch.float8_e4m3fn,0.05790240168571472,9437184,0.0005747780669480562,True
9,16,2,8,1,8,32768,torch.float8_e4m3fn,0.07082880139350892,75497472,0.0005747780669480562,True
9,16,2,8,1,32,32768,torch.float8_e4m3fn,0.11826720237731933,301989888,0.0005747780669480562,True
9,16,2,8,1,1,131072,torch.float8_e4m3fn,0.0701471984386444,37748736,0.0005747780669480562,True
9,16,2,8,1,8,131072,torch.float8_e4m3fn,0.11738079786300659,301989888,0.0005747780669480562,True
9,16,2,8,1,32,131072,torch.float8_e4m3fn,0.25206239223480226,1207959552,0.0005747780669480562,True
9,16,2,8,1,1,524288,torch.float8_e4m3fn,0.10154080390930176,150994944,0.0005747780669480562,True
9,16,2,8,1,8,524288,torch.float8_e4m3fn,0.242248010635376,1207959552,0.0005747780669480562,True
9,16,2,8,1,32,524288,torch.float8_e4m3fn,0.7756783962249756,4831838208,0.0005747780669480562,True
9,16,2,8,1,1,1048576,torch.float8_e4m3fn,0.12817599773406982,301989888,0.0005747780669480562,True
9,16,2,8,1,8,1048576,torch.float8_e4m3fn,0.40939998626708984,2415919104,0.0005747780669480562,True
9,16,2,8,1,32,1048576,torch.float8_e4m3fn,1.481208038330078,9663676416,0.0005747780669480562,True
9,16,4,4,1,1,1024,torch.bfloat16,0.06759200096130372,294912,5.161203444004059e-05,True
9,16,4,4,1,8,1024,torch.bfloat16,0.0804032027721405,2359296,5.161203444004059e-05,True
9,16,4,4,1,32,1024,torch.bfloat16,0.08786560297012329,9437184,5.161203444004059e-05,True
9,16,4,4,1,1,8192,torch.bfloat16,0.07420160174369812,2359296,5.161203444004059e-05,True
9,16,4,4,1,8,8192,torch.bfloat16,0.08723359704017639,18874368,5.161203444004059e-05,True
9,16,4,4,1,32,8192,torch.bfloat16,0.12823200225830078,75497472,5.161203444004059e-05,True
9,16,4,4,1,1,32768,torch.bfloat16,0.07506080269813538,9437184,5.161203444004059e-05,True
9,16,4,4,1,8,32768,torch.bfloat16,0.10935839414596557,75497472,5.161203444004059e-05,True
9,16,4,4,1,32,32768,torch.bfloat16,0.18500159978866576,301989888,5.161203444004059e-05,True
