rank,projection_tp,nested_cp,effective_head_tp,dp,batch_per_dp,context,cache_dtype,graph_ms,local_cache_bytes,correctness_max_abs,includes_query_exchange
12,16,1,16,1,1,1024,torch.bfloat16,0.012918399274349212,1179648,0.0001132078468799591,True
12,16,1,16,1,8,1024,torch.bfloat16,0.012827199697494508,9437184,0.0001132078468799591,True
12,16,1,16,1,32,1024,torch.bfloat16,0.016473600268363954,37748736,0.0001132078468799591,True
12,16,1,16,1,1,8192,torch.bfloat16,0.014643199741840363,9437184,0.0001132078468799591,True
12,16,1,16,1,8,8192,torch.bfloat16,0.01881919950246811,75497472,0.0001132078468799591,True
12,16,1,16,1,32,8192,torch.bfloat16,0.06745439767837524,301989888,0.0001132078468799591,True
12,16,1,16,1,1,32768,torch.bfloat16,0.026771199703216553,37748736,0.0001132078468799591,True
12,16,1,16,1,8,32768,torch.bfloat16,0.06742560267448425,301989888,0.0001132078468799591,True
12,16,1,16,1,32,32768,torch.bfloat16,0.22169599533081055,1207959552,0.0001132078468799591,True
12,16,1,16,1,1,131072,torch.bfloat16,0.05376960039138794,150994944,0.0001132078468799591,True
12,16,1,16,1,8,131072,torch.bfloat16,0.21612319946289063,1207959552,0.0001132078468799591,True
12,16,1,16,1,32,131072,torch.bfloat16,0.8229935646057129,4831838208,0.0001132078468799591,True
12,16,1,16,1,1,524288,torch.bfloat16,0.1398095965385437,603979776,0.0001132078468799591,True
12,16,1,16,1,8,524288,torch.bfloat16,0.7863215923309326,4831838208,0.0001132078468799591,True
12,16,1,16,1,32,524288,torch.bfloat16,3.2700641632080076,19327352832,0.0001132078468799591,True
12,16,1,16,1,1,1048576,torch.bfloat16,0.25527200698852537,1207959552,0.0001132078468799591,True
12,16,1,16,1,8,1048576,torch.bfloat16,1.5622847557067872,9663676416,0.0001132078468799591,True
12,16,1,16,1,32,1048576,torch.bfloat16,6.412181091308594,38654705664,0.0001132078468799591,True
12,16,1,16,1,1,1024,torch.float8_e4m3fn,0.012441600114107132,589824,0.0009275609627366066,True
12,16,1,16,1,8,1024,torch.float8_e4m3fn,0.01239679977297783,4718592,0.0009275609627366066,True
12,16,1,16,1,32,1024,torch.float8_e4m3fn,0.014507199823856353,18874368,0.0009275609627366066,True
12,16,1,16,1,1,8192,torch.float8_e4m3fn,0.014422400295734406,4718592,0.0009275609627366066,True
12,16,1,16,1,8,8192,torch.float8_e4m3fn,0.016542400419712066,37748736,0.0009275609627366066,True
12,16,1,16,1,32,8192,torch.float8_e4m3fn,0.0353520005941391,150994944,0.0009275609627366066,True
12,16,1,16,1,1,32768,torch.float8_e4m3fn,0.022643199563026427,18874368,0.0009275609627366066,True
12,16,1,16,1,8,32768,torch.float8_e4m3fn,0.037064000964164734,150994944,0.0009275609627366066,True
12,16,1,16,1,32,32768,torch.float8_e4m3fn,0.10232479572296142,603979776,0.0009275609627366066,True
12,16,1,16,1,1,131072,torch.float8_e4m3fn,0.03294560015201568,75497472,0.0009275609627366066,True
12,16,1,16,1,8,131072,torch.float8_e4m3fn,0.100547194480896,603979776,0.0009275609627366066,True
12,16,1,16,1,32,131072,torch.float8_e4m3fn,0.3668800115585327,2415919104,0.0009275609627366066,True
12,16,1,16,1,1,524288,torch.float8_e4m3fn,0.07536159753799439,301989888,0.0009275609627366066,True
12,16,1,16,1,8,524288,torch.float8_e4m3fn,0.34908480644226075,2415919104,0.0009275609627366066,True
12,16,1,16,1,32,524288,torch.float8_e4m3fn,1.4095312118530274,9663676416,0.0009275609627366066,True
12,16,1,16,1,1,1048576,torch.float8_e4m3fn,0.1276911973953247,603979776,0.0009275609627366066,True
12,16,1,16,1,8,1048576,torch.float8_e4m3fn,0.6800960063934326,4831838208,0.0009275609627366066,True
12,16,1,16,1,32,1048576,torch.float8_e4m3fn,2.8088623046875,19327352832,0.0009275609627366066,True
12,16,2,8,1,1,1024,torch.bfloat16,0.05422719717025757,589824,0.00011435896158218384,True
12,16,2,8,1,8,1024,torch.bfloat16,0.05856000185012818,4718592,0.00011435896158218384,True
12,16,2,8,1,32,1024,torch.bfloat16,0.06358559727668762,18874368,0.00011435896158218384,True
12,16,2,8,1,1,8192,torch.bfloat16,0.056550401449203494,4718592,0.00011435896158218384,True
12,16,2,8,1,8,8192,torch.bfloat16,0.0664255976676941,37748736,0.00011435896158218384,True
12,16,2,8,1,32,8192,torch.bfloat16,0.10882400274276734,150994944,0.00011435896158218384,True
12,16,2,8,1,1,32768,torch.bfloat16,0.06074399948120117,18874368,0.00011435896158218384,True
12,16,2,8,1,8,32768,torch.bfloat16,0.10248479843139649,150994944,0.00011435896158218384,True
12,16,2,8,1,32,32768,torch.bfloat16,0.18359359502792358,603979776,0.00011435896158218384,True
12,16,2,8,1,1,131072,torch.bfloat16,0.08264960050582885,75497472,0.00011435896158218384,True
12,16,2,8,1,8,131072,torch.bfloat16,0.17824959754943848,603979776,0.00011435896158218384,True
12,16,2,8,1,32,131072,torch.bfloat16,0.4909984111785889,2415919104,0.00011435896158218384,True
12,16,2,8,1,1,524288,torch.bfloat16,0.13466399908065796,301989888,0.00011435896158218384,True
12,16,2,8,1,8,524288,torch.bfloat16,0.48003520965576174,2415919104,0.00011435896158218384,True
12,16,2,8,1,32,524288,torch.bfloat16,1.6902063369750977,9663676416,0.00011435896158218384,True
12,16,2,8,1,1,1048576,torch.bfloat16,0.1939296007156372,603979776,0.00011435896158218384,True
12,16,2,8,1,8,1048576,torch.bfloat16,0.8517935752868653,4831838208,0.00011435896158218384,True
12,16,2,8,1,32,1048576,torch.bfloat16,3.353374481201172,19327352832,0.00011435896158218384,True
12,16,2,8,1,1,1024,torch.float8_e4m3fn,0.05156159996986389,294912,0.000608956441283226,True
12,16,2,8,1,8,1024,torch.float8_e4m3fn,0.05640479922294617,2359296,0.000608956441283226,True
12,16,2,8,1,32,1024,torch.float8_e4m3fn,0.05963039994239807,9437184,0.000608956441283226,True
12,16,2,8,1,1,8192,torch.float8_e4m3fn,0.05370079874992371,2359296,0.000608956441283226,True
12,16,2,8,1,8,8192,torch.float8_e4m3fn,0.061103999614715576,18874368,0.000608956441283226,True
12,16,2,8,1,32,8192,torch.float8_e4m3fn,0.07096160054206849,75497472,0.000608956441283226,True
12,16,2,8,1,1,32768,torch.float8_e4m3fn,0.058267199993133546,9437184,0.000608956441283226,True
12,16,2,8,1,8,32768,torch.float8_e4m3fn,0.07002720236778259,75497472,0.000608956441283226,True
12,16,2,8,1,32,32768,torch.float8_e4m3fn,0.1177664041519165,301989888,0.000608956441283226,True
12,16,2,8,1,1,131072,torch.float8_e4m3fn,0.06901440024375916,37748736,0.000608956441283226,True
12,16,2,8,1,8,131072,torch.float8_e4m3fn,0.11625440120697021,301989888,0.000608956441283226,True
12,16,2,8,1,32,131072,torch.float8_e4m3fn,0.2514656066894531,1207959552,0.000608956441283226,True
12,16,2,8,1,1,524288,torch.float8_e4m3fn,0.09973120093345642,150994944,0.000608956441283226,True
12,16,2,8,1,8,524288,torch.float8_e4m3fn,0.24098238945007325,1207959552,0.000608956441283226,True
12,16,2,8,1,32,524288,torch.float8_e4m3fn,0.7753456115722657,4831838208,0.000608956441283226,True
12,16,2,8,1,1,1048576,torch.float8_e4m3fn,0.1264464020729065,301989888,0.000608956441283226,True
12,16,2,8,1,8,1048576,torch.float8_e4m3fn,0.4082208156585693,2415919104,0.000608956441283226,True
12,16,2,8,1,32,1048576,torch.float8_e4m3fn,1.4752256393432617,9663676416,0.000608956441283226,True
12,16,4,4,1,1,1024,torch.bfloat16,0.06803839802742004,294912,5.538295954465866e-05,True
12,16,4,4,1,8,1024,torch.bfloat16,0.08088480234146118,2359296,5.538295954465866e-05,True
12,16,4,4,1,32,1024,torch.bfloat16,0.08808159828186035,9437184,5.538295954465866e-05,True
12,16,4,4,1,1,8192,torch.bfloat16,0.07403680086135864,2359296,5.538295954465866e-05,True
12,16,4,4,1,8,8192,torch.bfloat16,0.08763200044631958,18874368,5.538295954465866e-05,True
12,16,4,4,1,32,8192,torch.bfloat16,0.12014080286026001,75497472,5.538295954465866e-05,True
12,16,4,4,1,1,32768,torch.bfloat16,0.07542240023612976,9437184,5.538295954465866e-05,True
12,16,4,4,1,8,32768,torch.bfloat16,0.10599520206451415,75497472,5.538295954465866e-05,True
12,16,4,4,1,32,32768,torch.bfloat16,0.1842687964439392,301989888,5.538295954465866e-05,True
