rank,projection_tp,nested_cp,effective_head_tp,dp,batch_per_dp,context,cache_dtype,graph_ms,local_cache_bytes,correctness_max_abs,includes_query_exchange
4,16,2,8,1,8,1024,torch.bfloat16,0.05889120101928711,4718592,0.00010486878454685211,True
4,16,2,8,1,32,1024,torch.bfloat16,0.06214560270309448,18874368,0.00010486878454685211,True
4,16,2,8,1,1,8192,torch.bfloat16,0.056227201223373414,4718592,0.00010486878454685211,True
4,16,2,8,1,8,8192,torch.bfloat16,0.06493120193481446,37748736,0.00010486878454685211,True
4,16,2,8,1,32,8192,torch.bfloat16,0.10859839916229248,150994944,0.00010486878454685211,True
4,16,2,8,1,1,32768,torch.bfloat16,0.0605679988861084,18874368,0.00010486878454685211,True
4,16,2,8,1,8,32768,torch.bfloat16,0.10208159685134888,150994944,0.00010486878454685211,True
4,16,2,8,1,32,32768,torch.bfloat16,0.18407360315322877,603979776,0.00010486878454685211,True
4,16,2,8,1,1,131072,torch.bfloat16,0.08262720108032226,75497472,0.00010486878454685211,True
4,16,2,8,1,8,131072,torch.bfloat16,0.17879680395126343,603979776,0.00010486878454685211,True
4,16,2,8,1,32,131072,torch.bfloat16,0.4899951934814453,2415919104,0.00010486878454685211,True
4,16,2,8,1,1,524288,torch.bfloat16,0.13570560216903688,301989888,0.00010486878454685211,True
4,16,2,8,1,8,524288,torch.bfloat16,0.48077759742736814,2415919104,0.00010486878454685211,True
4,16,2,8,1,32,524288,torch.bfloat16,1.6902399063110352,9663676416,0.00010486878454685211,True
4,16,2,8,1,1,1048576,torch.bfloat16,0.19468640089035033,603979776,0.00010486878454685211,True
4,16,2,8,1,8,1048576,torch.bfloat16,0.8572352409362793,4831838208,0.00010486878454685211,True
4,16,2,8,1,32,1048576,torch.bfloat16,3.349897766113281,19327352832,0.00010486878454685211,True
4,16,2,8,1,1,1024,torch.float8_e4m3fn,0.05172799825668335,294912,0.0006179921329021454,True
4,16,2,8,1,8,1024,torch.float8_e4m3fn,0.05575519800186157,2359296,0.0006179921329021454,True
4,16,2,8,1,32,1024,torch.float8_e4m3fn,0.05904960036277771,9437184,0.0006179921329021454,True
4,16,2,8,1,1,8192,torch.float8_e4m3fn,0.05447999835014343,2359296,0.0006179921329021454,True
4,16,2,8,1,8,8192,torch.float8_e4m3fn,0.06110240221023559,18874368,0.0006179921329021454,True
4,16,2,8,1,32,8192,torch.float8_e4m3fn,0.07153120040893554,75497472,0.0006179921329021454,True
4,16,2,8,1,1,32768,torch.float8_e4m3fn,0.057760000228881836,9437184,0.0006179921329021454,True
4,16,2,8,1,8,32768,torch.float8_e4m3fn,0.07099679708480836,75497472,0.0006179921329021454,True
4,16,2,8,1,32,32768,torch.float8_e4m3fn,0.1183135986328125,301989888,0.0006179921329021454,True
4,16,2,8,1,1,131072,torch.float8_e4m3fn,0.0694208025932312,37748736,0.0006179921329021454,True
4,16,2,8,1,8,131072,torch.float8_e4m3fn,0.11798239946365356,301989888,0.0006179921329021454,True
4,16,2,8,1,32,131072,torch.float8_e4m3fn,0.2522783994674683,1207959552,0.0006179921329021454,True
4,16,2,8,1,1,524288,torch.float8_e4m3fn,0.10053440332412719,150994944,0.0006179921329021454,True
4,16,2,8,1,8,524288,torch.float8_e4m3fn,0.24189279079437256,1207959552,0.0006179921329021454,True
4,16,2,8,1,32,524288,torch.float8_e4m3fn,0.7760543823242188,4831838208,0.0006179921329021454,True
4,16,2,8,1,1,1048576,torch.float8_e4m3fn,0.12730400562286376,301989888,0.0006179921329021454,True
4,16,2,8,1,8,1048576,torch.float8_e4m3fn,0.40812158584594727,2415919104,0.0006179921329021454,True
4,16,2,8,1,32,1048576,torch.float8_e4m3fn,1.476206398010254,9663676416,0.0006179921329021454,True
4,16,4,4,1,1,1024,torch.bfloat16,0.0669871985912323,294912,7.040891796350479e-05,True
4,16,4,4,1,8,1024,torch.bfloat16,0.08033279776573181,2359296,7.040891796350479e-05,True
4,16,4,4,1,32,1024,torch.bfloat16,0.08773120045661927,9437184,7.040891796350479e-05,True
4,16,4,4,1,1,8192,torch.bfloat16,0.07324000000953675,2359296,7.040891796350479e-05,True
4,16,4,4,1,8,8192,torch.bfloat16,0.08693600296974183,18874368,7.040891796350479e-05,True
4,16,4,4,1,32,8192,torch.bfloat16,0.12174240350723267,75497472,7.040891796350479e-05,True
4,16,4,4,1,1,32768,torch.bfloat16,0.07467679977416992,9437184,7.040891796350479e-05,True
4,16,4,4,1,8,32768,torch.bfloat16,0.10680160522460938,75497472,7.040891796350479e-05,True
4,16,4,4,1,32,32768,torch.bfloat16,0.18283679485321044,301989888,7.040891796350479e-05,True
4,16,4,4,1,1,131072,torch.bfloat16,0.08855680227279664,37748736,7.040891796350479e-05,True
4,16,4,4,1,8,131072,torch.bfloat16,0.17365920543670654,301989888,7.040891796350479e-05,True
4,16,4,4,1,32,131072,torch.bfloat16,0.413259220123291,1207959552,7.040891796350479e-05,True
4,16,4,4,1,1,524288,torch.bfloat16,0.13788479566574097,150994944,7.040891796350479e-05,True
4,16,4,4,1,8,524288,torch.bfloat16,0.379803204536438,1207959552,7.040891796350479e-05,True
4,16,4,4,1,32,524288,torch.bfloat16,1.3220479965209961,4831838208,7.040891796350479e-05,True
4,16,4,4,1,1,1048576,torch.bfloat16,0.18799680471420288,301989888,7.040891796350479e-05,True
4,16,4,4,1,8,1048576,torch.bfloat16,0.6581808090209961,2415919104,7.040891796350479e-05,True
4,16,4,4,1,32,1048576,torch.bfloat16,2.535171127319336,9663676416,7.040891796350479e-05,True
4,16,4,4,1,1,1024,torch.float8_e4m3fn,0.06583200097084045,147456,0.00042799394577741623,True
4,16,4,4,1,8,1024,torch.float8_e4m3fn,0.07779840230941773,1179648,0.00042799394577741623,True
4,16,4,4,1,32,1024,torch.float8_e4m3fn,0.08423839807510376,4718592,0.00042799394577741623,True
4,16,4,4,1,1,8192,torch.float8_e4m3fn,0.07176160216331481,1179648,0.00042799394577741623,True
4,16,4,4,1,8,8192,torch.float8_e4m3fn,0.08292800188064575,9437184,0.00042799394577741623,True
4,16,4,4,1,32,8192,torch.float8_e4m3fn,0.0959231972694397,37748736,0.00042799394577741623,True
4,16,4,4,1,1,32768,torch.float8_e4m3fn,0.07255520224571228,4718592,0.00042799394577741623,True
4,16,4,4,1,8,32768,torch.float8_e4m3fn,0.09108960032463073,37748736,0.00042799394577741623,True
4,16,4,4,1,32,32768,torch.float8_e4m3fn,0.13587679862976074,150994944,0.00042799394577741623,True
4,16,4,4,1,1,131072,torch.float8_e4m3fn,0.08221279978752136,18874368,0.00042799394577741623,True
4,16,4,4,1,8,131072,torch.float8_e4m3fn,0.13096319437026976,150994944,0.00042799394577741623,True
4,16,4,4,1,32,131072,torch.float8_e4m3fn,0.24311521053314208,603979776,0.00042799394577741623,True
4,16,4,4,1,1,524288,torch.float8_e4m3fn,0.1046447992324829,75497472,0.00042799394577741623,True
4,16,4,4,1,8,524288,torch.float8_e4m3fn,0.22662079334259033,603979776,0.00042799394577741623,True
4,16,4,4,1,32,524288,torch.float8_e4m3fn,0.6545584201812744,2415919104,0.00042799394577741623,True
4,16,4,4,1,1,1048576,torch.float8_e4m3fn,0.1283519983291626,150994944,0.00042799394577741623,True
4,16,4,4,1,8,1048576,torch.float8_e4m3fn,0.351913595199585,1207959552,0.00042799394577741623,True
4,16,4,4,1,32,1048576,torch.float8_e4m3fn,1.2038944244384766,4831838208,0.00042799394577741623,True
4,16,8,2,1,1,1024,torch.bfloat16,0.09573280215263366,147456,4.168599843978882e-05,True
4,16,8,2,1,8,1024,torch.bfloat16,0.10144640207290649,1179648,4.168599843978882e-05,True
4,16,8,2,1,32,1024,torch.bfloat16,0.12676000595092773,4718592,4.168599843978882e-05,True
4,16,8,2,1,1,8192,torch.bfloat16,0.09873440265655517,1179648,4.168599843978882e-05,True
4,16,8,2,1,8,8192,torch.bfloat16,0.10833439826965333,9437184,4.168599843978882e-05,True
4,16,8,2,1,32,8192,torch.bfloat16,0.1467344045639038,37748736,4.168599843978882e-05,True
4,16,8,2,1,1,32768,torch.bfloat16,0.09943360090255737,4718592,4.168599843978882e-05,True
4,16,8,2,1,8,32768,torch.bfloat16,0.11789599657058716,37748736,4.168599843978882e-05,True
4,16,8,2,1,32,32768,torch.bfloat16,0.18348319530487062,150994944,4.168599843978882e-05,True
4,16,8,2,1,1,131072,torch.bfloat16,0.1080847978591919,18874368,4.168599843978882e-05,True
4,16,8,2,1,8,131072,torch.bfloat16,0.14986399412155152,150994944,4.168599843978882e-05,True
4,16,8,2,1,32,131072,torch.bfloat16,0.26393120288848876,603979776,4.168599843978882e-05,True
4,16,8,2,1,1,524288,torch.bfloat16,0.12715840339660645,75497472,4.168599843978882e-05,True
4,16,8,2,1,8,524288,torch.bfloat16,0.23055520057678222,603979776,4.168599843978882e-05,True
4,16,8,2,1,32,524288,torch.bfloat16,0.5727776050567627,2415919104,4.168599843978882e-05,True
4,16,8,2,1,1,1048576,torch.bfloat16,0.15224479436874389,150994944,4.168599843978882e-05,True
4,16,8,2,1,8,1048576,torch.bfloat16,0.34265120029449464,1207959552,4.168599843978882e-05,True
4,16,8,2,1,32,1048576,torch.bfloat16,0.9919327735900879,4831838208,4.168599843978882e-05,True
4,16,8,2,1,1,1024,torch.float8_e4m3fn,0.09402400255203247,73728,0.0003719831584021449,True
4,16,8,2,1,8,1024,torch.float8_e4m3fn,0.1021888017654419,589824,0.0003719831584021449,True
4,16,8,2,1,32,1024,torch.float8_e4m3fn,0.12222399711608886,2359296,0.0003719831584021449,True
4,16,8,2,1,1,8192,torch.float8_e4m3fn,0.09458720088005065,589824,0.0003719831584021449,True
4,16,8,2,1,8,8192,torch.float8_e4m3fn,0.10407040119171143,4718592,0.0003719831584021449,True
4,16,8,2,1,32,8192,torch.float8_e4m3fn,0.12894079685211182,18874368,0.0003719831584021449,True
4,16,8,2,1,1,32768,torch.float8_e4m3fn,0.09813759922981262,2359296,0.0003719831584021449,True
4,16,8,2,1,8,32768,torch.float8_e4m3fn,0.10920319557189942,18874368,0.0003719831584021449,True
4,16,8,2,1,32,32768,torch.float8_e4m3fn,0.1548799991607666,75497472,0.0003719831584021449,True
4,16,8,2,1,1,131072,torch.float8_e4m3fn,0.1037775993347168,9437184,0.0003719831584021449,True
4,16,8,2,1,8,131072,torch.float8_e4m3fn,0.11769440174102783,75497472,0.0003719831584021449,True
4,16,8,2,1,32,131072,torch.float8_e4m3fn,0.20729279518127441,301989888,0.0003719831584021449,True
4,16,8,2,1,1,524288,torch.float8_e4m3fn,0.1142848014831543,37748736,0.0003719831584021449,True
4,16,8,2,1,8,524288,torch.float8_e4m3fn,0.1712656021118164,301989888,0.0003719831584021449,True
4,16,8,2,1,32,524288,torch.float8_e4m3fn,0.38014400005340576,1207959552,0.0003719831584021449,True
4,16,8,2,1,1,1048576,torch.float8_e4m3fn,0.12761759757995605,75497472,0.0003719831584021449,True
4,16,8,2,1,8,1048576,torch.float8_e4m3fn,0.2278064012527466,603979776,0.0003719831584021449,True
4,16,8,2,1,32,1048576,torch.float8_e4m3fn,0.6046160221099853,2415919104,0.0003719831584021449,True
4,16,16,1,1,1,8192,torch.bfloat16,0.1499552011489868,589824,2.9671471565961838e-05,True
