rank,projection_tp,nested_cp,effective_head_tp,dp,batch_per_dp,context,cache_dtype,graph_ms,local_cache_bytes,correctness_max_abs,includes_query_exchange
10,16,1,16,1,1,1024,torch.bfloat16,0.012403199821710587,1179648,8.497573435306549e-05,True
10,16,1,16,1,8,1024,torch.bfloat16,0.012462399899959564,9437184,8.497573435306549e-05,True
10,16,1,16,1,32,1024,torch.bfloat16,0.01650879979133606,37748736,8.497573435306549e-05,True
10,16,1,16,1,1,8192,torch.bfloat16,0.014481599628925323,9437184,8.497573435306549e-05,True
10,16,1,16,1,8,8192,torch.bfloat16,0.018598400056362152,75497472,8.497573435306549e-05,True
10,16,1,16,1,32,8192,torch.bfloat16,0.06745759844779968,301989888,8.497573435306549e-05,True
10,16,1,16,1,1,32768,torch.bfloat16,0.026764801144599913,37748736,8.497573435306549e-05,True
10,16,1,16,1,8,32768,torch.bfloat16,0.06652160286903382,301989888,8.497573435306549e-05,True
10,16,1,16,1,32,32768,torch.bfloat16,0.22132320404052735,1207959552,8.497573435306549e-05,True
10,16,1,16,1,1,131072,torch.bfloat16,0.053985601663589476,150994944,8.497573435306549e-05,True
10,16,1,16,1,8,131072,torch.bfloat16,0.21569280624389647,1207959552,8.497573435306549e-05,True
10,16,1,16,1,32,131072,torch.bfloat16,0.8217904090881347,4831838208,8.497573435306549e-05,True
10,16,1,16,1,1,524288,torch.bfloat16,0.1392240047454834,603979776,8.497573435306549e-05,True
10,16,1,16,1,8,524288,torch.bfloat16,0.7864895820617676,4831838208,8.497573435306549e-05,True
10,16,1,16,1,32,524288,torch.bfloat16,3.2649311065673827,19327352832,8.497573435306549e-05,True
10,16,1,16,1,1,1048576,torch.bfloat16,0.25347199440002444,1207959552,8.497573435306549e-05,True
10,16,1,16,1,8,1048576,torch.bfloat16,1.5682175636291504,9663676416,8.497573435306549e-05,True
10,16,1,16,1,32,1048576,torch.bfloat16,6.404666900634766,38654705664,8.497573435306549e-05,True
10,16,1,16,1,1,1024,torch.float8_e4m3fn,0.012380799651145935,589824,0.0007965294062159956,True
10,16,1,16,1,8,1024,torch.float8_e4m3fn,0.01239520013332367,4718592,0.0007965294062159956,True
10,16,1,16,1,32,1024,torch.float8_e4m3fn,0.014425599575042724,18874368,0.0007965294062159956,True
10,16,1,16,1,1,8192,torch.float8_e4m3fn,0.01441120058298111,4718592,0.0007965294062159956,True
10,16,1,16,1,8,8192,torch.float8_e4m3fn,0.016510400176048278,37748736,0.0007965294062159956,True
10,16,1,16,1,32,8192,torch.float8_e4m3fn,0.035094401240348815,150994944,0.0007965294062159956,True
10,16,1,16,1,1,32768,torch.float8_e4m3fn,0.02265920042991638,18874368,0.0007965294062159956,True
10,16,1,16,1,8,32768,torch.float8_e4m3fn,0.037110400199890134,150994944,0.0007965294062159956,True
10,16,1,16,1,32,32768,torch.float8_e4m3fn,0.10191839933395386,603979776,0.0007965294062159956,True
10,16,1,16,1,1,131072,torch.float8_e4m3fn,0.030943998694419862,75497472,0.0007965294062159956,True
10,16,1,16,1,8,131072,torch.float8_e4m3fn,0.10009119510650635,603979776,0.0007965294062159956,True
10,16,1,16,1,32,131072,torch.float8_e4m3fn,0.3665008068084717,2415919104,0.0007965294062159956,True
10,16,1,16,1,1,524288,torch.float8_e4m3fn,0.07495359778404236,301989888,0.0007965294062159956,True
10,16,1,16,1,8,524288,torch.float8_e4m3fn,0.3491152048110962,2415919104,0.0007965294062159956,True
10,16,1,16,1,32,524288,torch.float8_e4m3fn,1.4097359657287598,9663676416,0.0007965294062159956,True
10,16,1,16,1,1,1048576,torch.float8_e4m3fn,0.12694720029830933,603979776,0.0007965294062159956,True
10,16,1,16,1,8,1048576,torch.float8_e4m3fn,0.6796095848083497,4831838208,0.0007965294062159956,True
10,16,1,16,1,32,1048576,torch.float8_e4m3fn,2.835304069519043,19327352832,0.0007965294062159956,True
10,16,2,8,1,1,1024,torch.bfloat16,0.05185440182685852,589824,9.250268340110779e-05,True
10,16,2,8,1,8,1024,torch.bfloat16,0.05764319896697998,4718592,9.250268340110779e-05,True
10,16,2,8,1,32,1024,torch.bfloat16,0.06283040046691894,18874368,9.250268340110779e-05,True
10,16,2,8,1,1,8192,torch.bfloat16,0.055332797765731814,4718592,9.250268340110779e-05,True
10,16,2,8,1,8,8192,torch.bfloat16,0.06376960277557372,37748736,9.250268340110779e-05,True
10,16,2,8,1,32,8192,torch.bfloat16,0.10675040483474732,150994944,9.250268340110779e-05,True
10,16,2,8,1,1,32768,torch.bfloat16,0.05975840091705322,18874368,9.250268340110779e-05,True
10,16,2,8,1,8,32768,torch.bfloat16,0.10033440589904785,150994944,9.250268340110779e-05,True
10,16,2,8,1,32,32768,torch.bfloat16,0.1826192021369934,603979776,9.250268340110779e-05,True
10,16,2,8,1,1,131072,torch.bfloat16,0.08110079765319825,75497472,9.250268340110779e-05,True
10,16,2,8,1,8,131072,torch.bfloat16,0.17790080308914186,603979776,9.250268340110779e-05,True
10,16,2,8,1,32,131072,torch.bfloat16,0.48895998001098634,2415919104,9.250268340110779e-05,True
10,16,2,8,1,1,524288,torch.bfloat16,0.13387199640274047,301989888,9.250268340110779e-05,True
10,16,2,8,1,8,524288,torch.bfloat16,0.4797488212585449,2415919104,9.250268340110779e-05,True
10,16,2,8,1,32,524288,torch.bfloat16,1.688702392578125,9663676416,9.250268340110779e-05,True
10,16,2,8,1,1,1048576,torch.bfloat16,0.19443039894104003,603979776,9.250268340110779e-05,True
10,16,2,8,1,8,1048576,torch.bfloat16,0.8509920120239258,4831838208,9.250268340110779e-05,True
10,16,2,8,1,32,1048576,torch.bfloat16,3.3491870880126955,19327352832,9.250268340110779e-05,True
10,16,2,8,1,1,1024,torch.float8_e4m3fn,0.0496288001537323,294912,0.0005754695739597082,True
10,16,2,8,1,8,1024,torch.float8_e4m3fn,0.054872000217437746,2359296,0.0005754695739597082,True
10,16,2,8,1,32,1024,torch.float8_e4m3fn,0.05767520070075989,9437184,0.0005754695739597082,True
10,16,2,8,1,1,8192,torch.float8_e4m3fn,0.05333439707756042,2359296,0.0005754695739597082,True
10,16,2,8,1,8,8192,torch.float8_e4m3fn,0.06051679849624634,18874368,0.0005754695739597082,True
10,16,2,8,1,32,8192,torch.float8_e4m3fn,0.06955360174179077,75497472,0.0005754695739597082,True
10,16,2,8,1,1,32768,torch.float8_e4m3fn,0.05681440234184265,9437184,0.0005754695739597082,True
10,16,2,8,1,8,32768,torch.float8_e4m3fn,0.06956639885902405,75497472,0.0005754695739597082,True
10,16,2,8,1,32,32768,torch.float8_e4m3fn,0.11679840087890625,301989888,0.0005754695739597082,True
10,16,2,8,1,1,131072,torch.float8_e4m3fn,0.06760799884796143,37748736,0.0005754695739597082,True
10,16,2,8,1,8,131072,torch.float8_e4m3fn,0.11615999937057495,301989888,0.0005754695739597082,True
10,16,2,8,1,32,131072,torch.float8_e4m3fn,0.25069921016693114,1207959552,0.0005754695739597082,True
10,16,2,8,1,1,524288,torch.float8_e4m3fn,0.09951199889183045,150994944,0.0005754695739597082,True
10,16,2,8,1,8,524288,torch.float8_e4m3fn,0.24033279418945314,1207959552,0.0005754695739597082,True
10,16,2,8,1,32,524288,torch.float8_e4m3fn,0.7746928215026856,4831838208,0.0005754695739597082,True
10,16,2,8,1,1,1048576,torch.float8_e4m3fn,0.1252112030982971,301989888,0.0005754695739597082,True
10,16,2,8,1,8,1048576,torch.float8_e4m3fn,0.40749120712280273,2415919104,0.0005754695739597082,True
10,16,2,8,1,32,1048576,torch.float8_e4m3fn,1.474454402923584,9663676416,0.0005754695739597082,True
10,16,4,4,1,1,1024,torch.bfloat16,0.06875519752502442,294912,5.6702643632888794e-05,True
10,16,4,4,1,8,1024,torch.bfloat16,0.08050879836082458,2359296,5.6702643632888794e-05,True
10,16,4,4,1,32,1024,torch.bfloat16,0.08831040263175964,9437184,5.6702643632888794e-05,True
10,16,4,4,1,1,8192,torch.bfloat16,0.07432320117950439,2359296,5.6702643632888794e-05,True
10,16,4,4,1,8,8192,torch.bfloat16,0.08768640160560608,18874368,5.6702643632888794e-05,True
10,16,4,4,1,32,8192,torch.bfloat16,0.12848479747772218,75497472,5.6702643632888794e-05,True
10,16,4,4,1,1,32768,torch.bfloat16,0.07527999877929688,9437184,5.6702643632888794e-05,True
10,16,4,4,1,8,32768,torch.bfloat16,0.10980479717254639,75497472,5.6702643632888794e-05,True
10,16,4,4,1,32,32768,torch.bfloat16,0.18471839427947997,301989888,5.6702643632888794e-05,True
10,16,4,4,1,1,131072,torch.bfloat16,0.08883360028266907,37748736,5.6702643632888794e-05,True
10,16,4,4,1,8,131072,torch.bfloat16,0.1742176055908203,301989888,5.6702643632888794e-05,True
10,16,4,4,1,32,131072,torch.bfloat16,0.417632007598877,1207959552,5.6702643632888794e-05,True
10,16,4,4,1,1,524288,torch.bfloat16,0.13773759603500366,150994944,5.6702643632888794e-05,True
10,16,4,4,1,8,524288,torch.bfloat16,0.38022398948669434,1207959552,5.6702643632888794e-05,True
10,16,4,4,1,32,524288,torch.bfloat16,1.3315872192382812,4831838208,5.6702643632888794e-05,True
10,16,4,4,1,1,1048576,torch.bfloat16,0.18878719806671143,301989888,5.6702643632888794e-05,True
10,16,4,4,1,8,1048576,torch.bfloat16,0.6587503910064697,2415919104,5.6702643632888794e-05,True
10,16,4,4,1,32,1048576,torch.bfloat16,2.5583343505859375,9663676416,5.6702643632888794e-05,True
10,16,4,4,1,1,1024,torch.float8_e4m3fn,0.06631519794464111,147456,0.00043596280738711357,True
10,16,4,4,1,8,1024,torch.float8_e4m3fn,0.07815520167350769,1179648,0.00043596280738711357,True
10,16,4,4,1,32,1024,torch.float8_e4m3fn,0.08438400030136109,4718592,0.00043596280738711357,True
10,16,4,4,1,1,8192,torch.float8_e4m3fn,0.07124800086021424,1179648,0.00043596280738711357,True
10,16,4,4,1,8,8192,torch.float8_e4m3fn,0.08314080238342285,9437184,0.00043596280738711357,True
10,16,4,4,1,32,8192,torch.float8_e4m3fn,0.09632800221443176,37748736,0.00043596280738711357,True
10,16,4,4,1,1,32768,torch.float8_e4m3fn,0.07295839786529541,4718592,0.00043596280738711357,True
10,16,4,4,1,8,32768,torch.float8_e4m3fn,0.09166719913482665,37748736,0.00043596280738711357,True
10,16,4,4,1,32,32768,torch.float8_e4m3fn,0.13636480569839476,150994944,0.00043596280738711357,True
10,16,4,4,1,1,131072,torch.float8_e4m3fn,0.08245440125465393,18874368,0.00043596280738711357,True
10,16,4,4,1,8,131072,torch.float8_e4m3fn,0.13105440139770508,150994944,0.00043596280738711357,True
10,16,4,4,1,32,131072,torch.float8_e4m3fn,0.2448863983154297,603979776,0.00043596280738711357,True
10,16,4,4,1,1,524288,torch.float8_e4m3fn,0.10478559732437134,75497472,0.00043596280738711357,True
10,16,4,4,1,8,524288,torch.float8_e4m3fn,0.22824161052703856,603979776,0.00043596280738711357,True
10,16,4,4,1,32,524288,torch.float8_e4m3fn,0.6625743865966797,2415919104,0.00043596280738711357,True
10,16,4,4,1,1,1048576,torch.float8_e4m3fn,0.12870880365371704,150994944,0.00043596280738711357,True
10,16,4,4,1,8,1048576,torch.float8_e4m3fn,0.3564879894256592,1207959552,0.00043596280738711357,True
10,16,4,4,1,32,1048576,torch.float8_e4m3fn,1.2184880256652832,4831838208,0.00043596280738711357,True
10,16,8,2,1,1,1024,torch.bfloat16,0.09577440023422241,147456,3.4363940358161926e-05,True
10,16,8,2,1,8,1024,torch.bfloat16,0.10209759473800659,1179648,3.4363940358161926e-05,True
10,16,8,2,1,32,1024,torch.bfloat16,0.12804479598999025,4718592,3.4363940358161926e-05,True
10,16,8,2,1,1,8192,torch.bfloat16,0.10032479763031006,1179648,3.4363940358161926e-05,True
10,16,8,2,1,8,8192,torch.bfloat16,0.10970079898834229,9437184,3.4363940358161926e-05,True
10,16,8,2,1,32,8192,torch.bfloat16,0.1481775999069214,37748736,3.4363940358161926e-05,True
10,16,8,2,1,1,32768,torch.bfloat16,0.10046240091323852,4718592,3.4363940358161926e-05,True
10,16,8,2,1,8,32768,torch.bfloat16,0.11825599670410156,37748736,3.4363940358161926e-05,True
10,16,8,2,1,32,32768,torch.bfloat16,0.1844480037689209,150994944,3.4363940358161926e-05,True
10,16,8,2,1,1,131072,torch.bfloat16,0.10917919874191284,18874368,3.4363940358161926e-05,True
10,16,8,2,1,8,131072,torch.bfloat16,0.15032960176467897,150994944,3.4363940358161926e-05,True
10,16,8,2,1,32,131072,torch.bfloat16,0.2642431974411011,603979776,3.4363940358161926e-05,True
10,16,8,2,1,1,524288,torch.bfloat16,0.12873760461807252,75497472,3.4363940358161926e-05,True
10,16,8,2,1,8,524288,torch.bfloat16,0.23170080184936523,603979776,3.4363940358161926e-05,True
10,16,8,2,1,32,524288,torch.bfloat16,0.5734496116638184,2415919104,3.4363940358161926e-05,True
10,16,8,2,1,1,1048576,torch.bfloat16,0.15326399803161622,150994944,3.4363940358161926e-05,True
10,16,8,2,1,8,1048576,torch.bfloat16,0.3435679912567139,1207959552,3.4363940358161926e-05,True
10,16,8,2,1,32,1048576,torch.bfloat16,0.9996895790100098,4831838208,3.4363940358161926e-05,True
10,16,8,2,1,1,1024,torch.float8_e4m3fn,0.09725120067596435,73728,0.00030541408341377974,True
10,16,8,2,1,8,1024,torch.float8_e4m3fn,0.10525599718093873,589824,0.00030541408341377974,True
10,16,8,2,1,32,1024,torch.float8_e4m3fn,0.12237919569015503,2359296,0.00030541408341377974,True
10,16,8,2,1,1,8192,torch.float8_e4m3fn,0.09577440023422241,589824,0.00030541408341377974,True
10,16,8,2,1,8,8192,torch.float8_e4m3fn,0.104584002494812,4718592,0.00030541408341377974,True
10,16,8,2,1,32,8192,torch.float8_e4m3fn,0.12978399991989137,18874368,0.00030541408341377974,True
10,16,8,2,1,1,32768,torch.float8_e4m3fn,0.09881600141525268,2359296,0.00030541408341377974,True
10,16,8,2,1,8,32768,torch.float8_e4m3fn,0.10990719795227051,18874368,0.00030541408341377974,True
