mode,logical_length,requested_hit_rate,effective_hit_rate,cached_tokens_per_seq,fresh_tokens_per_seq,batch_size,p50_ms,p90_ms,p99_ms,fresh_tokens_per_s,logical_tokens_per_s
prefill_core,64,0.0,0.0,0,64,1,0.30881600081920624,0.32697278857231143,0.3477087962627411,207243.14747365782,207243.14747365782
prefill_core,256,0.0,0.0,0,256,1,0.39180800318717957,0.4065600007772446,0.43312224119901654,653381.2426432249,653381.2426432249
prefill_core,256,0.5,0.5,128,128,1,0.30209600925445557,0.3111167967319488,0.31541376262903215,423706.3585046751,847412.7170093502
prefill_core,256,0.75,0.75,192,64,1,0.29892800748348236,0.30771200656890874,0.3166400101780891,214098.37284496133,856393.4913798453
prefill_core,1024,0.0,0.0,0,1024,1,0.5021919906139374,0.506649625301361,0.5107967817783357,2039060.7957489414,2039060.7957489414
prefill_core,1024,0.5,0.5,512,512,1,0.40163199603557587,0.40976001024246217,0.4163206371665001,1274798.833394359,2549597.666788718
prefill_core,1024,0.75,0.75,768,256,1,0.3882400095462799,0.3944863945245743,0.4106374368071556,659385.930623628,2637543.722494512
prefill_core,1024,0.9,0.875,896,128,1,0.3020159900188446,0.31172160208225247,0.31496448665857313,423818.6196433285,3390548.957146628
prefill_core,1024,0.95,0.9375,960,64,1,0.30054400861263275,0.3128959953784943,0.32254111975431443,212947.18299471663,3407154.927915466
prefill_core,4096,0.0,0.0,0,4096,1,1.3309439420700073,1.3393471717834473,1.344551397562027,3077515.0406631865,3077515.0406631865
prefill_core,4096,0.5,0.5,2048,2048,1,0.7552639842033386,0.7605663955211639,0.7634147137403489,2711634.663951644,5423269.327903288
prefill_core,4096,0.75,0.75,3072,1024,1,0.5019520223140717,0.5087520122528076,0.5119776046276092,2040035.609935809,8160142.439743236
prefill_core,4096,0.9,0.890625,3648,448,1,0.40012800693511963,0.4092544049024582,0.41815071016550065,1119641.6952453987,10236724.070815075
prefill_core,4096,0.95,0.9375,3840,256,1,0.3890240043401718,0.3964256107807159,0.4053680017590523,658057.0791105927,10528913.265769484
prefill_core,4096,0.99,0.984375,4032,64,1,0.3009440004825592,0.3108863890171051,0.31609056919813155,212664.14979988622,13610505.587192718
prefill_core,16384,0.0,0.0,0,16384,1,4.820016145706177,4.821724700927734,4.824944467544555,3399158.7382119843,3399158.7382119843
prefill_core,16384,0.5,0.5,8192,8192,1,2.4802879095077515,2.482607889175415,2.4848658800125123,3302842.3710801457,6605684.742160291
prefill_core,16384,0.75,0.75,12288,4096,1,1.3270400166511536,1.3295455694198608,1.3300467669963836,3086568.565080987,12346274.260323947
prefill_core,16384,0.9,0.8984375,14720,1664,1,0.6726559996604919,0.6766560077667236,0.68154911339283,2473775.601258097,24357175.15084896
prefill_core,16384,0.95,0.94921875,15552,832,1,0.45632000267505646,0.460870411992073,0.4661206349730492,1823281.8967448678,35904628.12051432
prefill_core,16384,0.99,0.98828125,16192,192,1,0.39369599521160126,0.41316480934619904,0.5150937730073927,487685.93619248027,41615866.55509165
decode_core,1,1.0,1.0,0,1,1,0.09463999792933464,0.10547839999198916,0.11732384033501148,10566.356951388307,10566.356951388307
decode_core,1,1.0,1.0,0,1,8,0.09404800087213516,0.09791359826922418,0.15770816497504703,85062.94579165548,85062.94579165548
decode_core,1,1.0,1.0,0,1,32,0.1210239976644516,0.123107198625803,0.12373503737151623,264410.3699889544,264410.3699889544
decode_core,1,1.0,1.0,0,1,128,0.2780639976263046,0.2789567857980728,0.28013472080230717,460325.6843484699,460325.6843484699
