rank,tp,dp,context,chunk,cache_dtype,cold_prefill_cuda_ms,cold_prefill_wall_ms,dynamic_peak_bytes,cache_bytes,split_vs_unsplit_relative_l2,weights,samples
1,4,4,1048576,8192,fp8_e4m3,8197.984375,8198.05293896934,5911283200,603979776,0.0068412357941269875,MLA layer 3,1
2,16,1,8192,8192,bfloat16,12.300448417663574,12.353588012047112,215811072,9437184,0.0,MLA layer 3,1
2,16,1,131072,8192,bfloat16,7612.5341796875,7612.603298039176,1236010496,150994944,0.004252754617482424,MLA layer 3,1
2,16,1,1048576,8192,bfloat16,2971.861572265625,2971.902120974846,2586183168,1207959552,0.006312869489192963,MLA layer 3,1
2,16,1,1048576,4096,bfloat16,3800.65234375,3800.698334001936,2476279296,1207959552,0.006080470513552427,MLA layer 3,1
2,16,1,1048576,16384,bfloat16,1982.041748046875,1982.0843079942279,2803893760,1207959552,0.006186738610267639,MLA layer 3,1
2,16,1,8192,8192,fp8_e4m3,3.364255905151367,3.391214006114751,215811072,4718592,0.0,MLA layer 3,1
2,16,1,131072,8192,fp8_e4m3,86.62812805175781,86.65486599784344,1236010496,75497472,0.004408787935972214,MLA layer 3,1
2,16,1,1048576,8192,fp8_e4m3,2941.03271484375,2941.0789670073427,2586183168,603979776,0.006423066835850477,MLA layer 3,1
2,16,1,1048576,4096,fp8_e4m3,3945.072265625,3945.1190030085854,2476279296,603979776,0.00626356853172183,MLA layer 3,1
2,16,1,1048576,16384,fp8_e4m3,2016.970947265625,2017.0119910035282,2803893760,603979776,0.006239296402782202,MLA layer 3,1
2,8,2,8192,8192,bfloat16,2.129312038421631,2.1664740052074194,304677888,9437184,0.0,MLA layer 3,1
2,8,2,131072,8192,bfloat16,100.88690948486328,100.91438796371222,2061960704,150994944,0.004243088886141777,MLA layer 3,1
2,8,2,1048576,8192,bfloat16,4236.1494140625,4236.195987963583,3694855680,1207959552,0.006312725134193897,MLA layer 3,1
2,8,2,8192,8192,fp8_e4m3,2.3260159492492676,2.359689970035106,304677888,4718592,0.0,MLA layer 3,1
2,8,2,131072,8192,fp8_e4m3,102.52403259277344,102.55106899421662,2061960704,75497472,0.004397677723318338,MLA layer 3,1
2,8,2,1048576,8192,fp8_e4m3,4314.796875,4314.850295020733,3694855680,603979776,0.006420935969799757,MLA layer 3,1
2,4,4,8192,8192,bfloat16,2.7827200889587402,2.8235319769009948,482411520,9437184,0.0,MLA layer 3,1
2,4,4,131072,8192,bfloat16,163.212646484375,163.24288700707257,3713992192,150994944,0.004635257180780172,MLA layer 3,1
2,4,4,1048576,8192,bfloat16,8186.10205078125,8186.168166983407,5911283200,1207959552,0.006740302313119173,MLA layer 3,1
2,4,4,8192,8192,fp8_e4m3,2.573215961456299,2.6055799680761993,482411520,4718592,0.0,MLA layer 3,1
2,4,4,131072,8192,fp8_e4m3,161.57037353515625,161.5985970129259,3713992192,75497472,0.004787754733115435,MLA layer 3,1
2,4,4,1048576,8192,fp8_e4m3,8197.984375,8198.050570965279,5911283200,603979776,0.0068412357941269875,MLA layer 3,1
3,16,1,8192,8192,bfloat16,12.302816390991211,12.356820050626993,215811072,9437184,0.0,MLA layer 3,1
3,16,1,131072,8192,bfloat16,7612.53271484375,7612.602434004657,1236010496,150994944,0.004252754617482424,MLA layer 3,1
3,16,1,1048576,8192,bfloat16,2971.845703125,2971.89178498229,2586183168,1207959552,0.006312869489192963,MLA layer 3,1
3,16,1,1048576,4096,bfloat16,3800.6376953125,3800.689598021563,2476279296,1207959552,0.006080470513552427,MLA layer 3,1
3,16,1,1048576,16384,bfloat16,1982.03369140625,1982.0771400118247,2803893760,1207959552,0.006186738610267639,MLA layer 3,1
3,16,1,8192,8192,fp8_e4m3,3.336575984954834,3.3688779803924263,215811072,4718592,0.0,MLA layer 3,1
3,16,1,131072,8192,fp8_e4m3,86.62185668945312,86.65208198362961,1236010496,75497472,0.004408787935972214,MLA layer 3,1
3,16,1,1048576,8192,fp8_e4m3,2941.022216796875,2941.0645670141093,2586183168,603979776,0.006423066835850477,MLA layer 3,1
3,16,1,1048576,4096,fp8_e4m3,3945.049072265625,3945.1011790079065,2476279296,603979776,0.00626356853172183,MLA layer 3,1
3,16,1,1048576,16384,fp8_e4m3,2016.9544677734375,2017.001302971039,2803893760,603979776,0.006239296402782202,MLA layer 3,1
3,8,2,8192,8192,bfloat16,2.1280319690704346,2.1681059733964503,304677888,9437184,0.0,MLA layer 3,1
3,8,2,131072,8192,bfloat16,100.88134765625,100.91077198740095,2061960704,150994944,0.004243088886141777,MLA layer 3,1
3,8,2,1048576,8192,bfloat16,4236.14501953125,4236.193716002163,3694855680,1207959552,0.006312725134193897,MLA layer 3,1
3,8,2,8192,8192,fp8_e4m3,2.292288064956665,2.331145980861038,304677888,4718592,0.0,MLA layer 3,1
3,8,2,131072,8192,fp8_e4m3,102.49906921386719,102.52790100639686,2061960704,75497472,0.004397677723318338,MLA layer 3,1
3,8,2,1048576,8192,fp8_e4m3,4314.78466796875,4314.843126980122,3694855680,603979776,0.006420935969799757,MLA layer 3,1
3,4,4,8192,8192,bfloat16,2.785952091217041,2.82990001142025,482411520,9437184,0.0,MLA layer 3,1
3,4,4,131072,8192,bfloat16,163.19541931152344,163.2265669759363,3713992192,150994944,0.004635257180780172,MLA layer 3,1
3,4,4,1048576,8192,bfloat16,8186.09716796875,8186.170471017249,5911283200,1207959552,0.006740302313119173,MLA layer 3,1
3,4,4,8192,8192,fp8_e4m3,2.4889280796051025,2.524970972444862,482411520,4718592,0.0,MLA layer 3,1
3,4,4,131072,8192,fp8_e4m3,161.5729217529297,161.60458099329844,3713992192,75497472,0.004787754733115435,MLA layer 3,1
3,4,4,1048576,8192,fp8_e4m3,8197.986328125,8198.05930700386,5911283200,603979776,0.0068412357941269875,MLA layer 3,1
4,16,1,8192,8192,bfloat16,12.259712219238281,12.324656825512648,215811072,9437184,0.0,MLA layer 3,1
4,16,1,131072,8192,bfloat16,7612.49365234375,7612.384520005435,1236010496,150994944,0.004252754617482424,MLA layer 3,1
4,16,1,1048576,8192,bfloat16,2971.84423828125,2971.821014303714,2586183168,1207959552,0.006312869489192963,MLA layer 3,1
4,16,1,1048576,4096,bfloat16,3800.6201171875,3800.5844289436936,2476279296,1207959552,0.006080470513552427,MLA layer 3,1
4,16,1,1048576,16384,bfloat16,1982.015625,1982.0173531770706,2803893760,1207959552,0.006186738610267639,MLA layer 3,1
4,16,1,8192,8192,fp8_e4m3,3.3360960483551025,3.3684498630464077,215811072,4718592,0.0,MLA layer 3,1
4,16,1,131072,8192,fp8_e4m3,86.61062622070312,86.63842640817165,1236010496,75497472,0.004408787935972214,MLA layer 3,1
