rank,world,tp,dp,phase,cache_dtype,context,batch_per_dp,chunk,eager_ms,graph_ms,dynamic_peak_bytes,cache_bytes,short_reference_relative_l2
14,16,16,1,decode,fp8_e4m3,1024,1,1,2.0610879262288413,0.11258399486541748,31744,589824,0.03509664535522461
14,16,16,1,decode,fp8_e4m3,1024,8,1,1.9999465942382812,0.10485600233078003,246784,4718592,0.03509664535522461
14,16,16,1,decode,fp8_e4m3,1024,32,1,1.684127966562907,0.11571520566940308,987136,18874368,0.03509664535522461
14,16,16,1,prefill,fp8_e4m3,1024,1,128,2.958165486653646,,11076096,589824,0.0076119983568787575
14,16,16,1,prefill,fp8_e4m3,1024,1,1024,1.7110613187154133,,29361152,589824,0.0076119983568787575
14,16,16,1,decode,fp8_e4m3,8192,1,1,1.9836373329162598,0.11364799737930298,31744,4718592,0.03509664535522461
14,16,16,1,decode,fp8_e4m3,8192,8,1,1.7370559374491374,0.1176800012588501,246784,37748736,0.03509664535522461
14,16,16,1,decode,fp8_e4m3,8192,32,1,1.7163947423299153,0.15887680053710937,987136,150994944,0.03509664535522461
14,16,16,1,prefill,fp8_e4m3,8192,1,128,2.967679977416992,,65438208,4718592,0.0076119983568787575
14,16,16,1,prefill,fp8_e4m3,8192,1,1024,2.5421226819356284,,80209408,4718592,0.0076119983568787575
14,16,16,1,prefill,fp8_e4m3,8192,1,8192,1.6953493754069011,,215745536,4718592,0.0076119983568787575
14,16,16,1,decode,fp8_e4m3,32768,1,1,1.8878827095031738,0.1280079960823059,31744,18874368,0.03509664535522461
14,16,16,1,decode,fp8_e4m3,32768,8,1,1.9448639551798503,0.1565392017364502,246784,150994944,0.03509664535522461
14,16,16,1,decode,fp8_e4m3,32768,32,1,1.6466453870137532,0.2270832061767578,987136,603979776,0.03509664535522461
14,16,16,1,prefill,fp8_e4m3,32768,1,128,3.0115200678507485,,254820864,18874368,0.0076119983568787575
14,16,16,1,prefill,fp8_e4m3,32768,1,1024,2.984874725341797,,268297728,18874368,0.0076119983568787575
14,16,16,1,prefill,fp8_e4m3,32768,1,8192,3.199157396952311,,363529728,18874368,0.0076119983568787575
14,16,16,1,decode,fp8_e4m3,131072,1,1,1.9899946848551433,0.1507904052734375,31744,75497472,0.03509664535522461
14,16,16,1,decode,fp8_e4m3,131072,8,1,2.014047940572103,0.22076959609985353,246784,603979776,0.03509664535522461
14,16,16,1,decode,fp8_e4m3,131072,32,1,1.7176106770833333,0.48951358795166017,987136,2415919104,0.03509664535522461
14,16,16,1,prefill,fp8_e4m3,131072,1,128,4.06005318959554,,1010139648,75497472,0.0076119983568787575
14,16,16,1,prefill,fp8_e4m3,131072,1,1024,4.470143953959147,,1021568512,75497472,0.0076119983568787575
14,16,16,1,prefill,fp8_e4m3,131072,1,8192,6.524586359659831,,1119553024,75497472,0.0076119983568787575
14,16,16,1,decode,fp8_e4m3,524288,1,1,2.0606187184651694,0.19030879735946654,31744,301989888,0.03509664535522461
