rank,world,tp,dp,phase,cache_dtype,context,batch_per_dp,chunk,eager_ms,graph_ms,dynamic_peak_bytes,cache_bytes,short_reference_relative_l2
15,16,16,1,decode,fp8_e4m3,1024,1,1,2.061962604522705,0.1128432035446167,31744,589824,0.03509664535522461
15,16,16,1,decode,fp8_e4m3,1024,8,1,2.0009493827819824,0.10497920513153076,246784,4718592,0.03509664535522461
15,16,16,1,decode,fp8_e4m3,1024,32,1,1.687071959177653,0.11592960357666016,987136,18874368,0.03509664535522461
15,16,16,1,prefill,fp8_e4m3,1024,1,128,2.96012814839681,,11076096,589824,0.0076119983568787575
15,16,16,1,prefill,fp8_e4m3,1024,1,1024,1.7121386528015137,,29361152,589824,0.0076119983568787575
15,16,16,1,decode,fp8_e4m3,8192,1,1,1.9853332837422688,0.1136847972869873,31744,4718592,0.03509664535522461
15,16,16,1,decode,fp8_e4m3,8192,8,1,1.742421309153239,0.1177791953086853,246784,37748736,0.03509664535522461
15,16,16,1,decode,fp8_e4m3,8192,32,1,1.7181866963704426,0.15895839929580688,987136,150994944,0.03509664535522461
15,16,16,1,prefill,fp8_e4m3,8192,1,128,2.9684054056803384,,65438208,4718592,0.0076119983568787575
15,16,16,1,prefill,fp8_e4m3,8192,1,1024,2.543264071146647,,80209408,4718592,0.0076119983568787575
15,16,16,1,prefill,fp8_e4m3,8192,1,8192,1.695807933807373,,215745536,4718592,0.0076119983568787575
15,16,16,1,decode,fp8_e4m3,32768,1,1,1.8888427416483562,0.1282896041870117,31744,18874368,0.03509664535522461
15,16,16,1,decode,fp8_e4m3,32768,8,1,1.9452053705851238,0.1566319942474365,246784,150994944,0.03509664535522461
15,16,16,1,decode,fp8_e4m3,32768,32,1,1.6477333704630535,0.22725119590759277,987136,603979776,0.03509664535522461
15,16,16,1,prefill,fp8_e4m3,32768,1,128,3.012159983317057,,254820864,18874368,0.0076119983568787575
15,16,16,1,prefill,fp8_e4m3,32768,1,1024,2.984970728556315,,268297728,18874368,0.0076119983568787575
15,16,16,1,prefill,fp8_e4m3,32768,1,8192,3.1991360982259116,,363529728,18874368,0.0076119983568787575
15,16,16,1,decode,fp8_e4m3,131072,1,1,1.9901013374328613,0.15106719732284546,31744,75497472,0.03509664535522461
15,16,16,1,decode,fp8_e4m3,131072,8,1,2.0142186482747397,0.22101919651031493,246784,603979776,0.03509664535522461
15,16,16,1,decode,fp8_e4m3,131072,32,1,1.7182292938232422,0.48965277671813967,987136,2415919104,0.03509664535522461
15,16,16,1,prefill,fp8_e4m3,131072,1,128,4.061130523681641,,1010139648,75497472,0.0076119983568787575
15,16,16,1,prefill,fp8_e4m3,131072,1,1024,4.469738642374675,,1021568512,75497472,0.0076119983568787575
15,16,16,1,prefill,fp8_e4m3,131072,1,8192,6.525482813517253,,1119553024,75497472,0.0076119983568787575
15,16,16,1,decode,fp8_e4m3,524288,1,1,2.0616000493367515,0.19038560390472412,31744,301989888,0.03509664535522461
15,16,16,1,decode,fp8_e4m3,524288,8,1,2.054858684539795,0.46706080436706543,246784,2415919104,0.03509664535522461
15,16,16,1,decode,fp8_e4m3,524288,32,1,2.11954132715861,1.541102409362793,987136,9663676416,0.03509664535522461
15,16,16,1,prefill,fp8_e4m3,524288,1,128,12.7139523824056,,1764125184,301989888,0.0076119983568787575
15,16,16,1,prefill,fp8_e4m3,524288,1,1024,14.334528605143229,,1776756224,301989888,0.0076119983568787575
15,16,16,1,prefill,fp8_e4m3,524288,1,8192,21.80841573079427,,1864697344,301989888,0.0076119983568787575
15,16,16,1,decode,fp8_e4m3,1048576,1,1,2.1130453745524087,0.2446415901184082,31744,603979776,0.03509664535522461
15,16,16,1,decode,fp8_e4m3,1048576,8,1,2.0974292755126953,0.803438377380371,246784,4831838208,0.03509664535522461
15,16,16,1,decode,fp8_e4m3,1048576,32,1,3.3466132481892905,2.962929534912109,987136,19327352832,0.03509664535522461
15,16,16,1,prefill,fp8_e4m3,1048576,1,128,24.025238037109375,,2368104960,603979776,0.0076119983568787575
15,16,16,1,prefill,fp8_e4m3,1048576,1,1024,27.571690877278645,,2381260288,603979776,0.0076119983568787575
15,16,16,1,prefill,fp8_e4m3,1048576,1,8192,42.22269948323568,,2468677120,603979776,0.0076119983568787575
15,16,16,1,decode,bfloat16,1024,1,1,1.9982719421386719,0.10691360235214234,31744,1179648,0.006898726802319288
15,16,16,1,decode,bfloat16,1024,8,1,1.715402603149414,0.10218240022659301,246784,9437184,0.006898726802319288
15,16,16,1,decode,bfloat16,1024,32,1,1.665269374847412,0.13400479555130004,987136,37748736,0.006898726802319288
15,16,16,1,prefill,bfloat16,1024,1,128,3.0809812545776367,,11272704,1179648,0.001956015592440963
15,16,16,1,prefill,bfloat16,1024,1,1024,1.7373119990030925,,28967936,1179648,0.001956015592440963
15,16,16,1,decode,bfloat16,8192,1,1,2.0286506017049155,0.11235200166702271,31744,9437184,0.006898726802319288
15,16,16,1,decode,bfloat16,8192,8,1,1.9236373901367188,0.14230879545211791,246784,75497472,0.006898726802319288
15,16,16,1,decode,bfloat16,8192,32,1,1.6447253227233887,0.1859823942184448,987136,301989888,0.006898726802319288
15,16,16,1,prefill,bfloat16,8192,1,128,3.0629119873046875,,65438208,9437184,0.001956015592440963
15,16,16,1,prefill,bfloat16,8192,1,1024,2.974677403767904,,79554048,9437184,0.001956015592440963
15,16,16,1,prefill,bfloat16,8192,1,8192,1.8137173652648926,,215745536,9437184,0.001956015592440963
15,16,16,1,decode,bfloat16,32768,1,1,1.9988586107889812,0.13729599714279175,31744,37748736,0.006898726802319288
15,16,16,1,decode,bfloat16,32768,8,1,1.9776852925618489,0.17957119941711425,246784,301989888,0.006898726802319288
15,16,16,1,decode,bfloat16,32768,32,1,1.6820693016052246,0.33967840671539307,987136,1207959552,0.006898726802319288
15,16,16,1,prefill,bfloat16,32768,1,128,3.1767679850260415,,254820864,37748736,0.001956015592440963
15,16,16,1,prefill,bfloat16,32768,1,1024,3.094933191935221,,268297728,37748736,0.001956015592440963
15,16,16,1,prefill,bfloat16,32768,1,8192,3.070378621419271,,363529728,37748736,0.001956015592440963
