rank,world,tp,dp,phase,cache_dtype,context,batch_per_dp,chunk,eager_ms,graph_ms,dynamic_peak_bytes,cache_bytes,short_reference_relative_l2
2,16,16,1,decode,fp8_e4m3,1024,1,1,2.060138702392578,0.11259679794311524,31744,589824,0.03509664535522461
2,16,16,1,decode,fp8_e4m3,1024,8,1,1.9993279774983723,0.10507359504699706,246784,4718592,0.03509664535522461
2,16,16,1,decode,fp8_e4m3,1024,32,1,1.6861012776692708,0.11571040153503417,987136,18874368,0.03509664535522461
2,16,16,1,prefill,fp8_e4m3,1024,1,128,2.9589866002400718,,11076096,589824,0.0076119983568787575
2,16,16,1,prefill,fp8_e4m3,1024,1,1024,1.7081599235534668,,29361152,589824,0.0076119983568787575
2,16,16,1,decode,fp8_e4m3,8192,1,1,1.9835947354634602,0.11388959884643554,31744,4718592,0.03509664535522461
2,16,16,1,decode,fp8_e4m3,8192,8,1,1.740575949350993,0.11779199838638306,246784,37748736,0.03509664535522461
2,16,16,1,decode,fp8_e4m3,8192,32,1,1.7164479891459148,0.1588703989982605,987136,150994944,0.03509664535522461
2,16,16,1,prefill,fp8_e4m3,8192,1,128,2.9679892857869468,,65438208,4718592,0.0076119983568787575
2,16,16,1,prefill,fp8_e4m3,8192,1,1024,2.542400042215983,,80209408,4718592,0.0076119983568787575
2,16,16,1,prefill,fp8_e4m3,8192,1,8192,1.6956693331400554,,215745536,4718592,0.0076119983568787575
2,16,16,1,decode,fp8_e4m3,32768,1,1,1.8890239397684734,0.1283136010169983,31744,18874368,0.03509664535522461
2,16,16,1,decode,fp8_e4m3,32768,8,1,1.944661299387614,0.15666240453720093,246784,150994944,0.03509664535522461
2,16,16,1,decode,fp8_e4m3,32768,32,1,1.645525296529134,0.22729918956756592,987136,603979776,0.03509664535522461
2,16,16,1,prefill,fp8_e4m3,32768,1,128,3.011317253112793,,254820864,18874368,0.0076119983568787575
2,16,16,1,prefill,fp8_e4m3,32768,1,1024,2.985322634379069,,268297728,18874368,0.0076119983568787575
2,16,16,1,prefill,fp8_e4m3,32768,1,8192,3.1994028091430664,,363529728,18874368,0.0076119983568787575
2,16,16,1,decode,fp8_e4m3,131072,1,1,1.991146723429362,0.15092639923095702,31744,75497472,0.03509664535522461
2,16,16,1,decode,fp8_e4m3,131072,8,1,2.0131093660990396,0.22105278968811035,246784,603979776,0.03509664535522461
2,16,16,1,decode,fp8_e4m3,131072,32,1,1.7173226674397786,0.4897295951843262,987136,2415919104,0.03509664535522461
2,16,16,1,prefill,fp8_e4m3,131072,1,128,4.059317270914714,,1010139648,75497472,0.0076119983568787575
2,16,16,1,prefill,fp8_e4m3,131072,1,1024,4.468981424967448,,1021568512,75497472,0.0076119983568787575
2,16,16,1,prefill,fp8_e4m3,131072,1,8192,6.523893356323242,,1119553024,75497472,0.0076119983568787575
2,16,16,1,decode,fp8_e4m3,524288,1,1,2.0605759620666504,0.1904752016067505,31744,301989888,0.03509664535522461
