stage,allocated_bytes,peak_allocated_bytes,elapsed_seconds
baseline,0,0,0.00018129299860447645
restore latent cache,132120576,469762048,0.0665753249777481
expand cached K/V,10005643264,10005643264,0.41161633597221226
join cached + fresh,19467993088,19467993088,0.41650288295932114
FlashAttention,19870646272,19870646272,9.162742447922938
