stage,allocated_bytes,peak_allocated_bytes,elapsed_seconds
baseline,0,0,0.0001794459531083703
restore latent cache,18874368,67108864,0.07050979696214199
expand cached K/V,1436680192,1436680192,0.3923590159974992
join cached + fresh,4859232256,4859232256,0.39532084995880723
FlashAttention,5261885440,5261885440,9.118050283985212
