stage,allocated_bytes,peak_allocated_bytes,elapsed_seconds
baseline,0,0,0.00017600308638066053
restore latent cache,1189085184,4227858432,0.07061523105949163
expand cached K/V,89982631936,89982631936,0.43743203300982714
join cached + fresh,155816427520,155816427520,0.46674992504995316
FlashAttention,156219080704,156219080704,9.80143701506313
