target,batch,length,active_tokens,peak_allocated_bytes,peak_reserved_bytes,allocated_bytes_per_token
moe,1,128,128,58787840,58720256,459280.0
moe,1,512,512,235184128,234881024,459344.0
moe,1,2048,2048,940736512,941621248,459344.0
moe,1,8192,8192,3763324928,3764387840,459390.25
moe,1,16384,16384,7527104512,7537164288,459418.0
