stage,allocated_bytes,peak_allocated_bytes,elapsed_seconds
baseline,0,0,0.00017456698697060347
restore latent cache,585105408,2080374784,0.06856181903276592
expand cached K/V,44281495552,44281495552,0.4270572520326823
join cached + fresh,77903036416,77903036416,0.4446374940453097
FlashAttention,78305689600,78305689600,9.456669153063558
