stage,allocated_bytes,peak_allocated_bytes,elapsed_seconds
baseline,0,0,0.00018788897432386875
restore latent cache,1189085184,4227858432,0.07051429792772979
expand cached K/V,89982631936,89982631936,0.4532804728951305
join cached + fresh,155816427520,155816427520,0.4823482639621943
FlashAttention,156219080704,156219080704,9.777090340969153
