stage,allocated_bytes,peak_allocated_bytes,elapsed_seconds
baseline,0,0,0.00018064503092318773
restore latent cache,56623104,201326592,0.0684055769816041
expand cached K/V,4293001216,4293001216,0.4036173210479319
join cached + fresh,9728819200,9728819200,0.4072170110885054
FlashAttention,10131472384,10131472384,9.140301428036764
