rank,tp,dp,phase,batch_per_dp,chunk,ms,graph_ms,dynamic_peak_bytes,state_bytes
0,1,8,prefill,1,1024,2.5867838859558105,,881442816,3440640
0,1,8,prefill,1,8192,14.2958402633667,,7048445952,3440640
0,1,8,prefill,1,16384,28.574111938476562,,14096449536,3440640
0,1,8,decode,1,1,0.6530560255050659,0.15033067067464193,246272,3440640
0,1,8,decode,8,1,0.6501439809799194,0.1624565283457438,1969664,27525120
0,1,8,decode,32,1,0.5693759918212891,0.20606826146443685,8468480,110100480
0,1,8,decode,128,1,0.536575973033905,0.3528341293334961,31580160,440401920
0,1,8,decode,256,1,0.6499199867248535,0.6399125417073568,63029248,880803840
0,2,4,prefill,1,1024,2.2155520915985107,,440721408,1720320
0,2,4,prefill,1,8192,7.89247989654541,,3524222976,1720320
0,2,4,prefill,1,16384,15.160351753234863,,7048224768,1720320
0,2,4,decode,1,1,0.8863360285758972,0.1053109327952067,125440,1720320
0,2,4,decode,8,1,0.8850240111351013,0.11144533157348632,1002496,13762560
0,2,4,decode,32,1,0.874176025390625,0.1389301300048828,4074496,55050240
0,2,4,decode,128,1,0.7202879786491394,0.2180554707845052,16101376,220200960
0,2,4,decode,256,1,0.6668480038642883,0.387500794728597,32071680,440401920
0,4,2,prefill,1,1024,1.9582719802856445,,220360704,860160
0,4,2,prefill,1,8192,4.629727840423584,,1762111488,860160
0,4,2,prefill,1,16384,8.557087898254395,,3524112384,860160
0,4,2,decode,1,1,0.7643839716911316,0.07736639976501465,70144,860160
0,4,2,decode,8,1,0.7534719705581665,0.080731733640035,559616,6881280
0,4,2,decode,32,1,0.7788479924201965,0.09541013240814208,2238464,27525120
0,4,2,decode,128,1,0.7444480061531067,0.14516587257385255,8953856,110100480
0,4,2,decode,256,1,0.7127040028572083,0.2268074671427409,17973248,220200960
0,8,1,prefill,1,1024,2.178623914718628,,110180352,430080
0,8,1,prefill,1,8192,3.6499838829040527,,881055744,430080
0,8,1,prefill,1,16384,5.5675201416015625,,1762056192,430080
0,8,1,decode,1,1,1.1278719902038574,0.07218133608500163,42496,430080
0,8,1,decode,8,1,1.1284159421920776,0.07575146357218425,338432,3440640
0,8,1,decode,32,1,1.0289920568466187,0.08220799763997395,1352704,13762560
0,8,1,decode,128,1,1.0131200551986694,0.1096127986907959,5476352,55050240
0,8,1,decode,256,1,1.0127359628677368,0.17571946779886882,11345920,110100480
1,1,8,prefill,1,1024,2.4939520359039307,,881442816,3440640
1,1,8,prefill,1,8192,14.30025577545166,,7048445952,3440640
1,1,8,prefill,1,16384,28.608320236206055,,14096449536,3440640
1,1,8,decode,1,1,0.6790080070495605,0.1520415941874186,246272,3440640
1,1,8,decode,8,1,0.6648960113525391,0.16311465899149577,1969664,27525120
1,1,8,decode,32,1,0.6070719957351685,0.2064202626546224,8468480,110100480
1,1,8,decode,128,1,0.5619199872016907,0.3544810612996419,31580160,440401920
1,1,8,decode,256,1,0.650879979133606,0.6381290435791016,63029248,880803840
1,2,4,prefill,1,1024,2.2101759910583496,,440721408,1720320
1,2,4,prefill,1,8192,7.887360095977783,,3524222976,1720320
1,2,4,prefill,1,16384,15.156415939331055,,7048224768,1720320
1,2,4,decode,1,1,0.8777279853820801,0.10517013072967529,125440,1720320
1,2,4,decode,8,1,0.8817920088768005,0.1113696018854777,1002496,13762560
1,2,4,decode,32,1,0.8678399920463562,0.1388917287190755,4074496,55050240
1,2,4,decode,128,1,0.72297602891922,0.21811200777689616,16101376,220200960
1,2,4,decode,256,1,0.6663680076599121,0.38754774729410807,32071680,440401920
1,4,2,prefill,1,1024,1.9514240026474,,220360704,860160
1,4,2,prefill,1,8192,4.630303859710693,,1762111488,860160
1,4,2,prefill,1,16384,8.564767837524414,,3524112384,860160
1,4,2,decode,1,1,0.7615360021591187,0.0774282693862915,70144,860160
1,4,2,decode,8,1,0.7540159821510315,0.08073919614156087,559616,6881280
1,4,2,decode,32,1,0.7712640166282654,0.09530026912689209,2238464,27525120
1,4,2,decode,128,1,0.7459840178489685,0.14507519404093425,8953856,110100480
1,4,2,decode,256,1,0.7263039946556091,0.2267178694407145,17973248,220200960
1,8,1,prefill,1,1024,2.1821439266204834,,110180352,430080
1,8,1,prefill,1,8192,3.6527678966522217,,881055744,430080
1,8,1,prefill,1,16384,5.5669121742248535,,1762056192,430080
1,8,1,decode,1,1,1.1295039653778076,0.0720415989557902,42496,430080
1,8,1,decode,8,1,1.1319040060043335,0.07566933631896973,338432,3440640
1,8,1,decode,32,1,1.0285760164260864,0.08230826854705811,1352704,13762560
1,8,1,decode,128,1,1.0176639556884766,0.10953173637390137,5476352,55050240
1,8,1,decode,256,1,1.0158079862594604,0.17574826876322427,11345920,110100480
2,1,8,prefill,1,1024,2.5263679027557373,,881442816,3440640
2,1,8,prefill,1,8192,14.317248344421387,,7048445952,3440640
2,1,8,prefill,1,16384,28.596704483032227,,14096449536,3440640
2,1,8,decode,1,1,0.6551679968833923,0.15072426795959473,246272,3440640
2,1,8,decode,8,1,0.6547200083732605,0.16267733573913573,1969664,27525120
2,1,8,decode,32,1,0.6266880035400391,0.20558187166849773,8468480,110100480
2,1,8,decode,128,1,0.5532479882240295,0.3537098566691081,31580160,440401920
2,1,8,decode,256,1,0.6502400040626526,0.6381962458292644,63029248,880803840
2,2,4,prefill,1,1024,2.2073280811309814,,440721408,1720320
2,2,4,prefill,1,8192,7.890624046325684,,3524222976,1720320
2,2,4,prefill,1,16384,15.169952392578125,,7048224768,1720320
2,2,4,decode,1,1,0.8877120018005371,0.10649600028991699,125440,1720320
2,2,4,decode,8,1,0.8785920143127441,0.11250240008036295,1002496,13762560
2,2,4,decode,32,1,0.8790079951286316,0.13943680127461752,4074496,55050240
2,2,4,decode,128,1,0.7137280106544495,0.21870080629984537,16101376,220200960
2,2,4,decode,256,1,0.6656000018119812,0.3888479868570964,32071680,440401920
2,4,2,prefill,1,1024,1.9525120258331299,,220360704,860160
2,4,2,prefill,1,8192,4.626944065093994,,1762111488,860160
2,4,2,prefill,1,16384,8.560864448547363,,3524112384,860160
2,4,2,decode,1,1,0.7548480033874512,0.07740373611450195,70144,860160
2,4,2,decode,8,1,0.7535679936408997,0.08065493106842041,559616,6881280
2,4,2,decode,32,1,0.7790719866752625,0.09521493117014566,2238464,27525120
2,4,2,decode,128,1,0.7470080256462097,0.14498666127522786,8953856,110100480
2,4,2,decode,256,1,0.7152640223503113,0.22667840321858723,17973248,220200960
2,8,1,prefill,1,1024,2.1825919151306152,,110180352,430080
2,8,1,prefill,1,8192,3.6510720252990723,,881055744,430080
2,8,1,prefill,1,16384,5.561823844909668,,1762056192,430080
2,8,1,decode,1,1,1.1242239475250244,0.07199146747589111,42496,430080
2,8,1,decode,8,1,1.125823974609375,0.07561173439025878,338432,3440640
