rank,ep,expert_tp,global_tokens,original_rows_per_rank,rows_after_tp_gather,graph_ms,relative_l2_vs_ep16,includes_tp_gather_and_reduce_scatter
0,16,1,16,1,1,0.18579626083374023,0.0,True
0,16,1,128,8,8,0.20583465894063313,0.0,True
0,16,1,2048,128,128,0.26299947102864585,0.0,True
0,16,1,8192,512,512,0.3887616157531738,0.0,True
0,8,2,16,1,2,0.24390613238016765,0.003170400159433484,True
0,8,2,128,8,16,0.251421864827474,0.0032259980216622353,True
0,8,2,2048,128,256,0.33157440821329753,0.0032572594936937094,True
0,8,2,8192,512,1024,0.5558336257934571,0.003255261806771159,True
1,16,1,16,1,1,0.18560214042663575,0.0,True
1,16,1,128,8,8,0.20554347038269044,0.0,True
1,16,1,2048,128,128,0.2627840042114258,0.0,True
1,16,1,8192,512,512,0.38823893864949544,0.0,True
1,8,2,16,1,2,0.24373332659403482,0.003273156238719821,True
1,8,2,128,8,16,0.25104212760925293,0.0032594085205346346,True
1,8,2,2048,128,256,0.33120959599812827,0.003248026128858328,True
1,8,2,8192,512,1024,0.5555797576904297,0.003252951195463538,True
10,16,1,16,1,1,0.18580800692240398,0.0,True
10,16,1,128,8,8,0.2058911959330241,0.0,True
10,16,1,2048,128,128,0.26301867167154946,0.0,True
10,16,1,8192,512,512,0.3887370745340983,0.0,True
10,8,2,16,1,2,0.24395519892374676,0.003159036859869957,True
10,8,2,128,8,16,0.25149653752644857,0.003259997582063079,True
10,8,2,2048,128,256,0.3315615971883138,0.003242231672629714,True
10,8,2,8192,512,1024,0.5559104283650717,0.0032510138116776943,True
11,16,1,16,1,1,0.18584639231363934,0.0,True
11,16,1,128,8,8,0.2057653268178304,0.0,True
11,16,1,2048,128,128,0.2630026658376058,0.0,True
11,16,1,8192,512,512,0.3887167930603027,0.0,True
11,8,2,16,1,2,0.24397759437561034,0.0031856000423431396,True
11,8,2,128,8,16,0.2514794667561849,0.0032775418367236853,True
11,8,2,2048,128,256,0.33159360885620115,0.0032501821406185627,True
11,8,2,8192,512,1024,0.5560405095418294,0.003252185881137848,True
12,16,1,16,1,1,0.18579200108846028,0.0,True
12,16,1,128,8,8,0.20568532943725587,0.0,True
12,16,1,2048,128,128,0.2627914587656657,0.0,True
12,16,1,8192,512,512,0.3885567982991536,0.0,True
12,8,2,16,1,2,0.24374400774637858,0.0033299406059086323,True
12,8,2,128,8,16,0.2512202739715576,0.003231194568797946,True
12,8,2,2048,128,256,0.33123092651367186,0.0032619538251310587,True
12,8,2,8192,512,1024,0.5553781509399414,0.0032531521283090115,True
13,16,1,16,1,1,0.18583146731058756,0.0,True
13,16,1,128,8,8,0.20560746192932128,0.0,True
13,16,1,2048,128,128,0.2628767967224121,0.0,True
13,16,1,8192,512,512,0.38860692977905276,0.0,True
13,8,2,16,1,2,0.2434175968170166,0.003358367830514908,True
13,8,2,128,8,16,0.251257594426473,0.003270067973062396,True
13,8,2,2048,128,256,0.33120638529459634,0.0032539537642151117,True
13,8,2,8192,512,1024,0.5555925369262695,0.0032512079924345016,True
14,16,1,16,1,1,0.18548800150553385,0.0,True
14,16,1,128,8,8,0.2057472070058187,0.0,True
14,16,1,2048,128,128,0.26282240549723307,0.0,True
14,16,1,8192,512,512,0.38859945933024087,0.0,True
14,8,2,16,1,2,0.24373440742492675,0.0033137635327875614,True
14,8,2,128,8,16,0.25138559341430666,0.003232052084058523,True
14,8,2,2048,128,256,0.3314784049987793,0.003249695524573326,True
14,8,2,8192,512,1024,0.5557802836100261,0.0032544448040425777,True
15,16,1,16,1,1,0.1857375939687093,0.0,True
15,16,1,128,8,8,0.20585385958353677,0.0,True
15,16,1,2048,128,128,0.26298559506734215,0.0,True
15,16,1,8192,512,512,0.3886218706766764,0.0,True
15,8,2,16,1,2,0.24367680549621581,0.0031675458885729313,True
