context,chunk,full_ms,input_projections_ms,causal_conv_ms,recurrence_ms,gated_norm_ms,output_projection_ms,stage_sum_ms
32768,1024,2.29750394821167,0.446368008852005,0.3919680118560791,0.8861439824104309,0.11427199840545654,0.14467200636863708,1.9834240078926086
32768,2048,2.395616054534912,0.8132479786872864,0.4031359851360321,0.9541440010070801,0.16502399742603302,0.2502079904079437,2.5857599526643753
32768,4096,3.6260159015655518,1.4342399835586548,0.43296000361442566,1.4867199659347534,0.26655998826026917,0.4366079866886139,4.057087928056717
32768,8192,6.735231876373291,2.6809279918670654,0.5925120115280151,2.5,0.46697598695755005,0.7640960216522217,7.004512012004852
32768,16384,13.169792175292969,5.306816101074219,0.9746879935264587,4.7315521240234375,0.8733119964599609,1.5193599462509155,13.405728161334991
131072,1024,2.275360107421875,0.4459199905395508,0.39561599493026733,0.8899840116500854,0.1141119971871376,0.14310400187969208,1.9887359961867332
131072,2048,2.377311944961548,0.813759982585907,0.4036160111427307,0.9610880017280579,0.163455992937088,0.25014400482177734,2.592063993215561
131072,4096,3.6280319690704346,1.4349759817123413,0.43564799427986145,1.4963200092315674,0.2662079930305481,0.43590399622917175,4.06905597448349
131072,8192,6.729343891143799,2.6801280975341797,0.5921919941902161,2.4989120960235596,0.46748799085617065,0.7623040080070496,7.0010241866111755
131072,16384,13.172063827514648,5.3061442375183105,0.9761599898338318,4.734720230102539,0.8718720078468323,1.5196160078048706,13.408512473106384
524288,1024,2.26147198677063,0.44515201449394226,0.3851200044155121,0.8862720131874084,0.11372800171375275,0.14348800480365753,1.973760038614273
524288,2048,2.387295961380005,0.8140159845352173,0.40057599544525146,0.9573119878768921,0.16527999937534332,0.24995200335979462,2.587135970592499
524288,4096,3.628159999847412,1.4345920085906982,0.4312959909439087,1.481600046157837,0.2655999958515167,0.43587198853492737,4.048960030078888
524288,8192,6.723775863647461,2.680864095687866,0.5897600054740906,2.499232053756714,0.4673599898815155,0.7703679800033569,7.007584124803543
524288,16384,13.176095962524414,5.30790376663208,0.9711359739303589,4.7358717918396,0.8734400272369385,1.5195519924163818,13.407903552055359
1048576,1024,2.290208101272583,0.44521600008010864,0.38841599225997925,0.8923519849777222,0.1128000020980835,0.14345599710941315,1.9822399765253067
1048576,2048,2.379807949066162,0.8139520287513733,0.4004479944705963,0.9572160243988037,0.16467200219631195,0.24995200335979462,2.58624005317688
1048576,4096,3.626271963119507,1.4339519739151,0.4342400133609772,1.4856959581375122,0.26476800441741943,0.4342080056667328,4.052863955497742
1048576,8192,6.708352088928223,2.6801600456237793,0.5899199843406677,2.5039360523223877,0.46697598695755005,0.7682880163192749,7.00928008556366
1048576,16384,13.173343658447266,5.307744026184082,0.9721599817276001,4.7325758934021,0.8708480000495911,1.518720030784607,13.40204793214798
