mode,tokens,latency_ms,tokens_per_s,gflops
prefill,1024,0.8909119963645935,1149384.006701535,1113736.551364091
prefill,2048,1.750048041343689,1170253.588254379,1133958.8753668226
prefill,4096,3.214848041534424,1274088.2141493098,1234573.1326403974
prefill,8192,6.228096008300781,1315329.7555274896,1274535.5923576576
prefill,16384,12.406496047973633,1320598.4942602725,1279640.9243198866
decode,1,0.25222399830818176,3964.7297906131143,3841.766074995123
decode,8,0.2479040026664734,32270.555997286938,31269.70406536468
decode,16,0.24959999322891235,64102.5658415228,62114.46322348748
decode,32,0.2515519857406616,127210.28580148245,123264.93511352093
decode,64,0.2592320144176483,246883.0871209051,239226.1563037025
decode,128,0.28889599442481995,443066.02538689657,429324.5984491372
decode,256,0.31699201464653015,807591.3214579212,782544.3611776966
