mode,logical_length,requested_hit_rate,effective_hit_rate,cached_tokens_per_seq,fresh_tokens_per_seq,batch_size,p50_ms,p90_ms,p99_ms,fresh_tokens_per_s,logical_tokens_per_s
prefill_core,32768,0.96875,0.96875,31744,1024,1,0.49934399127960205,0.5127904057502747,0.5203878593444824,2050690.5417564595,65622097.336206704
prefill_core,32768,0.9375,0.9375,30720,2048,1,0.7433919906616211,0.7528543889522553,0.7599247831106185,2754939.5550754773,44079032.88120764
prefill_core,32768,0.875,0.875,28672,4096,1,1.2904640436172485,1.2980031609535216,1.3047510838508605,3174052.016605333,25392416.132842664
prefill_core,32768,0.75,0.75,24576,8192,1,2.411776065826416,2.415155291557312,2.4214709496498106,3396666.927778363,13586667.711113453
prefill_core,32768,0.5,0.5,16384,16384,1,4.680992126464844,4.684841680526733,4.6899046611785895,3500112.7020423864,7000225.404084773
prefill_core,131072,0.9921875,0.9921875,130048,1024,1,0.49515201151371,0.5052896082401276,0.5068822342157364,2068051.7824608432,264710628.15498793
prefill_core,131072,0.984375,0.984375,129024,2048,1,0.7436319887638092,0.7491360068321228,0.7569667214155198,2754050.432129112,176259227.65626317
prefill_core,131072,0.96875,0.96875,126976,4096,1,1.2895039916038513,1.29421124458313,1.2951471745967866,3176415.1384328036,101645284.42984971
prefill_core,131072,0.9375,0.9375,122880,8192,1,2.411296010017395,2.413491153717041,2.414959931373596,3397343.157359143,54357490.517746285
prefill_core,131072,0.875,0.875,114688,16384,1,4.679727792739868,4.683753585815429,4.684620261192322,3501058.336217364,28008466.68973891
prefill_core,524288,0.998046875,0.998046875,523264,1024,1,0.49540799856185913,0.4988703906536102,0.5003535771369934,2066983.1794654368,1058295387.8863037
prefill_core,524288,0.99609375,0.99609375,522240,2048,1,0.7455039918422699,0.7497215807437897,0.7521696007251739,2747134.854287012,703266522.6974751
prefill_core,524288,0.9921875,0.9921875,520192,4096,1,1.28956800699234,1.2935104012489318,1.2994258952140807,3176257.4581491845,406560954.6430956
prefill_core,524288,0.984375,0.984375,516096,8192,1,2.410975933074951,2.415558362007141,2.5904751682281493,3397794.182686821,217458827.69195655
prefill_core,524288,0.96875,0.96875,507904,16384,1,4.679408073425293,4.68389105796814,4.685780491828918,3501297.54509891,112041521.44316512
prefill_core,1048576,0.9990234375,0.9990234375,1047552,1024,1,0.49583999812602997,0.49961279332637787,0.5033395081758499,2065182.32468153,2114746700.4738867
prefill_core,1048576,0.998046875,0.998046875,1046528,2048,1,0.745743989944458,0.7509695887565613,0.7543996888399125,2746250.761139265,1406080389.7033036
prefill_core,1048576,0.99609375,0.99609375,1044480,4096,1,1.2901920080184937,1.293075180053711,1.2957997035980224,3174721.262062947,812728643.0881144
prefill_core,1048576,0.9921875,0.9921875,1040384,8192,1,2.4107359647750854,2.4155168533325195,2.416089901924133,3398132.40425286,434960947.7443661
prefill_core,1048576,0.984375,0.984375,1032192,16384,1,4.68176007270813,4.711478424072266,4.719882364273071,3499538.580695101,223970469.16448647
