context,prefill_chunk,cold_chunks,cold_fixed_pflop,cold_mla_attention_pflop,cold_repeated_expansion_pflop,suffix_fixed_pflop,suffix_mla_attention_pflop,suffix_expansion_pflop,decode_fixed_gflop,decode_absorbed_mla_gflop,decode_fp8_cache_gib,decode_bf16_cache_gib
1024,1024,1,0.211387554267136,0.000773849088,0.0,0.211387554267136,0.000773849088,0.0,206.433158464,5.133828096,0.01318359375,0.0263671875
8192,8192,1,1.691100434137088,0.04948406304768,0.0,1.691100434137088,0.04948406304768,0.0,206.433158464,41.070624768,0.10546875,0.2109375
32768,8192,4,6.764401736548352,0.79167253118976,0.029686813949952,1.691100434137088,0.3463522025472,0.014843406974976,206.433158464,164.282499072,0.421875,0.84375
131072,8192,16,27.05760694619341,12.66647058874368,0.59373627899904,1.691100434137088,1.53382476054528,0.07421703487488,206.433158464,657.129996288,1.6875,3.375
524288,8192,64,108.23042778477364,202.66236977872896,9.974769487183872,1.691100434137088,6.2837149925376,0.311711546474496,206.433158464,2628.519985152,6.75,13.5
1048576,8192,128,216.46085556954728,810.6487060208026,40.21573729753498,1.691100434137088,12.61690196852736,0.628370895273984,206.433158464,5257.039970304,13.5,27.0
