hardware,hbm_budget_gib,world,tp,dp,ep,ffn_tp,nested_cp,cache_dtype,context,weight_gib,allowance_gib,cache_state_per_request_gib,minimum_hbm_one_request_gib,requests_per_dp,cluster_requests,resident_tokens,implemented_mesh
GB200_measured,184.306640625,1,1,1,1,1,1,bfloat16,1024,1453.664777815342,20,0.247467041015625,1473.9122448563576,0,0,0,True
GB200_measured,184.306640625,1,1,1,1,1,1,bfloat16,8192,1453.664777815342,20,0.432037353515625,1474.0968151688576,0,0,0,True
GB200_measured,184.306640625,1,1,1,1,1,1,bfloat16,32768,1453.664777815342,20,1.064849853515625,1474.7296276688576,0,0,0,True
GB200_measured,184.306640625,1,1,1,1,1,1,bfloat16,131072,1453.664777815342,20,3.596099853515625,1477.2608776688576,0,0,0,True
GB200_measured,184.306640625,1,1,1,1,1,1,bfloat16,524288,1453.664777815342,20,13.721099853515625,1487.3858776688576,0,0,0,True
GB200_measured,184.306640625,1,1,1,1,1,1,bfloat16,1048576,1453.664777815342,20,27.221099853515625,1500.8858776688576,0,0,0,True
GB200_measured,184.306640625,1,1,1,1,1,1,fp8_e4m3,1024,1453.664777815342,20,0.234283447265625,1473.8990612626076,0,0,0,True
GB200_measured,184.306640625,1,1,1,1,1,1,fp8_e4m3,8192,1453.664777815342,20,0.326568603515625,1473.9913464188576,0,0,0,True
GB200_measured,184.306640625,1,1,1,1,1,1,fp8_e4m3,32768,1453.664777815342,20,0.642974853515625,1474.3077526688576,0,0,0,True
GB200_measured,184.306640625,1,1,1,1,1,1,fp8_e4m3,131072,1453.664777815342,20,1.908599853515625,1475.5733776688576,0,0,0,True
GB200_measured,184.306640625,1,1,1,1,1,1,fp8_e4m3,524288,1453.664777815342,20,6.971099853515625,1480.6358776688576,0,0,0,True
GB200_measured,184.306640625,1,1,1,1,1,1,fp8_e4m3,1048576,1453.664777815342,20,13.721099853515625,1487.3858776688576,0,0,0,True
GB200_measured,184.306640625,2,1,2,2,1,1,bfloat16,1024,780.1062148213387,20,0.247467041015625,800.3536818623543,0,0,0,True
