rank,world,tp,dp,phase,cache_dtype,context,batch_per_dp,chunk,eager_ms,graph_ms,dynamic_peak_bytes,cache_bytes,short_reference_relative_l2
6,16,16,1,decode,fp8_e4m3,1024,2,1,1.8411733309427898,0.11370400190353394,61952,1179648,0.03509664535522461
6,16,16,1,decode,fp8_e4m3,1024,4,1,1.8476053873697917,0.11556960344314575,123392,2359296,0.03509664535522461
6,16,16,1,decode,fp8_e4m3,1024,16,1,1.5367573102315266,0.1097264051437378,493568,9437184,0.03509664535522461
6,16,16,1,decode,fp8_e4m3,8192,2,1,1.534656047821045,0.11633119583129883,61952,9437184,0.03509664535522461
6,16,16,1,decode,fp8_e4m3,8192,4,1,1.6867839495340984,0.1195248007774353,123392,18874368,0.03509664535522461
6,16,16,1,decode,fp8_e4m3,8192,16,1,1.5098026593526204,0.14719680547714234,493568,75497472,0.03509664535522461
6,16,16,1,decode,fp8_e4m3,32768,2,1,1.7464426358540852,0.1323024034500122,61952,37748736,0.03509664535522461
6,16,16,1,decode,fp8_e4m3,32768,4,1,1.7958827018737793,0.14690719842910765,123392,75497472,0.03509664535522461
6,16,16,1,decode,fp8_e4m3,32768,16,1,1.5166719754536946,0.18248319625854492,493568,301989888,0.03509664535522461
6,16,16,1,decode,fp8_e4m3,131072,2,1,1.7671786944071453,0.16114399433135987,61952,150994944,0.03509664535522461
6,16,16,1,decode,fp8_e4m3,131072,4,1,1.7633066177368164,0.17954399585723876,123392,301989888,0.03509664535522461
6,16,16,1,decode,fp8_e4m3,131072,16,1,1.5512213706970215,0.30772159099578855,493568,1207959552,0.03509664535522461
6,16,16,1,decode,fp8_e4m3,524288,2,1,1.8209279378255208,0.22364320755004882,61952,603979776,0.03509664535522461
6,16,16,1,decode,fp8_e4m3,524288,4,1,1.807264010111491,0.3026911973953247,123392,1207959552,0.03509664535522461
6,16,16,1,decode,fp8_e4m3,524288,16,1,1.5453972816467285,0.8132975578308106,493568,4831838208,0.03509664535522461
6,16,16,1,decode,fp8_e4m3,1048576,2,1,1.8256640434265137,0.3065936088562012,61952,1207959552,0.03509664535522461
