rank,tp,dp,phase,batch_per_dp,chunk,ms,graph_ms,dynamic_peak_bytes,state_bytes
0,1,4,prefill,1,1024,2.4976000785827637,,881442816,3440640
0,1,4,prefill,1,8192,14.282112121582031,,7048445952,3440640
0,1,4,prefill,1,16384,28.5196475982666,,14096449536,3440640
0,1,4,decode,1,1,0.6082239747047424,0.1529930591583252,246272,3440640
0,1,4,decode,8,1,0.5770879983901978,0.1638528029123942,1969664,27525120
0,1,4,decode,32,1,0.5509120225906372,0.20632640520731607,8468480,110100480
0,1,4,decode,128,1,0.5304319858551025,0.3514261245727539,31580160,440401920
0,1,4,decode,256,1,0.6502400040626526,0.6344874699910482,63029248,880803840
0,2,2,prefill,1,1024,2.1136960983276367,,440721408,1720320
0,2,2,prefill,1,8192,7.8545918464660645,,3524222976,1720320
0,2,2,prefill,1,16384,15.169471740722656,,7048224768,1720320
0,2,2,decode,1,1,0.8179200291633606,0.10787200133005778,125440,1720320
0,2,2,decode,8,1,0.794975996017456,0.11149653593699137,1002496,13762560
0,2,2,decode,32,1,0.8253759741783142,0.13907519976298013,4074496,55050240
0,2,2,decode,128,1,0.6683200001716614,0.2196191946665446,16101376,220200960
0,2,2,decode,256,1,0.589024007320404,0.3888522783915202,32071680,440401920
0,4,1,prefill,1,1024,1.8827840089797974,,220360704,860160
0,4,1,prefill,1,8192,4.589280128479004,,1762111488,860160
0,4,1,prefill,1,16384,8.531200408935547,,3524112384,860160
0,4,1,decode,1,1,0.7080960273742676,0.07848107020060222,70144,860160
0,4,1,decode,8,1,0.7247999906539917,0.08021333217620849,559616,6881280
0,4,1,decode,32,1,0.7173439860343933,0.09429226716359457,2238464,27525120
0,4,1,decode,128,1,0.6707199811935425,0.14681065877278646,8953856,110100480
0,4,1,decode,256,1,0.6520320177078247,0.22699519793192546,17973248,220200960
1,1,4,prefill,1,1024,2.447103977203369,,881442816,3440640
1,1,4,prefill,1,8192,14.272640228271484,,7048445952,3440640
1,1,4,prefill,1,16384,28.521087646484375,,14096449536,3440640
1,1,4,decode,1,1,0.5784639716148376,0.15115626653035483,246272,3440640
1,1,4,decode,8,1,0.5698239803314209,0.16357439359029133,1969664,27525120
1,1,4,decode,32,1,0.5683199763298035,0.2064319928487142,8468480,110100480
