world_size,requested_tokens,padded_tokens,collective,logical_payload_bytes,latency_ms,logical_payload_gbps,gpu
4,16,16,all_reduce,229376,0.05280640125274658,4.343715810174995,NVIDIA B300 SXM6 AC
4,16,16,reduce_scatter,229376,0.02821600139141083,8.129287946158943,NVIDIA B300 SXM6 AC
4,16,16,all_gather,229376,0.027419200539588927,8.365524723042814,NVIDIA B300 SXM6 AC
4,16,16,all_to_all,229376,0.05757759809494019,3.98377159849183,NVIDIA B300 SXM6 AC
4,128,128,all_reduce,1835008,0.026859200000762938,68.31953297000194,NVIDIA B300 SXM6 AC
4,128,128,reduce_scatter,1835008,0.02493920028209686,73.57926393964203,NVIDIA B300 SXM6 AC
4,128,128,all_gather,1835008,0.021771200001239777,84.28602924485119,NVIDIA B300 SXM6 AC
4,128,128,all_to_all,1835008,0.024564799666404725,74.70071097341742,NVIDIA B300 SXM6 AC
4,1024,1024,all_reduce,14680064,0.061212801933288576,239.820160756548,NVIDIA B300 SXM6 AC
4,1024,1024,reduce_scatter,14680064,0.054808002710342404,267.8452648162243,NVIDIA B300 SXM6 AC
4,1024,1024,all_gather,14680064,0.05841599702835083,251.30212179508592,NVIDIA B300 SXM6 AC
4,1024,1024,all_to_all,14680064,0.18328800201416015,80.09288026864887,NVIDIA B300 SXM6 AC
4,4096,4096,all_reduce,58720256,0.1656816005706787,354.41627674854766,NVIDIA B300 SXM6 AC
4,4096,4096,reduce_scatter,58720256,0.10130239725112915,579.6531730086524,NVIDIA B300 SXM6 AC
4,4096,4096,all_gather,58720256,0.10030879974365234,585.3948621662765,NVIDIA B300 SXM6 AC
4,4096,4096,all_to_all,58720256,0.11348160505294799,517.4429456880032,NVIDIA B300 SXM6 AC
4,16384,16384,all_reduce,234881024,0.6228879928588867,377.08388457122106,NVIDIA B300 SXM6 AC
4,16384,16384,reduce_scatter,234881024,0.3623759984970093,648.169373728372,NVIDIA B300 SXM6 AC
4,16384,16384,all_gather,234881024,0.34979519844055174,671.4815556278095,NVIDIA B300 SXM6 AC
4,16384,16384,all_to_all,234881024,0.3749759912490845,626.3895008786737,NVIDIA B300 SXM6 AC
