rank,group_start,size,requested_tokens,padded_tokens,op,logical_bytes,median_ms,min_ms,max_ms
0,0,2,1,2,all_reduce,28672,0.014165332913398743,0.014122666915257771,0.014213732878367106
0,0,2,1,2,reduce_scatter,28672,0.012870666384696961,0.012859066327412924,0.012923199931780498
0,0,2,1,2,all_gather,28672,0.01297173301378886,0.012965866923332214,0.012996932864189148
0,0,2,1,2,all_to_all,28672,0.014036666353543599,0.013989733656247456,0.014047333598136902
0,0,2,1,2,rs_ag_pair,28672,0.03372466564178467,0.03362799882888794,0.0337828000386556
0,0,2,8,8,all_reduce,114688,0.014386266469955444,0.014362800121307372,0.014396799604098003
0,0,2,8,8,reduce_scatter,114688,0.0128711998462677,0.012844533721605936,0.012871866424878439
0,0,2,8,8,all_gather,114688,0.012930267055829366,0.01288706660270691,0.012936533490816752
0,0,2,8,8,all_to_all,114688,0.014379466573397318,0.014327866832415263,0.01449946661790212
0,0,2,8,8,rs_ag_pair,114688,0.03328546682993571,0.03321013251940409,0.03371239900588989
0,0,2,128,128,all_reduce,1835008,0.02114560008049011,0.02111653288205465,0.021164266268412273
0,0,2,128,128,reduce_scatter,1835008,0.016498000423113505,0.016479999820391337,0.016499466697374978
0,0,2,128,128,all_gather,1835008,0.017694665988286336,0.01769333283106486,0.017774534225463868
0,0,2,128,128,all_to_all,1835008,0.021092132727305094,0.020980934302012127,0.021188133955001832
0,0,2,128,128,rs_ag_pair,1835008,0.04172186851501465,0.04167999823888143,0.041762665907541914
0,0,2,1024,1024,all_reduce,14680064,0.05249573389689128,0.05249506632486979,0.05254079898198446
0,0,2,1024,1024,reduce_scatter,14680064,0.037462933858235674,0.03742839892705282,0.037537864844004315
0,0,2,1024,1024,all_gather,14680064,0.03807959953943888,0.038022398948669434,0.03814213275909424
0,0,2,1024,1024,all_to_all,14680064,0.03867760101954142,0.03839079936345418,0.045721598466237384
0,0,2,1024,1024,rs_ag_pair,14680064,0.08355000019073486,0.08348840077718099,0.08380186557769775
0,0,2,8192,8192,all_reduce,117440512,0.24745866457621257,0.2473859945933024,0.24752813975016277
0,0,2,8192,8192,reduce_scatter,117440512,0.16489787101745607,0.16481693585713705,0.16513932545979818
0,0,2,8192,8192,all_gather,117440512,0.153902800877889,0.15382173856099446,0.15390507380167642
0,0,2,8192,8192,all_to_all,117440512,0.19657400449117024,0.19642772674560546,0.19664373397827148
0,0,2,8192,8192,rs_ag_pair,117440512,0.32714961369832357,0.327127742767334,0.327183469136556
0,0,2,16384,16384,all_reduce,234881024,0.45440972646077477,0.4543707847595215,0.45468934377034503
0,0,2,16384,16384,reduce_scatter,234881024,0.3024370511372884,0.30238320032755533,0.30249306360880535
0,0,2,16384,16384,all_gather,234881024,0.28378973007202146,0.28367532094319664,0.2837967872619629
0,0,2,16384,16384,all_to_all,234881024,0.36226587295532225,0.3619112014770508,0.3623067855834961
0,0,2,16384,16384,rs_ag_pair,234881024,0.594602394104004,0.5944865544637045,0.5947052001953125
0,0,4,1,4,all_reduce,57344,0.0209932009379069,0.020981599887212116,0.02101106643676758
0,0,4,1,4,reduce_scatter,57344,0.016285333037376403,0.01628426710764567,0.016301733255386353
0,0,4,1,4,all_gather,57344,0.01646346648534139,0.016442666451136272,0.016481332977612815
0,0,4,1,4,all_to_all,57344,0.015115599830945332,0.015106133619944255,0.015154000123341877
0,0,4,1,4,rs_ag_pair,57344,0.04080453316370646,0.04073826471964518,0.040945200125376384
0,0,4,8,8,all_reduce,114688,0.01999760071436564,0.01999079982439677,0.020036266247431437
0,0,4,8,8,reduce_scatter,114688,0.01622773309548696,0.016220800081888833,0.01624773343404134
0,0,4,8,8,all_gather,114688,0.016189866264661155,0.01616253356138865,0.016212667028109234
0,0,4,8,8,all_to_all,114688,0.015451866388320922,0.01542960007985433,0.015480132897694905
