rank,tp,dp,phase,batch_per_dp,chunk,ms,dynamic_peak_bytes,state_bytes
2,2,8,decode,1,1,1.0138239860534668,125440,1720320
2,2,8,decode,8,1,1.0092159509658813,1002496,13762560
2,2,8,decode,32,1,0.9705600142478943,4074496,55050240
2,2,8,decode,128,1,0.8352640271186829,16101376,220200960
2,2,8,decode,256,1,0.7691519856452942,32071680,440401920
2,4,4,prefill,1,1024,2.306112051010132,220360704,860160
2,4,4,prefill,1,8192,4.814527988433838,1762111488,860160
2,4,4,prefill,1,16384,8.689151763916016,3524112384,860160
2,4,4,decode,1,1,0.9543359875679016,70144,860160
2,4,4,decode,8,1,0.9746559858322144,559616,6881280
2,4,4,decode,32,1,0.9467200040817261,2238464,27525120
2,4,4,decode,128,1,0.9410240054130554,9478144,110100480
2,4,4,decode,256,1,0.8915519714355469,17973248,220200960
2,8,2,prefill,1,1024,2.566528081893921,110180352,430080
2,8,2,prefill,1,8192,3.8592960834503174,881055744,430080
2,8,2,prefill,1,16384,5.675680160522461,1762056192,430080
2,8,2,decode,1,1,1.2378560304641724,42496,430080
2,8,2,decode,8,1,1.2245759963989258,338432,3440640
2,8,2,decode,32,1,1.102112054824829,1352704,13762560
2,8,2,decode,128,1,1.0297280550003052,5476352,55050240
2,8,2,decode,256,1,1.0291199684143066,10919936,110100480
2,16,1,prefill,1,1024,3.063904047012329,55843840,215040
2,16,1,prefill,1,8192,3.4833600521087646,440527872,215040
2,16,1,prefill,1,16384,4.712831974029541,881028096,215040
2,16,1,decode,1,1,1.3197439908981323,28672,215040
2,16,1,decode,8,1,1.3973759412765503,227840,1720320
2,16,1,decode,32,1,1.1904959678649902,910336,6881280
2,16,1,decode,128,1,1.0872639417648315,3772416,27525120
2,16,1,decode,256,1,1.0716480016708374,8331264,55050240
3,1,16,prefill,1,1024,2.6285760402679443,881442816,3440640
3,1,16,prefill,1,8192,14.294272422790527,7048445952,3440640
3,1,16,prefill,1,16384,28.599775314331055,14096449536,3440640
3,1,16,decode,1,1,0.6881920099258423,246272,3440640
3,1,16,decode,8,1,0.6152960062026978,1969664,27525120
3,1,16,decode,32,1,0.8240000009536743,8468480,110100480
3,1,16,decode,128,1,0.579584002494812,31580160,440401920
3,1,16,decode,256,1,0.6503999829292297,63029248,880803840
3,2,8,prefill,1,1024,2.5768320560455322,440721408,1720320
3,2,8,prefill,1,8192,8.028223991394043,3524222976,1720320
3,2,8,prefill,1,16384,15.298080444335938,7048224768,1720320
3,2,8,decode,1,1,1.0162880420684814,125440,1720320
3,2,8,decode,8,1,1.0127359628677368,1002496,13762560
3,2,8,decode,32,1,0.9775679707527161,4074496,55050240
3,2,8,decode,128,1,0.8339200019836426,16101376,220200960
3,2,8,decode,256,1,0.7740479707717896,32071680,440401920
3,4,4,prefill,1,1024,2.30947208404541,220360704,860160
3,4,4,prefill,1,8192,4.809055805206299,1762111488,860160
3,4,4,prefill,1,16384,8.693535804748535,3524112384,860160
3,4,4,decode,1,1,0.9479359984397888,70144,860160
3,4,4,decode,8,1,0.9907839894294739,559616,6881280
3,4,4,decode,32,1,0.9657599925994873,2238464,27525120
3,4,4,decode,128,1,0.9572160243988037,9478144,110100480
3,4,4,decode,256,1,0.9103360176086426,17973248,220200960
3,8,2,prefill,1,1024,2.5787839889526367,110180352,430080
3,8,2,prefill,1,8192,3.876703977584839,881055744,430080
3,8,2,prefill,1,16384,5.704895973205566,1762056192,430080
3,8,2,decode,1,1,1.2431360483169556,42496,430080
3,8,2,decode,8,1,1.246016025543213,338432,3440640
3,8,2,decode,32,1,1.1240639686584473,1352704,13762560
3,8,2,decode,128,1,1.034783959388733,5476352,55050240
3,8,2,decode,256,1,1.0330239534378052,10919936,110100480
3,16,1,prefill,1,1024,3.100224018096924,55843840,215040
3,16,1,prefill,1,8192,3.5084800720214844,440527872,215040
3,16,1,prefill,1,16384,4.7292799949646,881028096,215040
3,16,1,decode,1,1,1.3361599445343018,28672,215040
3,16,1,decode,8,1,1.4286079406738281,227840,1720320
3,16,1,decode,32,1,1.2158399820327759,910336,6881280
3,16,1,decode,128,1,1.1175999641418457,3772416,27525120
3,16,1,decode,256,1,1.097599983215332,8331264,55050240
4,1,16,prefill,1,1024,2.5652480125427246,881442816,3440640
4,1,16,prefill,1,8192,14.326399803161621,7048445952,3440640
4,1,16,prefill,1,16384,28.554271697998047,14096449536,3440640
4,1,16,decode,1,1,0.6577919721603394,246272,3440640
4,1,16,decode,8,1,0.6498879790306091,1969664,27525120
4,1,16,decode,32,1,0.6113280057907104,8468480,110100480
4,1,16,decode,128,1,0.554144024848938,31580160,440401920
4,1,16,decode,256,1,0.652288019657135,63029248,880803840
4,2,8,prefill,1,1024,2.277888059616089,440721408,1720320
4,2,8,prefill,1,8192,7.924704074859619,3524222976,1720320
4,2,8,prefill,1,16384,15.157888412475586,7048224768,1720320
4,2,8,decode,1,1,0.8605759739875793,125440,1720320
4,2,8,decode,8,1,0.8538240194320679,1002496,13762560
4,2,8,decode,32,1,0.8839359879493713,4074496,55050240
4,2,8,decode,128,1,0.7413759827613831,16101376,220200960
4,2,8,decode,256,1,0.669215977191925,32071680,440401920
4,4,4,prefill,1,1024,2.0448639392852783,220360704,860160
4,4,4,prefill,1,8192,4.640575885772705,1762111488,860160
4,4,4,prefill,1,16384,8.573439598083496,3524112384,860160
4,4,4,decode,1,1,0.7485120296478271,70144,860160
4,4,4,decode,8,1,0.7888960242271423,559616,6881280
4,4,4,decode,32,1,0.7603520154953003,2238464,27525120
4,4,4,decode,128,1,0.7349439859390259,9478144,110100480
4,4,4,decode,256,1,0.7110080122947693,17973248,220200960
4,8,2,prefill,1,1024,2.585536003112793,110180352,430080
4,8,2,prefill,1,8192,3.86246395111084,881055744,430080
4,8,2,prefill,1,16384,5.687839984893799,1762056192,430080
4,8,2,decode,1,1,1.2344640493392944,42496,430080
4,8,2,decode,8,1,1.2318079471588135,338432,3440640
4,8,2,decode,32,1,1.1128000020980835,1352704,13762560
4,8,2,decode,128,1,1.0289599895477295,5541888,55050240
4,8,2,decode,256,1,1.0346879959106445,11345920,110100480
4,16,1,prefill,1,1024,3.087712049484253,55090176,215040
4,16,1,prefill,1,8192,3.480544090270996,440527872,215040
4,16,1,prefill,1,16384,4.7093119621276855,881028096,215040
4,16,1,decode,1,1,1.3367999792099,28672,215040
4,16,1,decode,8,1,1.408735990524292,227840,1720320
4,16,1,decode,32,1,1.193600058555603,910336,6881280
4,16,1,decode,128,1,1.097216010093689,3674112,27525120
4,16,1,decode,256,1,1.0817919969558716,7970816,55050240
5,1,16,prefill,1,1024,2.5884480476379395,881442816,3440640
5,1,16,prefill,1,8192,14.315072059631348,7048445952,3440640
5,1,16,prefill,1,16384,28.568031311035156,14096449536,3440640
5,1,16,decode,1,1,0.6635839939117432,246272,3440640
5,1,16,decode,8,1,0.6651840209960938,1969664,27525120
5,1,16,decode,32,1,0.6174719929695129,8468480,110100480
5,1,16,decode,128,1,0.5654720067977905,31580160,440401920
5,1,16,decode,256,1,0.6516479849815369,63029248,880803840
5,2,8,prefill,1,1024,2.2823679447174072,440721408,1720320
5,2,8,prefill,1,8192,7.917503833770752,3524222976,1720320
5,2,8,prefill,1,16384,15.164959907531738,7048224768,1720320
5,2,8,decode,1,1,0.8598719835281372,125440,1720320
5,2,8,decode,8,1,0.8648319840431213,1002496,13762560
5,2,8,decode,32,1,0.8808640241622925,4074496,55050240
5,2,8,decode,128,1,0.741919994354248,16101376,220200960
5,2,8,decode,256,1,0.6739199757575989,32071680,440401920
5,4,4,prefill,1,1024,2.0454719066619873,220360704,860160
5,4,4,prefill,1,8192,4.642240047454834,1762111488,860160
5,4,4,prefill,1,16384,8.574239730834961,3524112384,860160
5,4,4,decode,1,1,0.7548800110816956,70144,860160
5,4,4,decode,8,1,0.7902719974517822,559616,6881280
5,4,4,decode,32,1,0.7556160092353821,2238464,27525120
5,4,4,decode,128,1,0.7406719923019409,9478144,110100480
5,4,4,decode,256,1,0.7105600237846375,17973248,220200960
5,8,2,prefill,1,1024,2.582655906677246,110180352,430080
5,8,2,prefill,1,8192,3.88102388381958,881055744,430080
5,8,2,prefill,1,16384,5.708479881286621,1762056192,430080
5,8,2,decode,1,1,1.2466239929199219,42496,430080
5,8,2,decode,8,1,1.2506239414215088,338432,3440640
5,8,2,decode,32,1,1.1233279705047607,1352704,13762560
5,8,2,decode,128,1,1.0368000268936157,5541888,55050240
5,8,2,decode,256,1,1.035264015197754,11345920,110100480
5,16,1,prefill,1,1024,3.103519916534424,55090176,215040
5,16,1,prefill,1,8192,3.5101120471954346,440527872,215040
5,16,1,prefill,1,16384,4.7323198318481445,881028096,215040
5,16,1,decode,1,1,1.3351999521255493,28672,215040
5,16,1,decode,8,1,1.428320050239563,227840,1720320
5,16,1,decode,32,1,1.2093440294265747,910336,6881280
5,16,1,decode,128,1,1.1153919696807861,3674112,27525120
5,16,1,decode,256,1,1.0979199409484863,7970816,55050240
6,1,16,prefill,1,1024,2.4395840167999268,881442816,3440640
6,1,16,prefill,1,8192,14.28662395477295,7048445952,3440640
6,1,16,prefill,1,16384,28.549535751342773,14096449536,3440640
6,1,16,decode,1,1,0.6302400231361389,246272,3440640
6,1,16,decode,8,1,0.605247974395752,1969664,27525120
6,1,16,decode,32,1,0.596992015838623,8468480,110100480
6,1,16,decode,128,1,0.5294079780578613,31580160,440401920
6,1,16,decode,256,1,0.650879979133606,63029248,880803840
6,2,8,prefill,1,1024,2.057215929031372,440721408,1720320
6,2,8,prefill,1,8192,7.867807865142822,3524222976,1720320
6,2,8,prefill,1,16384,15.14691162109375,7048224768,1720320
6,2,8,decode,1,1,0.7927039861679077,125440,1720320
6,2,8,decode,8,1,0.8087040185928345,1002496,13762560
6,2,8,decode,32,1,0.7868160009384155,4074496,55050240
6,2,8,decode,128,1,0.66348797082901,16101376,220200960
6,2,8,decode,256,1,0.599839985370636,32071680,440401920
6,4,4,prefill,1,1024,2.0461440086364746,220360704,860160
6,4,4,prefill,1,8192,4.650688171386719,1762111488,860160
6,4,4,prefill,1,16384,8.578975677490234,3524112384,860160
6,4,4,decode,1,1,0.7591680288314819,70144,860160
6,4,4,decode,8,1,0.791487991809845,559616,6881280
6,4,4,decode,32,1,0.7622720003128052,2238464,27525120
6,4,4,decode,128,1,0.739359974861145,9478144,110100480
6,4,4,decode,256,1,0.7096319794654846,17973248,220200960
6,8,2,prefill,1,1024,2.5912959575653076,110180352,430080
6,8,2,prefill,1,8192,3.883903980255127,881055744,430080
6,8,2,prefill,1,16384,5.70684814453125,1762056192,430080
6,8,2,decode,1,1,1.2488640546798706,42496,430080
6,8,2,decode,8,1,1.2503360509872437,338432,3440640
6,8,2,decode,32,1,1.1301120519638062,1352704,13762560
6,8,2,decode,128,1,1.0393600463867188,5541888,55050240
6,8,2,decode,256,1,1.0383679866790771,11345920,110100480
6,16,1,prefill,1,1024,3.104383945465088,55090176,215040
6,16,1,prefill,1,8192,3.505311965942383,440527872,215040
6,16,1,prefill,1,16384,4.739999771118164,881028096,215040
6,16,1,decode,1,1,1.3423999547958374,28672,215040
6,16,1,decode,8,1,1.4324480295181274,227840,1720320
6,16,1,decode,32,1,1.2280000448226929,910336,6881280
6,16,1,decode,128,1,1.1184639930725098,3674112,27525120
6,16,1,decode,256,1,1.099776029586792,7970816,55050240
7,1,16,prefill,1,1024,2.422624111175537,881442816,3440640
7,1,16,prefill,1,8192,14.269472122192383,7048445952,3440640
7,1,16,prefill,1,16384,28.567232131958008,14096449536,3440640
7,1,16,decode,1,1,0.6024640202522278,246272,3440640
7,1,16,decode,8,1,0.6064640283584595,1969664,27525120
7,1,16,decode,32,1,0.5550079941749573,8468480,110100480
7,1,16,decode,128,1,0.5222399830818176,31580160,440401920
7,1,16,decode,256,1,0.6502400040626526,63029248,880803840
7,2,8,prefill,1,1024,2.063391923904419,440721408,1720320
7,2,8,prefill,1,8192,7.87062406539917,3524222976,1720320
7,2,8,prefill,1,16384,15.149312019348145,7048224768,1720320
7,2,8,decode,1,1,0.7897599935531616,125440,1720320
7,2,8,decode,8,1,0.7972800135612488,1002496,13762560
7,2,8,decode,32,1,0.7813119888305664,4074496,55050240
7,2,8,decode,128,1,0.6686720252037048,16101376,220200960
7,2,8,decode,256,1,0.5959680080413818,32071680,440401920
7,4,4,prefill,1,1024,2.045248031616211,220360704,860160
7,4,4,prefill,1,8192,4.647103786468506,1762111488,860160
7,4,4,prefill,1,16384,8.579263687133789,3524112384,860160
7,4,4,decode,1,1,0.7600640058517456,70144,860160
7,4,4,decode,8,1,0.7996799945831299,559616,6881280
7,4,4,decode,32,1,0.7648320198059082,2238464,27525120
7,4,4,decode,128,1,0.7403519749641418,9478144,110100480
7,4,4,decode,256,1,0.7147840261459351,17973248,220200960
7,8,2,prefill,1,1024,2.590656042098999,110180352,430080
7,8,2,prefill,1,8192,3.8845438957214355,881055744,430080
7,8,2,prefill,1,16384,5.710591793060303,1762056192,430080
7,8,2,decode,1,1,1.2451839447021484,42496,430080
7,8,2,decode,8,1,1.2521920204162598,338432,3440640
7,8,2,decode,32,1,1.1310399770736694,1352704,13762560
7,8,2,decode,128,1,1.0372799634933472,5541888,55050240
7,8,2,decode,256,1,1.0363199710845947,11345920,110100480
7,16,1,prefill,1,1024,3.100800037384033,55090176,215040
7,16,1,prefill,1,8192,3.5069758892059326,440527872,215040
7,16,1,prefill,1,16384,4.733151912689209,881028096,215040
7,16,1,decode,1,1,1.3428159952163696,28672,215040
7,16,1,decode,8,1,1.437567949295044,227840,1720320
7,16,1,decode,32,1,1.2221120595932007,910336,6881280
7,16,1,decode,128,1,1.1217279434204102,3674112,27525120
7,16,1,decode,256,1,1.1015360355377197,7970816,55050240
8,1,16,prefill,1,1024,2.5578560829162598,881442816,3440640
8,1,16,prefill,1,8192,14.399168014526367,7048445952,3440640
8,1,16,prefill,1,16384,28.604991912841797,14096449536,3440640
8,1,16,decode,1,1,0.7390080094337463,246272,3440640
8,1,16,decode,8,1,0.730400025844574,1969664,27525120
8,1,16,decode,32,1,0.6903679966926575,8468480,110100480
8,1,16,decode,128,1,0.5816320180892944,31580160,440401920
8,1,16,decode,256,1,0.6513280272483826,63029248,880803840
8,2,8,prefill,1,1024,2.365312099456787,440721408,1720320
8,2,8,prefill,1,8192,7.951839923858643,3524222976,1720320
8,2,8,prefill,1,16384,15.246623992919922,7048224768,1720320
8,2,8,decode,1,1,0.8944000005722046,125440,1720320
8,2,8,decode,8,1,0.8622720241546631,1002496,13762560
8,2,8,decode,32,1,0.9121919870376587,4074496,55050240
8,2,8,decode,128,1,0.7704640030860901,16101376,220200960
8,2,8,decode,256,1,0.7299839854240417,32071680,440401920
8,4,4,prefill,1,1024,2.3252480030059814,220360704,860160
8,4,4,prefill,1,8192,4.781824111938477,1762111488,860160
8,4,4,prefill,1,16384,8.622176170349121,3524112384,860160
8,4,4,decode,1,1,0.788640022277832,70144,860160
8,4,4,decode,8,1,1.000223994255066,559616,6881280
8,4,4,decode,32,1,0.9650560021400452,2238464,27525120
8,4,4,decode,128,1,0.958079993724823,9478144,110100480
8,4,4,decode,256,1,0.9119359850883484,17973248,220200960
8,8,2,prefill,1,1024,2.3438398838043213,110180352,430080
8,8,2,prefill,1,8192,3.825119972229004,881055744,430080
8,8,2,prefill,1,16384,5.436607837677002,1762056192,430080
8,8,2,decode,1,1,1.013375997543335,42496,430080
8,8,2,decode,8,1,1.03056001663208,338432,3440640
8,8,2,decode,32,1,0.9136319756507874,1352704,13762560
8,8,2,decode,128,1,0.8963519930839539,5476352,55050240
8,8,2,decode,256,1,0.9530559778213501,10919936,110100480
8,16,1,prefill,1,1024,3.0959360599517822,55843840,215040
8,16,1,prefill,1,8192,3.490623950958252,440527872,215040
8,16,1,prefill,1,16384,4.716159820556641,881028096,215040
8,16,1,decode,1,1,1.3403520584106445,28672,215040
8,16,1,decode,8,1,1.4277759790420532,227840,1720320
8,16,1,decode,32,1,1.2186880111694336,910336,6881280
8,16,1,decode,128,1,1.1091840267181396,3772416,27525120
8,16,1,decode,256,1,1.088096022605896,8331264,55050240
9,1,16,prefill,1,1024,2.774656057357788,881442816,3440640
9,1,16,prefill,1,8192,14.272671699523926,7048445952,3440640
9,1,16,prefill,1,16384,28.526208877563477,14096449536,3440640
9,1,16,decode,1,1,0.6365759968757629,246272,3440640
9,1,16,decode,8,1,0.6002560257911682,1969664,27525120
9,1,16,decode,32,1,0.5988159775733948,8468480,110100480
9,1,16,decode,128,1,0.5447679758071899,31580160,440401920
9,1,16,decode,256,1,0.6509119868278503,63029248,880803840
9,2,8,prefill,1,1024,2.368799924850464,440721408,1720320
9,2,8,prefill,1,8192,7.958816051483154,3524222976,1720320
9,2,8,prefill,1,16384,15.248831748962402,7048224768,1720320
9,2,8,decode,1,1,0.9040319919586182,125440,1720320
9,2,8,decode,8,1,0.870464026927948,1002496,13762560
9,2,8,decode,32,1,0.9157119989395142,4074496,55050240
9,2,8,decode,128,1,0.7761920094490051,16101376,220200960
9,2,8,decode,256,1,0.7301120162010193,32071680,440401920
9,4,4,prefill,1,1024,2.3377280235290527,220360704,860160
9,4,4,prefill,1,8192,4.792736053466797,1762111488,860160
9,4,4,prefill,1,16384,8.631391525268555,3524112384,860160
9,4,4,decode,1,1,0.7862079739570618,70144,860160
9,4,4,decode,8,1,1.008128046989441,559616,6881280
9,4,4,decode,32,1,0.9810240268707275,2238464,27525120
9,4,4,decode,128,1,0.9666560292243958,9478144,110100480
9,4,4,decode,256,1,0.9195520281791687,17973248,220200960
9,8,2,prefill,1,1024,2.367136001586914,110180352,430080
9,8,2,prefill,1,8192,3.842560052871704,881055744,430080
9,8,2,prefill,1,16384,5.441887855529785,1762056192,430080
9,8,2,decode,1,1,1.0192960500717163,42496,430080
9,8,2,decode,8,1,1.0327359437942505,338432,3440640
9,8,2,decode,32,1,0.9160640239715576,1352704,13762560
9,8,2,decode,128,1,0.9023360013961792,5476352,55050240
9,8,2,decode,256,1,0.9572479724884033,10919936,110100480
9,16,1,prefill,1,1024,3.098464012145996,55843840,215040
9,16,1,prefill,1,8192,3.509216070175171,440527872,215040
9,16,1,prefill,1,16384,4.734752178192139,881028096,215040
9,16,1,decode,1,1,1.341055989265442,28672,215040
9,16,1,decode,8,1,1.42249596118927,227840,1720320
9,16,1,decode,32,1,1.2166080474853516,910336,6881280
9,16,1,decode,128,1,1.111583948135376,3772416,27525120
9,16,1,decode,256,1,1.0944960117340088,8331264,55050240
10,1,16,prefill,1,1024,2.4503679275512695,881442816,3440640
10,1,16,prefill,1,8192,14.246527671813965,7048445952,3440640
10,1,16,prefill,1,16384,28.50387191772461,14096449536,3440640
10,1,16,decode,1,1,0.5595200061798096,246272,3440640
10,1,16,decode,8,1,0.5789759755134583,1969664,27525120
10,1,16,decode,32,1,0.5396479964256287,8468480,110100480
10,1,16,decode,128,1,0.5109760165214539,31580160,440401920
10,1,16,decode,256,1,0.6488320231437683,63029248,880803840
10,2,8,prefill,1,1024,2.0451200008392334,440721408,1720320
10,2,8,prefill,1,8192,7.854368209838867,3524222976,1720320
10,2,8,prefill,1,16384,15.100671768188477,7048224768,1720320
10,2,8,decode,1,1,0.7872639894485474,125440,1720320
10,2,8,decode,8,1,0.7946239709854126,1002496,13762560
10,2,8,decode,32,1,0.8184319734573364,4074496,55050240
10,2,8,decode,128,1,0.6778879761695862,16101376,220200960
10,2,8,decode,256,1,0.6185280084609985,32071680,440401920
10,4,4,prefill,1,1024,2.34335994720459,220360704,860160
10,4,4,prefill,1,8192,4.799327850341797,1762111488,860160
10,4,4,prefill,1,16384,8.634143829345703,3524112384,860160
10,4,4,decode,1,1,0.7953600287437439,70144,860160
10,4,4,decode,8,1,1.0185600519180298,559616,6881280
10,4,4,decode,32,1,0.9889280200004578,2238464,27525120
10,4,4,decode,128,1,0.9688000082969666,9478144,110100480
10,4,4,decode,256,1,0.9205759763717651,17973248,220200960
10,8,2,prefill,1,1024,2.3686399459838867,110180352,430080
10,8,2,prefill,1,8192,3.842560052871704,881055744,430080
10,8,2,prefill,1,16384,5.443007946014404,1762056192,430080
10,8,2,decode,1,1,1.0229439735412598,42496,430080
10,8,2,decode,8,1,1.039423942565918,338432,3440640
10,8,2,decode,32,1,0.9207040071487427,1352704,13762560
10,8,2,decode,128,1,0.9031680226325989,5476352,55050240
10,8,2,decode,256,1,0.9574400186538696,10919936,110100480
10,16,1,prefill,1,1024,3.1039679050445557,55843840,215040
10,16,1,prefill,1,8192,3.514591932296753,440527872,215040
10,16,1,prefill,1,16384,4.738656044006348,881028096,215040
10,16,1,decode,1,1,1.3445440530776978,28672,215040
10,16,1,decode,8,1,1.430624008178711,227840,1720320
10,16,1,decode,32,1,1.2284799814224243,910336,6881280
10,16,1,decode,128,1,1.1194239854812622,3772416,27525120
10,16,1,decode,256,1,1.0986560583114624,8331264,55050240
11,1,16,prefill,1,1024,2.487391948699951,881442816,3440640
11,1,16,prefill,1,8192,14.272480010986328,7048445952,3440640
11,1,16,prefill,1,16384,28.491743087768555,14096449536,3440640
11,1,16,decode,1,1,0.6507520079612732,246272,3440640
11,1,16,decode,8,1,0.6279360055923462,1969664,27525120
11,1,16,decode,32,1,0.5888000130653381,8468480,110100480
11,1,16,decode,128,1,0.5591999888420105,31580160,440401920
11,1,16,decode,256,1,0.6502400040626526,63029248,880803840
11,2,8,prefill,1,1024,2.0394880771636963,440721408,1720320
11,2,8,prefill,1,8192,7.853343963623047,3524222976,1720320
11,2,8,prefill,1,16384,15.101471900939941,7048224768,1720320
11,2,8,decode,1,1,0.7948160171508789,125440,1720320
11,2,8,decode,8,1,0.7882559895515442,1002496,13762560
11,2,8,decode,32,1,0.8212800025939941,4074496,55050240
11,2,8,decode,128,1,0.6758080124855042,16101376,220200960
11,2,8,decode,256,1,0.6199039816856384,32071680,440401920
11,4,4,prefill,1,1024,2.3413760662078857,220360704,860160
11,4,4,prefill,1,8192,4.800320148468018,1762111488,860160
11,4,4,prefill,1,16384,8.63532829284668,3524112384,860160
11,4,4,decode,1,1,0.7948480248451233,70144,860160
11,4,4,decode,8,1,1.0127999782562256,559616,6881280
11,4,4,decode,32,1,0.9850879907608032,2238464,27525120
11,4,4,decode,128,1,0.971776008605957,9478144,110100480
