rank,op,m,n,k,tp,ms,gflops,gbps
5,bf16_kda_projection,1024,12288,7168,1,0.1138207991917928,1584847.652739089,0
5,bf16_kda_projection,8192,12288,7168,1,0.8100746790568034,1781451.8201411497,0
5,bf16_kda_projection,1,6144,7168,2,0.024741333723068238,3560.049954698922,0
5,bf16_kda_projection,8,6144,7168,2,0.025433599948883057,27705.203880544057,0
5,bf16_kda_projection,128,6144,7168,2,0.02347093423207601,480351.1032207765,0
5,bf16_kda_projection,1024,6144,7168,2,0.06479039986928305,1392093.7885546356,0
5,bf16_kda_projection,8192,6144,7168,2,0.42340908050537107,1704154.5374198626,0
5,bf16_kda_projection,1,3072,7168,4,0.025625600417455038,1718.6013706044423,0
5,bf16_kda_projection,8,3072,7168,4,0.02512320081392924,14023.751933896092,0
5,bf16_kda_projection,128,3072,7168,4,0.023154133558273317,243461.69386181867,0
5,bf16_kda_projection,1024,3072,7168,4,0.031049599250157673,1452423.1454539946,0
5,bf16_kda_projection,8192,3072,7168,4,0.22150932947794597,1628722.6082724426,0
5,bf16_kda_projection,1,1536,7168,8,0.02446399927139282,900.1020542765214,0
5,bf16_kda_projection,8,1536,7168,8,0.02476693391799927,7112.740260189247,0
5,bf16_kda_projection,128,1536,7168,8,0.025309866666793822,111362.58934536095,0
5,bf16_kda_projection,1024,1536,7168,8,0.023285333315531412,968359.6965717474,0
5,bf16_kda_projection,8192,1536,7168,8,0.12843519846598309,1404510.8240306657,0
5,bf16_kda_projection,1,768,7168,16,0.02513493299484253,438.0376905026628,0
5,bf16_kda_projection,8,768,7168,16,0.02459519902865092,3581.2023272263527,0
5,bf16_kda_projection,128,768,7168,16,0.02550719976425171,55250.52365705434,0
5,bf16_kda_projection,1024,768,7168,16,0.022191999355951945,508033.9527396485,0
5,bf16_kda_projection,8192,768,7168,16,0.0587285319964091,1535783.5476206837,0
6,hbm_copy,0,0,0,1,0.08210944175720215,0,6538.479625613931
6,bf16_kda_projection,1,12288,7168,1,0.032110933462778726,5486.005824283998,0
6,bf16_kda_projection,8,12288,7168,1,0.032014934221903484,44019.64827514205,0
6,bf16_kda_projection,128,12288,7168,1,0.03030186692873637,744131.6522519726,0
6,bf16_kda_projection,1024,12288,7168,1,0.10962986946105957,1645433.1955222648,0
6,bf16_kda_projection,8192,12288,7168,1,0.799021848042806,1806094.557978455,0
6,bf16_kda_projection,1,6144,7168,2,0.025401600201924644,3467.513199948965,0
6,bf16_kda_projection,8,6144,7168,2,0.0251093327999115,28062.99464884561,0
6,bf16_kda_projection,128,6144,7168,2,0.023021866877873737,489720.89065616543,0
6,bf16_kda_projection,1024,6144,7168,2,0.05544213453928629,1626818.916073448,0
6,bf16_kda_projection,8192,6144,7168,2,0.4648661295572917,1552176.9813928187,0
6,bf16_kda_projection,1,3072,7168,4,0.02439039945602417,1805.6363561984444,0
6,bf16_kda_projection,8,3072,7168,4,0.024435200293858848,14418.606426915472,0
6,bf16_kda_projection,128,3072,7168,4,0.022689066330591836,248452.029442895,0
6,bf16_kda_projection,1024,3072,7168,4,0.03096533417701721,1456375.5827790024,0
6,bf16_kda_projection,8192,3072,7168,4,0.21038613319396973,1714833.8029074098,0
6,bf16_kda_projection,1,1536,7168,8,0.025435733795166015,865.7149888942796,0
6,bf16_kda_projection,8,1536,7168,8,0.024576000372568765,7167.999891334112,0
6,bf16_kda_projection,128,1536,7168,8,0.024753065903981526,113867.60326714249,0
6,bf16_kda_projection,1024,1536,7168,8,0.022707200050354003,993014.4735589481,0
6,bf16_kda_projection,8192,1536,7168,8,0.11775039831797282,1531957.674953074,0
6,bf16_kda_projection,1,768,7168,16,0.025653332471847534,429.18587719870857,0
6,bf16_kda_projection,8,768,7168,16,0.02500693400700887,3522.2384309613117,0
6,bf16_kda_projection,128,768,7168,16,0.025483733415603636,55301.400348863215,0
6,bf16_kda_projection,1024,768,7168,16,0.02292799949645996,491725.81121788354,0
6,bf16_kda_projection,8192,768,7168,16,0.06442559957504272,1399976.3108287717,0
7,hbm_copy,0,0,0,1,0.08207072257995605,0,6541.564337720584
7,bf16_kda_projection,1,12288,7168,1,0.03236693342526754,5442.6153285957735,0
7,bf16_kda_projection,8,12288,7168,1,0.03207040031750997,43943.51582916009,0
7,bf16_kda_projection,128,12288,7168,1,0.030243200063705445,745575.1460329199,0
7,bf16_kda_projection,1024,12288,7168,1,0.10848853588104249,1662743.6711819565,0
7,bf16_kda_projection,8192,12288,7168,1,0.8055423736572266,1791474.984617097,0
7,bf16_kda_projection,1,6144,7168,2,0.026428800821304322,3332.7423591992183,0
7,bf16_kda_projection,8,6144,7168,2,0.026002132892608644,27099.433531481624,0
7,bf16_kda_projection,128,6144,7168,2,0.02264960010846456,497769.89871828235,0
7,bf16_kda_projection,1024,6144,7168,2,0.0585258682568868,1541101.6684128686,0
7,bf16_kda_projection,8192,6144,7168,2,0.4122570673624674,1750253.8169796614,0
7,bf16_kda_projection,1,3072,7168,4,0.026726400852203368,1647.816039411429,0
7,bf16_kda_projection,8,3072,7168,4,0.025931733846664428,13586.501314693956,0
7,bf16_kda_projection,128,3072,7168,4,0.02319999933242798,242980.37664684918,0
7,bf16_kda_projection,1024,3072,7168,4,0.027971200148264565,1612271.0634137017,0
7,bf16_kda_projection,8192,3072,7168,4,0.20853333473205565,1730069.934994146,0
7,bf16_kda_projection,1,1536,7168,8,0.02637973427772522,834.7353225082917,0
7,bf16_kda_projection,8,1536,7168,8,0.02487786610921224,7081.024040673968,0
7,bf16_kda_projection,128,1536,7168,8,0.026173865795135497,107686.51104354029,0
7,bf16_kda_projection,1024,1536,7168,8,0.023939200242360435,941910.2591447593,0
7,bf16_kda_projection,8192,1536,7168,8,0.10812479654947917,1668337.256472451,0
