rank,op,m,n,k,tp,ms,gflops,gbps
12,bf16_kda_projection,1024,768,7168,16,0.022977066040039063,490675.7517410536,0
12,bf16_kda_projection,8192,768,7168,16,0.061901867389678955,1457053.1878823144,0
13,hbm_copy,0,0,0,1,0.08211456298828125,0,6538.071840881843
13,bf16_kda_projection,1,12288,7168,1,0.03224106629689535,5463.862962155299,0
13,bf16_kda_projection,8,12288,7168,1,0.032201600074768064,43764.475700828996,0
13,bf16_kda_projection,128,12288,7168,1,0.030479999383290608,739782.7677241135,0
13,bf16_kda_projection,1024,12288,7168,1,0.11350826422373454,1589211.3906035821,0
13,bf16_kda_projection,8192,12288,7168,1,0.824232546488444,1750851.7682348436,0
13,bf16_kda_projection,1,6144,7168,2,0.02809386650721232,3135.2175741771894,0
13,bf16_kda_projection,8,6144,7168,2,0.027259733279546103,25849.22841225,0
13,bf16_kda_projection,128,6144,7168,2,0.024510933955510458,459969.79031740874,0
13,bf16_kda_projection,1024,6144,7168,2,0.05887680053710938,1531916.007547855,0
13,bf16_kda_projection,8192,6144,7168,2,0.4381216049194336,1646927.4685978726,0
13,bf16_kda_projection,1,3072,7168,4,0.02774719993273417,1587.1940991077993,0
13,bf16_kda_projection,8,3072,7168,4,0.027195733785629273,12955.029593140567,0
13,bf16_kda_projection,128,3072,7168,4,0.024695465962092083,228266.37831629105,0
13,bf16_kda_projection,1024,3072,7168,4,0.03154346744219462,1429682.9189956167,0
13,bf16_kda_projection,8192,3072,7168,4,0.2154197374979655,1674764.1467505144,0
13,bf16_kda_projection,1,1536,7168,8,0.027592533826828004,798.0454473010388,0
13,bf16_kda_projection,8,1536,7168,8,0.027919999758402505,6309.483149153128,0
13,bf16_kda_projection,128,1536,7168,8,0.028246400753657024,99785.18369761086,0
13,bf16_kda_projection,1024,1536,7168,8,0.02487679918607076,906409.9499032657,0
13,bf16_kda_projection,8192,1536,7168,8,0.12176746527353922,1481418.9161840053,0
13,bf16_kda_projection,1,768,7168,16,0.028368000189463297,388.1150566295277,0
13,bf16_kda_projection,8,768,7168,16,0.028090665737787884,3135.574814145941,0
13,bf16_kda_projection,128,768,7168,16,0.027214932441711425,51783.56209475772,0
13,bf16_kda_projection,1024,768,7168,16,0.024729599555333454,455902.61689330364,0
13,bf16_kda_projection,8192,768,7168,16,0.059322667121887204,1520402.1934934657,0
14,hbm_copy,0,0,0,1,0.08210528373718262,0,6538.810750822238
14,bf16_kda_projection,1,12288,7168,1,0.03237546682357788,5441.180785436844,0
14,bf16_kda_projection,8,12288,7168,1,0.03214079936345418,43847.264906623146,0
14,bf16_kda_projection,128,12288,7168,1,0.030411734183629354,741443.3576148349,0
14,bf16_kda_projection,1024,12288,7168,1,0.11649173100789388,1548510.1377691454,0
14,bf16_kda_projection,8192,12288,7168,1,0.8458858489990234,1706032.8094667844,0
14,bf16_kda_projection,1,6144,7168,2,0.028131200869878133,3131.0566657790023,0
14,bf16_kda_projection,8,6144,7168,2,0.027591466903686523,25538.441811002514,0
14,bf16_kda_projection,128,6144,7168,2,0.02418986757596334,466074.86033544404,0
14,bf16_kda_projection,1024,6144,7168,2,0.07232960065205891,1246990.3387117975,0
14,bf16_kda_projection,8192,6144,7168,2,0.45199785232543943,1596367.1110730835,0
14,bf16_kda_projection,1,3072,7168,4,0.028822400172551475,1527.984891485232,0
14,bf16_kda_projection,8,3072,7168,4,0.028323199351628622,12439.326914518964,0
14,bf16_kda_projection,128,3072,7168,4,0.0245578666528066,229545.3695427472,0
14,bf16_kda_projection,1024,3072,7168,4,0.03705600102742513,1217000.0906094431,0
14,bf16_kda_projection,8192,3072,7168,4,0.22445119222005208,1607375.0791677407,0
14,bf16_kda_projection,1,1536,7168,8,0.029322665929794312,750.9581854774575,0
14,bf16_kda_projection,8,1536,7168,8,0.027846399943033853,6326.159516503998,0
14,bf16_kda_projection,128,1536,7168,8,0.028220800558725993,99875.7027510506,0
14,bf16_kda_projection,1024,1536,7168,8,0.02541439930597941,887236.3274269815,0
14,bf16_kda_projection,8192,1536,7168,8,0.11994667053222656,1503906.90822497,0
14,bf16_kda_projection,1,768,7168,16,0.028872533639272054,381.33293522340114,0
14,bf16_kda_projection,8,768,7168,16,0.0273632009824117,3218.9356814144517,0
14,bf16_kda_projection,128,768,7168,16,0.0290666659673055,48484.61621244006,0
14,bf16_kda_projection,1024,768,7168,16,0.024661332368850708,457164.64071666927,0
14,bf16_kda_projection,8192,768,7168,16,0.06630186637242635,1360358.5864290246,0
15,hbm_copy,0,0,0,1,0.08211968421936035,0,6537.6641070111245
15,bf16_kda_projection,1,12288,7168,1,0.03227413296699524,5458.264926284734,0
15,bf16_kda_projection,8,12288,7168,1,0.03213119904200236,43860.365813232216,0
15,bf16_kda_projection,128,12288,7168,1,0.030277333656946816,744734.6110289493,0
15,bf16_kda_projection,1024,12288,7168,1,0.11334613164265951,1591484.630465395,0
15,bf16_kda_projection,8192,12288,7168,1,0.8201909383138021,1759479.3407774419,0
15,bf16_kda_projection,1,6144,7168,2,0.026034132639567057,3383.2655467896843,0
15,bf16_kda_projection,8,6144,7168,2,0.026450133323669432,26640.43554629027,0
15,bf16_kda_projection,128,6144,7168,2,0.023803732792536416,473635.3432573826,0
15,bf16_kda_projection,1024,6144,7168,2,0.058302934964497885,1546994.3883772157,0
15,bf16_kda_projection,8192,6144,7168,2,0.4390389442443848,1643486.3357505638,0
15,bf16_kda_projection,1,3072,7168,4,0.02634773254394531,1671.498369984798,0
15,bf16_kda_projection,8,3072,7168,4,0.026608000199000042,13241.188115040703,0
15,bf16_kda_projection,128,3072,7168,4,0.02372693419456482,237584.19565606216,0
15,bf16_kda_projection,1024,3072,7168,4,0.038634665807088214,1167271.818350403,0
15,bf16_kda_projection,8192,3072,7168,4,0.26310399373372395,1371234.4223445232,0
15,bf16_kda_projection,1,1536,7168,8,0.027075199286142985,813.2939583299698,0
15,bf16_kda_projection,8,1536,7168,8,0.02720746596654256,6474.721615626667,0
15,bf16_kda_projection,128,1536,7168,8,0.027106134096781413,103982.82093405115,0
15,bf16_kda_projection,1024,1536,7168,8,0.025481599569320678,884896.5012050509,0
15,bf16_kda_projection,8192,1536,7168,8,0.157097593943278,1148258.365415396,0
15,bf16_kda_projection,1,768,7168,16,0.02746880054473877,400.82012252656614,0
15,bf16_kda_projection,8,768,7168,16,0.026816000541051228,3284.620458787741,0
15,bf16_kda_projection,128,768,7168,16,0.027522132794062296,51205.557161763405,0
15,bf16_kda_projection,1024,768,7168,16,0.02358506719271342,478026.5860545515,0
15,bf16_kda_projection,8192,768,7168,16,0.08117866516113281,1111059.3286668595,0
