rank,tp,cp,dp,queries,cached_tokens,local_attention_ms,attention_with_merge_ms,correctness_max_abs,expanded_kv_bytes,local_attention_flops
0,16,1,1,1,32768,0.34806079864501954,0.34758079051971436,0.0019712448120117188,125829120,125829120
0,16,1,1,128,32768,0.34701440334320066,0.3473151922225952,0.0019712448120117188,125829120,16106127360
0,16,1,1,1024,32768,0.46731200218200686,0.46737279891967776,0.0019712448120117188,125829120,128849018880
0,16,1,1,8192,32768,0.9238656044006348,0.9211232185363769,0.0019712448120117188,125829120,1030792151040
0,16,1,1,1,131072,1.3546784400939942,1.3542655944824218,0.0019712448120117188,503316480,503316480
0,16,1,1,128,131072,1.3652223587036132,1.354368019104004,0.0019712448120117188,503316480,64424509440
0,16,1,1,1024,131072,1.8127616882324218,1.8125951766967774,0.0019712448120117188,503316480,515396075520
0,16,1,1,8192,131072,3.563670349121094,3.5788063049316405,0.0019712448120117188,503316480,4123168604160
0,16,1,1,1,1048576,10.721897888183594,10.721984100341796,0.0019712448120117188,4026531840,4026531840
0,16,1,1,128,1048576,10.72318115234375,10.721836853027344,0.0019712448120117188,4026531840,515396075520
0,16,1,1,1024,1048576,14.352978515625,14.351376342773438,0.0019712448120117188,4026531840,4123168604160
0,16,1,1,8192,1048576,28.26142272949219,28.353414916992186,0.0019712448120117188,4026531840,32985348833280
0,8,2,1,1,32768,0.18082239627838134,0.4389823913574219,0.0035523176193237305,125829120,125829120
0,8,2,1,128,32768,0.18139840364456178,0.45662717819213866,0.0035523176193237305,125829120,16106127360
0,8,2,1,1024,32768,0.24305920600891112,0.4581632137298584,0.0035523176193237305,125829120,128849018880
0,8,2,1,8192,32768,0.7089312076568604,1.0017215728759765,0.0035523176193237305,125829120,1030792151040
0,8,2,1,1,131072,0.689734411239624,0.7530720233917236,0.0035523176193237305,503316480,503316480
0,8,2,1,128,131072,0.6895328044891358,0.7643360137939453,0.0035523176193237305,503316480,64424509440
0,8,2,1,1024,131072,0.9183008193969726,1.0395551681518556,0.0035523176193237305,503316480,515396075520
0,8,2,1,8192,131072,2.7197376251220704,3.096118354797363,0.0035523176193237305,503316480,4123168604160
0,8,2,1,1,1048576,5.404470443725586,5.489862442016602,0.0035523176193237305,4026531840,4026531840
