rank,group_start,size,requested_tokens,padded_tokens,op,logical_bytes,median_ms,min_ms,max_ms
0,0,2,8192,8192,rs_ag_pair,117440512,0.31714773178100586,0.31689494450887046,0.31755520502726237
0,0,2,16384,16384,all_reduce,234881024,0.4562879880269369,0.4539744059244792,0.4562922795613607
0,0,2,16384,16384,reduce_scatter,234881024,0.30157334009806314,0.30142399470011394,0.34485012690226235
0,0,2,16384,16384,all_gather,234881024,0.2827893257141113,0.2821845372517904,0.2828831990559896
0,0,2,16384,16384,all_to_all,234881024,0.362116273244222,0.3620501200358073,0.3628927866617839
0,0,2,16384,16384,rs_ag_pair,234881024,0.5820767720540364,0.5818047841389974,0.5825738906860352
0,0,4,1,4,all_reduce,57344,0.056084267298380536,0.055558399359385176,0.05647253195444743
0,0,4,1,4,reduce_scatter,57344,0.05142720143000285,0.05118720134099324,0.0536298672358195
0,0,4,1,4,all_gather,57344,0.05018666585286458,0.04989440043767293,0.05058986743291219
0,0,4,1,4,all_to_all,57344,0.060941867033640545,0.0586847980817159,0.06282026767730713
0,0,4,1,4,rs_ag_pair,57344,0.1059445301691691,0.10557866891225179,0.14465813636779784
0,0,4,8,8,all_reduce,114688,0.0587498664855957,0.05722026824951172,0.059827200571695965
0,0,4,8,8,reduce_scatter,114688,0.054876800378163657,0.05357973178227742,0.056331733862559
0,0,4,8,8,all_gather,114688,0.05162773529688517,0.051148800055185954,0.05196266571680705
0,0,4,8,8,all_to_all,114688,0.06041173140207926,0.058956801891326904,0.061424001057942705
0,0,4,8,8,rs_ag_pair,114688,0.10655573209126791,0.1062549352645874,0.10773653189341227
0,0,4,128,128,all_reduce,1835008,0.061928534507751466,0.06094293196996053,0.062067198753356936
0,0,4,128,128,reduce_scatter,1835008,0.05591893196105957,0.055057064692179365,0.056458667914072676
0,0,4,128,128,all_gather,1835008,0.0544704000155131,0.05368959903717041,0.16853973070780437
0,0,4,128,128,all_to_all,1835008,0.06227519909540812,0.061080535252889,0.06262933413187663
0,0,4,128,128,rs_ag_pair,1835008,0.11019840240478515,0.10882666905721029,0.11153066953023275
0,0,4,1024,1024,all_reduce,14680064,0.06176533301671346,0.06147733529408773,0.062284799416859944
0,0,4,1024,1024,reduce_scatter,14680064,0.056977065404256184,0.056772267818450926,0.05806826750437419
0,0,4,1024,1024,all_gather,14680064,0.05770453214645386,0.057685331503550215,0.05805226564407349
0,0,4,1024,1024,all_to_all,14680064,0.0620906670888265,0.06090240081151326,0.06276373465855917
0,0,4,1024,1024,rs_ag_pair,14680064,0.11554880142211914,0.11242240269978841,0.2594261328379313
0,0,4,8192,8192,all_reduce,117440512,0.3090144157409668,0.3084554672241211,0.30928640365600585
0,0,4,8192,8192,reduce_scatter,117440512,0.1808736006418864,0.18014826774597167,0.18170347213745117
0,0,4,8192,8192,all_gather,117440512,0.17704532941182455,0.17680959701538085,0.17754987080891926
0,0,4,8192,8192,all_to_all,117440512,0.19884373346964518,0.19754133224487305,0.19978666305541992
0,0,4,8192,8192,rs_ag_pair,117440512,0.35927572250366213,0.3589695930480957,0.35935786565144856
0,0,4,16384,16384,all_reduce,234881024,0.5949471791585287,0.5948703765869141,0.5953088124593099
0,0,4,16384,16384,reduce_scatter,234881024,0.342031987508138,0.34200960795084634,0.34222186406453453
0,0,4,16384,16384,all_gather,234881024,0.329802672068278,0.32904958724975586,0.3303551991780599
0,0,4,16384,16384,all_to_all,234881024,0.3685994784037272,0.36785494486490883,0.36970132191975913
0,0,4,16384,16384,rs_ag_pair,234881024,0.6748234430948893,0.6741781234741211,0.7159498850504558
0,0,8,1,8,all_reduce,114688,0.05981760025024414,0.057274667421976726,0.07640533447265625
0,0,8,1,8,reduce_scatter,114688,0.051514665285746254,0.05119253396987915,0.051991466681162515
0,0,8,1,8,all_gather,114688,0.04882880051930746,0.04861439863840739,0.05064533154169718
0,0,8,1,8,all_to_all,114688,0.07287360032399495,0.07109653155008952,0.07720746994018554
0,0,8,1,8,rs_ag_pair,114688,0.12449066638946533,0.12245226701100667,0.12450239658355713
0,0,8,8,8,all_reduce,114688,0.06772586504618326,0.06614613135655721,0.06847360134124755
0,0,8,8,8,reduce_scatter,114688,0.06452586650848388,0.060686933994293216,0.14802667299906414
0,0,8,8,8,all_gather,114688,0.05134079853693644,0.051277867952982586,0.1686570644378662
0,0,8,8,8,all_to_all,114688,0.0661407987276713,0.06553813219070434,0.06844586531321208
0,0,8,8,8,rs_ag_pair,114688,0.11106773217519124,0.11088319619496663,0.11115520000457764
0,0,8,128,128,all_reduce,1835008,0.06285653511683147,0.06268373330434164,0.06421440045038859
0,0,8,128,128,reduce_scatter,1835008,0.05804693301518758,0.05784960190455119,0.05839146773020427
0,0,8,128,128,all_gather,1835008,0.05561386744181315,0.055477333068847653,0.05625173250834147
0,0,8,128,128,all_to_all,1835008,0.07165119647979737,0.07030293146769205,0.07263893286387126
0,0,8,128,128,rs_ag_pair,1835008,0.12298773129781088,0.12123306592305501,0.12498559951782226
0,0,8,1024,1024,all_reduce,14680064,0.0940064032872518,0.09396053155263265,0.09406932989756266
0,0,8,1024,1024,reduce_scatter,14680064,0.05891413291295369,0.0581984003384908,0.05905919869740804
0,0,8,1024,1024,all_gather,14680064,0.05622506539026896,0.05583253304163615,0.056756265958150226
0,0,8,1024,1024,all_to_all,14680064,0.07062719662984213,0.07009600003560384,0.07104427019755045
0,0,8,1024,1024,rs_ag_pair,14680064,0.11946240266164145,0.11874240239461263,0.11976746718088786
0,0,8,8192,8192,all_reduce,117440512,0.36283305486043294,0.3616138776143392,0.4546058654785156
0,0,8,8192,8192,reduce_scatter,117440512,0.19040746688842775,0.19027093251546223,0.19078292846679687
0,0,8,8192,8192,all_gather,117440512,0.19235092798868816,0.1921013355255127,0.19259200096130372
0,0,8,8192,8192,all_to_all,117440512,0.2086666742960612,0.2086623986562093,0.20887893040974934
0,0,8,8192,8192,rs_ag_pair,117440512,0.3837567965189616,0.38358720143636066,0.42190399169921877
0,0,8,16384,16384,all_reduce,234881024,0.6355381647745768,0.6349685033162434,0.6361674626668294
0,0,8,16384,16384,reduce_scatter,234881024,0.3539711952209473,0.3532554626464844,0.3549973487854004
0,0,8,16384,16384,all_gather,234881024,0.35510508219401044,0.3548704147338867,0.35584853490193685
0,0,8,16384,16384,all_to_all,234881024,0.37859306335449217,0.3780789375305176,0.4280266761779785
0,0,8,16384,16384,rs_ag_pair,234881024,0.7109066645304362,0.7091978708902995,0.7111434936523438
0,0,16,1,16,all_reduce,229376,0.08210879961649577,0.060209067662556966,0.09840640226999918
0,0,16,1,16,reduce_scatter,229376,0.08390080134073893,0.0702122688293457,0.08558080196380616
0,0,16,1,16,all_gather,229376,0.06834026972452799,0.06422293186187744,0.07270932992299398
0,0,16,1,16,all_to_all,229376,0.09496959845225016,0.09462400277455647,0.10001599788665771
0,0,16,1,16,rs_ag_pair,229376,0.1335317293802897,0.13148693243662515,0.1355306625366211
0,0,16,8,16,all_reduce,229376,0.06934613386789958,0.06803733507792155,0.07107946872711182
0,0,16,8,16,reduce_scatter,229376,0.06418346563975016,0.06418026685714721,0.06900693575541178
0,0,16,8,16,all_gather,229376,0.06713173389434815,0.0629258672396342,0.07984853585561116
0,0,16,8,16,all_to_all,229376,0.09591573079427083,0.08931306997934978,0.0964202642440796
0,0,16,8,16,rs_ag_pair,229376,0.13063146273295084,0.1296895980834961,0.13712533315022787
0,0,16,128,128,all_reduce,1835008,0.3344767888387044,0.07312106291453044,0.4264298756917318
0,0,16,128,128,reduce_scatter,1835008,0.06267946561177572,0.06108373403549194,0.0662282665570577
0,0,16,128,128,all_gather,1835008,0.06901333332061768,0.06099946498870849,0.08541866938273111
0,0,16,128,128,all_to_all,1835008,0.0847861369450887,0.08377599716186523,0.08610880374908447
0,0,16,128,128,rs_ag_pair,1835008,0.1291434685389201,0.12860053380330402,0.1309600035349528
0,0,16,1024,1024,all_reduce,14680064,0.10586880048116049,0.10551573435465494,0.1059391975402832
0,0,16,1024,1024,reduce_scatter,14680064,0.06925439834594727,0.06749760309855143,0.07557653586069743
0,0,16,1024,1024,all_gather,14680064,0.0798688014348348,0.07974507013956705,0.2396970589955648
0,0,16,1024,1024,all_to_all,14680064,0.3308437347412109,0.09444586435953777,0.4226655960083008
0,0,16,1024,1024,rs_ag_pair,14680064,0.1504031976064046,0.14966506958007814,0.15082666079203289
