rank,tp,dp,phase,batch_per_dp,chunk,ms,graph_ms,dynamic_peak_bytes,state_bytes
1,16,1,decode,8,1,1.2516160011291504,0.07315200169881185,227840,1720320
1,16,1,decode,32,1,0.9655680060386658,0.07833920319875082,910336,6881280
1,16,1,decode,128,1,0.981440007686615,0.11364160378774008,3641344,27525120
1,16,1,decode,256,1,0.9646720290184021,0.14238932927449544,7348224,55050240
2,1,16,prefill,1,1024,2.488192081451416,,881442816,3440640
2,1,16,prefill,1,8192,14.281696319580078,,7048445952,3440640
2,1,16,prefill,1,16384,28.573440551757812,,14096449536,3440640
2,1,16,decode,1,1,0.6434239745140076,0.15172905921936036,246272,3440640
2,1,16,decode,8,1,0.652351975440979,0.16324267387390137,1969664,27525120
2,1,16,decode,32,1,0.6123520135879517,0.20589973131815592,8468480,110100480
2,1,16,decode,128,1,0.5417280197143555,0.3520853360493978,31580160,440401920
2,1,16,decode,256,1,0.650592029094696,0.6379456202189128,63029248,880803840
2,2,8,prefill,1,1024,2.32476806640625,,440721408,1720320
2,2,8,prefill,1,8192,7.8886399269104,,3524222976,1720320
2,2,8,prefill,1,16384,15.174400329589844,,7048224768,1720320
2,2,8,decode,1,1,0.8416000008583069,0.10747946898142496,125440,1720320
2,2,8,decode,8,1,0.8527039885520935,0.11175466378529866,1002496,13762560
2,2,8,decode,32,1,0.8363839983940125,0.14026773770650228,4074496,55050240
2,2,8,decode,128,1,0.6962559819221497,0.2202016035715739,16101376,220200960
2,2,8,decode,256,1,0.6524800062179565,0.3932095845540365,32071680,440401920
2,4,4,prefill,1,1024,1.9843839406967163,,220360704,860160
2,4,4,prefill,1,8192,4.626463890075684,,1762111488,860160
2,4,4,prefill,1,16384,8.552351951599121,,3524112384,860160
2,4,4,decode,1,1,0.7434239983558655,0.07818026542663574,70144,860160
2,4,4,decode,8,1,0.7654399871826172,0.07982933521270752,559616,6881280
2,4,4,decode,32,1,0.7444800138473511,0.09323200384775797,2238464,27525120
2,4,4,decode,128,1,0.7268159985542297,0.14652479489644368,8953856,110100480
2,4,4,decode,256,1,0.7004160284996033,0.2266197363535563,17973248,220200960
2,8,2,prefill,1,1024,2.35916805267334,,110180352,430080
2,8,2,prefill,1,8192,3.705440044403076,,881055744,430080
2,8,2,prefill,1,16384,5.572224140167236,,1762056192,430080
2,8,2,decode,1,1,1.1442559957504272,0.07380586465199789,42496,430080
2,8,2,decode,8,1,1.2321280241012573,0.07650880018870036,338432,3440640
2,8,2,decode,32,1,1.0697599649429321,0.08195626735687256,1352704,13762560
2,8,2,decode,128,1,1.0976639986038208,0.11012480258941651,5476352,55050240
2,8,2,decode,256,1,1.0544639825820923,0.1754261334737142,11345920,110100480
2,16,1,prefill,1,1024,2.2410879135131836,,55155712,215040
2,16,1,prefill,1,8192,3.3631041049957275,,440790016,215040
2,16,1,prefill,1,16384,4.210720062255859,,881028096,215040
2,16,1,decode,1,1,1.0953919887542725,0.08269546826680502,28672,215040
2,16,1,decode,8,1,1.2495360374450684,0.07316799958546956,227840,1720320
2,16,1,decode,32,1,0.9607040286064148,0.07828160127003987,910336,6881280
2,16,1,decode,128,1,0.9760000109672546,0.1135423978169759,3641344,27525120
2,16,1,decode,256,1,0.964031994342804,0.14238932927449544,7348224,55050240
3,1,16,prefill,1,1024,2.57260799407959,,881442816,3440640
3,1,16,prefill,1,8192,14.296319961547852,,7048445952,3440640
3,1,16,prefill,1,16384,28.611040115356445,,14096449536,3440640
3,1,16,decode,1,1,0.656607985496521,0.15163307189941405,246272,3440640
3,1,16,decode,8,1,0.6021119952201843,0.16315733591715495,1969664,27525120
3,1,16,decode,32,1,0.6305919885635376,0.20560000737508138,8468480,110100480
3,1,16,decode,128,1,0.5642240047454834,0.3520415941874186,31580160,440401920
3,1,16,decode,256,1,0.6486080288887024,0.6363114674886068,63029248,880803840
3,2,8,prefill,1,1024,2.31494402885437,,440721408,1720320
3,2,8,prefill,1,8192,7.883423805236816,,3524222976,1720320
3,2,8,prefill,1,16384,15.173248291015625,,7048224768,1720320
3,2,8,decode,1,1,0.8435519933700562,0.10745386282602946,125440,1720320
3,2,8,decode,8,1,0.849183976650238,0.1117695967356364,1002496,13762560
3,2,8,decode,32,1,0.832256019115448,0.14034773508707682,4074496,55050240
3,2,8,decode,128,1,0.7034239768981934,0.22013866106669108,16101376,220200960
3,2,8,decode,256,1,0.6540480256080627,0.39326826731363934,32071680,440401920
3,4,4,prefill,1,1024,1.9820159673690796,,220360704,860160
3,4,4,prefill,1,8192,4.629151821136475,,1762111488,860160
3,4,4,prefill,1,16384,8.551168441772461,,3524112384,860160
3,4,4,decode,1,1,0.7461119890213013,0.07814719676971435,70144,860160
3,4,4,decode,8,1,0.7553279995918274,0.07978346347808837,559616,6881280
3,4,4,decode,32,1,0.7398080229759216,0.09316693147023519,2238464,27525120
3,4,4,decode,128,1,0.7302079796791077,0.14647146860758464,8953856,110100480
3,4,4,decode,256,1,0.7024319767951965,0.22665600776672362,17973248,220200960
3,8,2,prefill,1,1024,2.3561599254608154,,110180352,430080
3,8,2,prefill,1,8192,3.707360029220581,,881055744,430080
3,8,2,prefill,1,16384,5.573440074920654,,1762056192,430080
3,8,2,decode,1,1,1.1512320041656494,0.07397653261820475,42496,430080
3,8,2,decode,8,1,1.2320640087127686,0.07646293640136718,338432,3440640
3,8,2,decode,32,1,1.0654079914093018,0.08196907043457032,1352704,13762560
3,8,2,decode,128,1,1.098080039024353,0.11011520226796469,5476352,55050240
