rank,tp,cp,dp,queries,cached_tokens,local_attention_ms,attention_with_merge_ms,graph_ms,correctness_max_abs,expanded_kv_bytes,local_attention_flops
0,2,8,1,1,32768,0.07168959975242614,0.4033984184265137,0.12277439832687378,0.0008339136838912964,125829120,125829120
0,2,8,1,128,32768,0.08194559812545776,0.41452479362487793,0.16136000156402588,0.0008339136838912964,125829120,16106127360
0,2,8,1,1024,32768,0.14298559427261354,0.4301760196685791,0.3438031911849976,0.0008339136838912964,125829120,128849018880
0,2,8,1,8192,32768,0.6606624126434326,1.384819221496582,1.3611583709716797,0.0008339136838912964,125829120,1030792151040
0,2,8,1,1,131072,0.18919359445571898,0.45608320236206057,0.2530895948410034,0.0008339136838912964,503316480,503316480
0,2,8,1,128,131072,0.19107520580291748,0.4532927989959717,0.29230079650878904,0.0008339136838912964,503316480,64424509440
0,2,8,1,1024,131072,0.5088511943817139,0.7228064060211181,0.7085120201110839,0.0008339136838912964,503316480,515396075520
0,2,8,1,8192,131072,2.5619455337524415,3.61212158203125,3.3408206939697265,0.0008339136838912964,503316480,4123168604160
0,2,8,1,1,1048576,1.4173439979553222,1.5693408012390138,1.4687135696411133,0.0008339136838912964,4026531840,4026531840
0,2,8,1,128,1048576,1.4009568214416503,1.5321887969970702,1.5110048294067382,0.0008339136838912964,4026531840,515396075520
0,2,8,1,1024,1048576,3.8521568298339846,4.071897506713867,4.070004653930664,0.0008339136838912964,4026531840,4123168604160
0,2,8,1,8192,1048576,22.736422729492187,24.7635009765625,24.587869262695314,0.0008339136838912964,4026531840,32985348833280
0,1,16,1,1,32768,0.16858880519866942,0.4950560092926025,0.15162559747695922,0.0008585304021835327,125829120,125829120
0,1,16,1,128,32768,0.07094079852104188,2.3661760330200194,0.19669599533081056,0.0008585304021835327,125829120,16106127360
0,1,16,1,1024,32768,0.12213759422302246,0.5115776062011719,0.4524543762207031,0.0008585304021835327,125829120,128849018880
0,1,16,1,8192,32768,0.7021440029144287,2.0920000076293945,2.06966552734375,0.0008585304021835327,125829120,1030792151040
0,1,16,1,1,131072,0.10852479934692383,0.533247995376587,0.21850240230560303,0.0008585304021835327,503316480,503316480
0,1,16,1,128,131072,0.11097279787063599,0.4102464199066162,0.2674191951751709,0.0008585304021835327,503316480,64424509440
0,1,16,1,1024,131072,0.39798080921173096,0.7483903884887695,0.7337103843688965,0.0008585304021835327,503316480,515396075520
0,1,16,1,8192,131072,2.495225524902344,4.183071899414062,3.8545791625976564,0.0008585304021835327,503316480,4123168604160
0,1,16,1,1,1048576,0.7664063930511474,0.8997695922851563,0.8663984298706054,0.0008585304021835327,4026531840,4026531840
0,1,16,1,128,1048576,0.7428031921386719,0.9308480262756348,0.9030703544616699,0.0008585304021835327,4026531840,515396075520
0,1,16,1,1024,1048576,2.978166389465332,3.5557151794433595,3.4773025512695312,0.0008585304021835327,4026531840,4123168604160
0,1,16,1,8192,1048576,23.06695098876953,25.269305419921874,24.825729370117188,0.0008585304021835327,4026531840,32985348833280
0,4,1,4,1,32768,0.46504640579223633,0.4344287872314453,0.3482079982757568,0.002366364002227783,503316480,503316480
0,4,1,4,128,32768,0.35689918994903563,0.35642879009246825,0.34852800369262693,0.002366364002227783,503316480,64424509440
0,4,1,4,1024,32768,0.4817344188690186,0.48165121078491213,0.4732783794403076,0.002366364002227783,503316480,515396075520
0,4,1,4,8192,32768,2.7593055725097657,2.885715293884277,2.835972785949707,0.002366364002227783,503316480,4123168604160
0,4,1,4,1,131072,1.5716352462768555,1.6439264297485352,1.3685008049011231,0.002366364002227783,2013265920,2013265920
0,4,1,4,128,131072,1.3758560180664063,1.376908779144287,1.3695455551147462,0.002366364002227783,2013265920,257698037760
0,4,1,4,1024,131072,1.8635744094848632,1.8768575668334961,1.8607280731201172,0.002366364002227783,2013265920,2061584302080
0,4,1,4,8192,131072,11.91178207397461,11.795811462402344,12.26798095703125,0.002366364002227783,2013265920,16492674416640
0,4,1,4,1,1048576,10.901081848144532,10.900406646728516,10.88723373413086,0.002366364002227783,16106127360,16106127360
