rank,ep,source_ranks,tokens_per_rank,global_tokens,routing,ms,graph_ms,max_mean_expert_load,workspace_device_bytes,dynamic_peak_bytes
0,16,16,1,16,balanced,0.1894015947977702,0.18525439898173016,3.499999761581421,6981419008,7168
0,16,16,1,16,hot_rank,0.10446080366770426,0.08701546986897786,55.999996185302734,6981419008,7168
0,16,16,8,128,balanced,0.2096768061319987,0.20545600255330404,1.3125,6981419008,57344
0,16,16,8,128,hot_rank,0.3654165267944336,0.35933119455973306,55.999996185302734,6981419008,57344
0,16,16,128,2048,balanced,0.2924714724222819,0.28707946141560875,1.01171875,6981419008,917504
0,16,16,128,2048,hot_rank,1.388219706217448,1.349893315633138,55.999996185302734,6981419008,917504
0,16,16,512,8192,balanced,0.45995839436848956,0.455128542582194,1.0048828125,6981419008,3670016
0,16,16,512,8192,hot_rank,4.6769566853841145,4.669627888997396,55.999996185302734,6981419008,3670016
0,16,16,2048,32768,balanced,1.4368490854899088,1.4261589050292969,1.00146484375,6981419008,14680064
0,16,16,2048,32768,hot_rank,17.769411214192708,17.76747029622396,55.999996185302734,6981419008,14680064
0,16,4,2048,8192,balanced,1.5071732838948568,1.5029749552408853,1.0048828125,6981419008,
0,16,8,1024,8192,balanced,1.409945551554362,1.4041205088297526,1.0048828125,6981419008,
0,8,8,1,8,balanced,0.32802667617797854,0.3238848050435384,6.999999523162842,4171235328,7168
0,8,8,1,8,hot_rank,0.0974016030629476,0.09254506429036459,55.999996185302734,4171235328,7168
0,8,8,8,64,balanced,0.36620159149169923,0.361193593343099,1.7499998807907104,4171235328,57344
0,8,8,8,64,hot_rank,0.22455253601074218,0.21930665969848634,55.999996185302734,4171235328,57344
0,8,8,128,1024,balanced,0.44865067799886066,0.44315414428710936,1.0390625,4171235328,917504
0,8,8,128,1024,hot_rank,1.0516000111897787,1.046887461344401,55.999996185302734,4171235328,917504
0,8,8,512,4096,balanced,0.6207520167032877,0.6159423828125,1.01171875,4171235328,3670016
0,8,8,512,4096,hot_rank,2.427598826090495,2.4195093790690105,55.999996185302734,4171235328,3670016
0,8,8,2048,16384,balanced,1.5097802480061848,1.5044148763020833,1.00146484375,4171235328,14680064
0,8,8,2048,16384,hot_rank,9.013503011067709,9.003725179036458,55.999996185302734,4171235328,14680064
0,4,4,1,4,balanced,0.266155735651652,0.2613770643870036,13.999999046325684,3089104896,7168
0,4,4,1,4,hot_rank,0.12441706657409668,0.12038506666819254,55.999996185302734,3089104896,7168
0,4,4,8,32,balanced,0.750706164042155,0.7465898513793945,1.7499998807907104,3089104896,57344
0,4,4,8,32,hot_rank,0.17714986801147461,0.17239359219868977,55.999996185302734,3089104896,57344
0,4,4,128,512,balanced,0.8392522811889649,0.8350666681925456,1.09375,3089104896,917504
0,4,4,128,512,hot_rank,0.9044042587280273,0.9002069473266602,55.999996185302734,3089104896,917504
0,4,4,512,2048,balanced,1.0417354583740235,1.0376277287801108,1.01171875,3089104896,3670016
0,4,4,512,2048,hot_rank,1.4992149353027344,1.4919520060221354,55.999996185302734,3089104896,3670016
0,4,4,2048,8192,balanced,1.6700298309326171,1.6679220835367838,1.0048828125,3089104896,14680064
0,4,4,2048,8192,hot_rank,4.718946329752604,4.712574768066406,55.999996185302734,3089104896,14680064
1,16,16,1,16,balanced,0.1894975980122884,0.1852746645609538,3.499999761581421,6981419008,7168
1,16,16,1,16,hot_rank,0.1044864018758138,0.08701866467793783,55.999996185302734,6981419008,7168
1,16,16,8,128,balanced,0.2098090648651123,0.20540053049723309,1.3125,6981419008,57344
1,16,16,8,128,hot_rank,0.3654581387837728,0.3593717257181803,55.999996185302734,6981419008,57344
1,16,16,128,2048,balanced,0.2924650510152181,0.2870304107666016,1.01171875,6981419008,917504
1,16,16,128,2048,hot_rank,1.388107681274414,1.3499669392903646,55.999996185302734,6981419008,917504
1,16,16,512,8192,balanced,0.4598282814025879,0.4552021344502767,1.0048828125,6981419008,3670016
1,16,16,512,8192,hot_rank,4.6769866943359375,4.669441223144531,55.999996185302734,6981419008,3670016
1,16,16,2048,32768,balanced,1.4368874867757162,1.4261706034342447,1.00146484375,6981419008,14680064
1,16,16,2048,32768,hot_rank,17.769399007161457,17.76776123046875,55.999996185302734,6981419008,14680064
1,16,4,2048,8192,balanced,1.5071520487467447,1.5030378977457681,1.0048828125,6981419008,
1,16,8,1024,8192,balanced,1.4099391937255858,1.4040821075439454,1.0048828125,6981419008,
1,8,8,1,8,balanced,0.32835734685262047,0.32410987218221027,6.999999523162842,4171235328,7168
1,8,8,1,8,hot_rank,0.09756266276041667,0.09282346566518147,55.999996185302734,4171235328,7168
1,8,8,8,64,balanced,0.36634985605875653,0.36141014099121094,1.7499998807907104,4171235328,57344
1,8,8,8,64,hot_rank,0.22486613591512045,0.2197098731994629,55.999996185302734,4171235328,57344
1,8,8,128,1024,balanced,0.44903039932250977,0.44351040522257484,1.0390625,4171235328,917504
1,8,8,128,1024,hot_rank,1.0519509633382162,1.0472821553548177,55.999996185302734,4171235328,917504
1,8,8,512,4096,balanced,0.6211360295613607,0.6163839975992839,1.01171875,4171235328,3670016
1,8,8,512,4096,hot_rank,2.428350830078125,2.419819641113281,55.999996185302734,4171235328,3670016
1,8,8,2048,16384,balanced,1.5102965037027996,1.50470822652181,1.00146484375,4171235328,14680064
1,8,8,2048,16384,hot_rank,9.013763427734375,9.00388692220052,55.999996185302734,4171235328,14680064
