rank,ep,ffn_dp,total_tokens_per_ep,sources,local_rows,eager_ms,graph_ms,expert_max_mean_load,dynamic_peak_bytes,weights,input_distribution
1,4,4,8192,4,2048,2.2444128036499023,2.179644775390625,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
2,16,1,16,4,4,0.9540016174316406,0.1534000039100647,21.0,234496,checkpoint layer 1,synthetic normal
2,16,1,16,8,2,1.045142364501953,0.14776320457458497,24.499998092651367,117760,checkpoint layer 1,synthetic normal
2,16,1,16,16,1,0.935756778717041,0.1462928056716919,24.499998092651367,59392,checkpoint layer 1,synthetic normal
2,16,1,128,4,32,0.853335952758789,0.1728320002555847,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
2,16,1,128,8,16,0.9290512084960938,0.20103039741516113,16.1875,935936,checkpoint layer 1,synthetic normal
2,16,1,128,16,8,1.1470191955566407,0.20948479175567628,14.874999046325684,467968,checkpoint layer 1,synthetic normal
2,16,1,2048,4,512,0.8147104263305665,0.6804512023925782,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
2,16,1,2048,8,256,0.9164480209350586,0.5420976161956788,12.113280296325684,14974976,checkpoint layer 1,synthetic normal
2,16,1,2048,16,128,0.9078207969665527,0.2906048059463501,12.085936546325684,7487488,checkpoint layer 1,synthetic normal
2,16,1,8192,4,2048,2.4099056243896486,2.393115234375,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
2,16,1,8192,8,1024,1.8841119766235352,1.8603023529052733,12.530272483825684,59899904,checkpoint layer 1,synthetic normal
2,16,1,8192,16,512,0.9043087959289551,0.5956672191619873,12.523436546325684,29949952,checkpoint layer 1,synthetic normal
2,16,1,32768,16,2048,2.202676773071289,2.1473104476928713,12.533690452575684,119799808,checkpoint layer 1,synthetic normal
2,8,2,16,4,4,0.910428810119629,0.17493760585784912,21.0,234496,checkpoint layer 1,synthetic normal
2,8,2,16,8,2,1.3076080322265624,0.1713711977005005,24.499998092651367,117760,checkpoint layer 1,synthetic normal
2,8,2,128,4,32,0.8528207778930664,0.2588896036148071,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
2,8,2,128,8,16,1.084449577331543,0.251854395866394,16.1875,935936,checkpoint layer 1,synthetic normal
2,8,2,2048,4,512,0.9872575759887695,0.9590047836303711,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
2,8,2,2048,8,256,0.7485087871551513,0.4286208152770996,12.113280296325684,14974976,checkpoint layer 1,synthetic normal
2,8,2,8192,4,2048,3.4947662353515625,3.480974578857422,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
