rank,tp,dp,phase,batch_per_dp,chunk,ms,graph_ms,dynamic_peak_bytes,state_bytes
0,1,16,decode,2,1,0.7248319983482361,0.15260693232218425,492544,6881280
0,1,16,decode,4,1,0.6130880117416382,0.1560138702392578,985088,13762560
0,1,16,decode,16,1,0.6000639796257019,0.1786143938700358,4398080,55050240
0,1,16,decode,64,1,0.5642240047454834,0.2574090639750163,15822848,220200960
0,2,8,decode,2,1,0.9516159892082214,0.1080725351969401,250880,3440640
0,2,8,decode,4,1,0.9424960017204285,0.10788266658782959,501248,6881280
0,2,8,decode,16,1,0.9338240027427673,0.12273279825846355,2004480,27525120
0,2,8,decode,64,1,0.8478080034255981,0.1713333288828532,8083456,110100480
0,4,4,decode,2,1,0.8928319811820984,0.07923306624094645,140288,1720320
0,4,4,decode,4,1,0.9522240161895752,0.08072640101114908,280064,3440640
0,4,4,decode,16,1,0.9681599736213684,0.08736320336659749,1119232,13762560
0,4,4,decode,64,1,0.9594879746437073,0.11317546367645263,4935680,55050240
0,8,2,decode,2,1,1.335263967514038,0.07521066665649415,84992,860160
0,8,2,decode,4,1,1.0470399856567383,0.07787946859995525,169472,1720320
0,8,2,decode,16,1,1.226304054260254,0.07751146952311198,676352,6881280
0,8,2,decode,64,1,1.1072319746017456,0.09227519830067953,2705408,27525120
0,16,1,decode,2,1,1.1979520320892334,0.08388160069783529,57344,430080
0,16,1,decode,4,1,1.0848000049591064,0.08551786740620931,114176,860160
0,16,1,decode,16,1,0.9398080110549927,0.07624959945678711,455168,3440640
0,16,1,decode,64,1,0.939520001411438,0.08627413113911947,1820672,13762560
1,1,16,decode,2,1,0.7563520073890686,0.15325013796488443,492544,6881280
1,1,16,decode,4,1,0.7911360263824463,0.15613120396931965,985088,13762560
1,1,16,decode,16,1,0.7292799949645996,0.17843413352966309,4398080,55050240
1,1,16,decode,64,1,0.8733119964599609,0.258078940709432,15822848,220200960
1,2,8,decode,2,1,0.9547200202941895,0.10762666861216227,250880,3440640
1,2,8,decode,4,1,0.9339839816093445,0.10765120188395182,501248,6881280
1,2,8,decode,16,1,0.9239680171012878,0.12250026861826578,2004480,27525120
1,2,8,decode,64,1,0.8412799835205078,0.17111573219299317,8083456,110100480
1,4,4,decode,2,1,0.8850880265235901,0.07864960034688313,140288,1720320
