rank,ep,ffn_dp,total_tokens_per_ep,sources,local_rows,eager_ms,graph_ms,expert_max_mean_load,dynamic_peak_bytes,weights,input_distribution
15,16,1,16,4,0,0.9538656234741211,0.15306240320205688,21.0,0,checkpoint layer 1,synthetic normal
15,16,1,16,8,0,1.0447327613830566,0.14755359888076783,24.499998092651367,0,checkpoint layer 1,synthetic normal
15,16,1,16,16,1,0.9313808441162109,0.1464463949203491,24.499998092651367,59392,checkpoint layer 1,synthetic normal
15,16,1,128,4,0,0.8616352081298828,0.1727728009223938,14.437499046325684,0,checkpoint layer 1,synthetic normal
15,16,1,128,8,0,0.9285471916198731,0.2010591983795166,16.1875,0,checkpoint layer 1,synthetic normal
15,16,1,128,16,8,1.1465439796447754,0.20950078964233398,14.874999046325684,467968,checkpoint layer 1,synthetic normal
15,16,1,2048,4,0,0.8143136024475097,0.6808591842651367,12.386717796325684,0,checkpoint layer 1,synthetic normal
15,16,1,2048,8,0,0.9161503791809082,0.542139196395874,12.113280296325684,0,checkpoint layer 1,synthetic normal
15,16,1,2048,16,128,0.9077024459838867,0.289739203453064,12.085936546325684,7487488,checkpoint layer 1,synthetic normal
15,16,1,8192,4,0,2.4092384338378907,2.3880319595336914,12.872069358825684,0,checkpoint layer 1,synthetic normal
15,16,1,8192,8,0,1.8831680297851563,1.8600751876831054,12.530272483825684,0,checkpoint layer 1,synthetic normal
15,16,1,8192,16,512,0.9043711662292481,0.5949183940887451,12.523436546325684,29949952,checkpoint layer 1,synthetic normal
15,16,1,32768,16,2048,2.202076721191406,2.146776008605957,12.533690452575684,119799808,checkpoint layer 1,synthetic normal
15,8,2,16,4,0,0.9159135818481445,0.17674720287322998,21.0,0,checkpoint layer 1,synthetic normal
15,8,2,16,8,2,0.9291472434997559,0.17191200256347655,24.499998092651367,117760,checkpoint layer 1,synthetic normal
15,8,2,128,4,0,0.7905439853668212,0.25951519012451174,14.437499046325684,0,checkpoint layer 1,synthetic normal
15,8,2,128,8,16,0.9448703765869141,0.25214879512786864,16.1875,935936,checkpoint layer 1,synthetic normal
15,8,2,2048,4,0,0.9870832443237305,0.9611455917358398,12.386717796325684,0,checkpoint layer 1,synthetic normal
15,8,2,2048,8,256,0.7154431819915772,0.4286320209503174,12.113280296325684,14974976,checkpoint layer 1,synthetic normal
15,8,2,8192,4,0,3.500737762451172,3.490700912475586,12.872069358825684,0,checkpoint layer 1,synthetic normal
15,8,2,8192,8,1024,1.0435775756835937,1.0796192169189454,12.530272483825684,59899904,checkpoint layer 1,synthetic normal
15,4,4,16,4,4,0.8419119834899902,0.26680641174316405,21.0,234496,checkpoint layer 1,synthetic normal
15,4,4,128,4,32,0.8482928276062012,0.43413281440734863,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
15,4,4,2048,4,512,0.8927824020385742,0.8686112403869629,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
15,4,4,8192,4,2048,2.1529632568359376,2.1651792526245117,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
