rank,world,tp,dp,phase,cache_dtype,context,batch_per_dp,chunk,eager_ms,graph_ms,dynamic_peak_bytes,cache_bytes,short_reference_relative_l2
9,16,1,16,decode,fp8_e4m3,1024,1,1,1.4951893488566081,0.12935839891433715,413184,589824,0.034656696021556854
9,16,1,16,decode,fp8_e4m3,1024,8,1,1.4728213946024578,0.13763840198516847,3298304,4718592,0.034656696021556854
9,16,1,16,decode,fp8_e4m3,1024,32,1,1.3542399406433105,0.15162880420684816,13193216,18874368,0.034656696021556854
9,16,1,16,prefill,fp8_e4m3,1024,1,128,2.47596804300944,,135628288,589824,0.007521942723542452
9,16,1,16,prefill,fp8_e4m3,1024,1,1024,1.341109275817871,,215090176,589824,0.007521942723542452
9,16,1,16,decode,fp8_e4m3,8192,1,1,1.4083199501037598,0.13530399799346923,413184,4718592,0.034656696021556854
9,16,1,16,decode,fp8_e4m3,8192,8,1,1.4419093132019043,0.14587680101394654,3298304,37748736,0.034656696021556854
9,16,1,16,decode,fp8_e4m3,8192,32,1,1.3070186773935955,0.1755728006362915,13193216,150994944,0.034656696021556854
9,16,1,16,prefill,fp8_e4m3,8192,1,128,3.075082778930664,,768706048,4718592,0.007521942723542452
9,16,1,16,prefill,fp8_e4m3,8192,1,1024,2.6943146387736,,975963648,4718592,0.007521942723542452
9,16,1,16,prefill,fp8_e4m3,8192,1,8192,4.744181315104167,,1632633856,4718592,0.007521942723542452
9,16,1,16,decode,fp8_e4m3,32768,1,1,1.3954985936482747,0.1493216037750244,413184,18874368,0.034656696021556854
9,16,1,16,decode,fp8_e4m3,32768,8,1,1.1516906420389812,0.16491999626159667,3298304,150994944,0.034656696021556854
9,16,1,16,decode,fp8_e4m3,32768,32,1,1.01638396581014,0.2678224086761475,13193216,603979776,0.034656696021556854
9,16,1,16,prefill,fp8_e4m3,32768,1,128,4.752490679423015,,2939553280,18874368,0.007521942723542452
9,16,1,16,prefill,fp8_e4m3,32768,1,1024,5.805824279785156,,3146515968,18874368,0.007521942723542452
9,16,1,16,prefill,fp8_e4m3,32768,1,8192,16.39609654744466,,4826072576,18874368,0.007521942723542452
9,16,1,16,decode,fp8_e4m3,131072,1,1,1.1509439945220947,0.15947359800338745,413184,75497472,0.034656696021556854
9,16,1,16,decode,fp8_e4m3,131072,8,1,1.1636160214742024,0.250217604637146,3298304,603979776,0.034656696021556854
9,16,1,16,decode,fp8_e4m3,131072,32,1,1.1042346954345703,0.6390592098236084,13193216,2415919104,0.034656696021556854
9,16,1,16,prefill,fp8_e4m3,131072,1,128,9.444341023763021,,11621762560,75497472,0.007521942723542452
9,16,1,16,prefill,fp8_e4m3,131072,1,1024,14.115989685058594,,11828725248,75497472,0.007521942723542452
9,16,1,16,prefill,fp8_e4m3,131072,1,8192,54.18205769856771,,13508806144,75497472,0.007521942723542452
9,16,1,16,decode,fp8_e4m3,524288,1,1,1.3602879842122395,0.19729759693145751,413184,301989888,0.034656696021556854
9,16,1,16,decode,fp8_e4m3,524288,8,1,1.4876267115275066,0.605950403213501,3298304,2415919104,0.034656696021556854
9,16,1,16,decode,fp8_e4m3,524288,32,1,2.5353493690490723,2.5697296142578123,13193216,9663676416,0.034656696021556854
9,16,1,16,prefill,fp8_e4m3,524288,1,128,35.77649180094401,,16899147264,301989888,0.007521942723542452
9,16,1,16,prefill,fp8_e4m3,524288,1,1024,54.360127766927086,,17076192768,301989888,0.007521942723542452
9,16,1,16,prefill,fp8_e4m3,524288,1,8192,211.604736328125,,18494785024,301989888,0.007521942723542452
9,16,1,16,decode,fp8_e4m3,1048576,1,1,1.4496639569600422,0.25296640396118164,413184,603979776,0.034656696021556854
9,16,1,16,decode,fp8_e4m3,1048576,8,1,1.7485440572102864,1.1161168098449707,3298304,4831838208,0.034656696021556854
9,16,1,16,decode,fp8_e4m3,1048576,32,1,4.473045349121094,5.031849670410156,13193216,19327352832,0.034656696021556854
9,16,1,16,prefill,fp8_e4m3,1048576,1,128,71.01470947265625,,17503127040,603979776,0.007521942723542452
9,16,1,16,prefill,fp8_e4m3,1048576,1,1024,107.63423665364583,,17680172544,603979776,0.007521942723542452
9,16,1,16,prefill,fp8_e4m3,1048576,1,8192,420.8738199869792,,19098764800,603979776,0.007521942723542452
9,16,1,16,decode,bfloat16,1024,1,1,1.244319995244344,0.12780159711837769,431616,1179648,0.004290093667805195
